"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","82","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 27 18:58:12 GMT 2025","passed","Fri Jun 27 18:58:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","85","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:11 GMT 2025","passed","Fri Jun 27 18:58:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","91","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Jun 27 18:58:40 GMT 2025","passed","Fri Jun 27 18:58:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","109","Update user - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:36 GMT 2025","passed","Fri Jun 27 18:58:36 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","151","Update definition","QA|Nova Bank - Infopool","Fri Jun 27 18:58:35 GMT 2025","passed","Fri Jun 27 18:58:35 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","83","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:09 GMT 2025","passed","Fri Jun 27 18:58:09 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","95","get user role","QA|Nova Bank - Infopool","Fri Jun 27 18:58:37 GMT 2025","passed","Fri Jun 27 18:58:37 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","80","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:36 GMT 2025","passed","Fri Jun 27 18:58:36 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","81","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:09 GMT 2025","passed","Fri Jun 27 18:58:09 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","89","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Jun 27 18:58:11 GMT 2025","passed","Fri Jun 27 18:58:11 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","92","Create organization - no name","QA|Nova Bank - Infopool","Fri Jun 27 18:58:38 GMT 2025","passed","Fri Jun 27 18:58:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","94","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:39 GMT 2025","passed","Fri Jun 27 18:58:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","157","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:13 GMT 2025","failed","Fri Jun 27 18:58:13 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","95","managers","QA|Nova Bank - Infopool","Fri Jun 27 18:58:41 GMT 2025","passed","Fri Jun 27 18:58:41 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","87","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jun 27 18:58:06 GMT 2025","passed","Fri Jun 27 18:58:06 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","488","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 27 18:58:20 GMT 2025","passed","Fri Jun 27 18:58:20 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","79","Update user - no auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:36 GMT 2025","passed","Fri Jun 27 18:58:37 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 27 18:58:07 GMT 2025","passed","Fri Jun 27 18:58:07 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","174","update role","QA|Nova Bank - Infopool","Fri Jun 27 18:58:37 GMT 2025","passed","Fri Jun 27 18:58:37 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","271","reset password","QA|Nova Bank - Infopool","Fri Jun 27 18:58:06 GMT 2025","passed","Fri Jun 27 18:58:06 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","132","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:39 GMT 2025","passed","Fri Jun 27 18:58:39 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","81","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:41 GMT 2025","passed","Fri Jun 27 18:58:41 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","787","Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:12 GMT 2025","passed","Fri Jun 27 18:58:13 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:21 GMT 2025","passed","Fri Jun 27 18:58:21 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","81","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:21 GMT 2025","failed","Fri Jun 27 18:58:21 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","95","Update profile","QA|Nova Bank - Infopool","Fri Jun 27 18:58:10 GMT 2025","failed","Fri Jun 27 18:58:10 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","78","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 27 18:58:34 GMT 2025","passed","Fri Jun 27 18:58:34 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","104","Get roles - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:41 GMT 2025","passed","Fri Jun 27 18:58:41 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","84","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Jun 27 18:58:35 GMT 2025","passed","Fri Jun 27 18:58:35 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","93","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 27 18:58:38 GMT 2025","passed","Fri Jun 27 18:58:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","177","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:21 GMT 2025","passed","Fri Jun 27 18:58:21 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","122","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:21 GMT 2025","failed","Fri Jun 27 18:58:22 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","466","Fetch all users","QA|Nova Bank - Infopool","Fri Jun 27 18:58:36 GMT 2025","passed","Fri Jun 27 18:58:36 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","80","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jun 27 18:58:35 GMT 2025","failed","Fri Jun 27 18:58:35 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","92","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 27 18:58:37 GMT 2025","passed","Fri Jun 27 18:58:37 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","80","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Jun 27 18:58:39 GMT 2025","passed","Fri Jun 27 18:58:39 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","132","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 27 18:58:22 GMT 2025","passed","Fri Jun 27 18:58:22 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","80","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jun 27 18:58:40 GMT 2025","failed","Fri Jun 27 18:58:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","210","Get events - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:10 GMT 2025","passed","Fri Jun 27 18:58:10 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","171","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Jun 27 18:58:08 GMT 2025","passed","Fri Jun 27 18:58:08 GMT 2025","v1 > Profile > Password","Bank User","",""
"","137","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Jun 27 18:58:11 GMT 2025","passed","Fri Jun 27 18:58:11 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","81","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 27 18:58:31 GMT 2025","passed","Fri Jun 27 18:58:31 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","83","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:21 GMT 2025","passed","Fri Jun 27 18:58:21 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","90","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jun 27 18:58:38 GMT 2025","passed","Fri Jun 27 18:58:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","127","Create  organization","QA|Nova Bank - Infopool","Fri Jun 27 18:58:37 GMT 2025","passed","Fri Jun 27 18:58:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","113","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:41 GMT 2025","passed","Fri Jun 27 18:58:41 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","110","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jun 27 18:58:35 GMT 2025","passed","Fri Jun 27 18:58:35 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","107","Search Customers","QA|Nova Bank - Infopool","Fri Jun 27 18:58:23 GMT 2025","passed","Fri Jun 27 18:58:23 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","78","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:41 GMT 2025","passed","Fri Jun 27 18:58:41 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","183","Update Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:20 GMT 2025","passed","Fri Jun 27 18:58:21 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","138","add_comment_successfully","QA|Nova Bank - Infopool","Fri Jun 27 18:58:22 GMT 2025","passed","Fri Jun 27 18:58:22 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","3206","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Jun 27 18:58:13 GMT 2025","passed","Fri Jun 27 18:58:16 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","92","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 27 18:58:06 GMT 2025","passed","Fri Jun 27 18:58:07 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","95","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jun 27 18:58:41 GMT 2025","passed","Fri Jun 27 18:58:41 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","90","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 27 18:58:36 GMT 2025","passed","Fri Jun 27 18:58:36 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","91","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Jun 27 18:58:10 GMT 2025","passed","Fri Jun 27 18:58:10 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","98","Get single definition","QA|Nova Bank - Infopool","Fri Jun 27 18:58:35 GMT 2025","passed","Fri Jun 27 18:58:35 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","100","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 27 18:58:20 GMT 2025","passed","Fri Jun 27 18:58:20 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","135","Forgot password - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:05 GMT 2025","failed","Fri Jun 27 18:58:06 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","82","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 27 18:58:12 GMT 2025","passed","Fri Jun 27 18:58:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","78","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 27 18:58:23 GMT 2025","passed","Fri Jun 27 18:58:23 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","80","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Jun 27 18:58:39 GMT 2025","failed","Fri Jun 27 18:58:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","150","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 27 18:58:34 GMT 2025","passed","Fri Jun 27 18:58:34 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","80","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:10 GMT 2025","passed","Fri Jun 27 18:58:10 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","92","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jun 27 18:58:38 GMT 2025","passed","Fri Jun 27 18:58:38 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","798","Get profile - successfully","QA|Nova Bank - Infopool","Fri Jun 27 18:58:08 GMT 2025","passed","Fri Jun 27 18:58:09 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","82","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 27 18:58:12 GMT 2025","passed","Fri Jun 27 18:58:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","98","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:35 GMT 2025","passed","Fri Jun 27 18:58:36 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","114","verify OTP","QA|Nova Bank - Infopool","Fri Jun 27 18:58:07 GMT 2025","passed","Fri Jun 27 18:58:07 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","90","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 27 18:58:23 GMT 2025","passed","Fri Jun 27 18:58:23 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","79","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:23 GMT 2025","passed","Fri Jun 27 18:58:24 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","101","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 27 18:58:40 GMT 2025","passed","Fri Jun 27 18:58:40 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","123","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 27 18:58:22 GMT 2025","passed","Fri Jun 27 18:58:23 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","105","Fetch all organizations","QA|Nova Bank - Infopool","Fri Jun 27 18:58:39 GMT 2025","passed","Fri Jun 27 18:58:39 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","81","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 27 18:58:12 GMT 2025","passed","Fri Jun 27 18:58:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","105","Search Customers","QA|Nova Bank - Infopool","Fri Jun 27 18:58:23 GMT 2025","passed","Fri Jun 27 18:58:23 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","79","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:39 GMT 2025","passed","Fri Jun 27 18:58:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Jun 27 18:58:40 GMT 2025","failed","Fri Jun 27 18:58:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 27 18:58:12 GMT 2025","passed","Fri Jun 27 18:58:12 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:22 GMT 2025","passed","Fri Jun 27 18:58:22 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","102","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:40 GMT 2025","failed","Fri Jun 27 18:58:40 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","113","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Jun 27 18:58:22 GMT 2025","failed","Fri Jun 27 18:58:22 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","78","No Auth - Update definition","QA|Nova Bank - Infopool","Fri Jun 27 18:58:35 GMT 2025","passed","Fri Jun 27 18:58:35 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","151","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jun 27 18:58:10 GMT 2025","passed","Fri Jun 27 18:58:10 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","2820","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 27 18:58:25 GMT 2025","passed","Fri Jun 27 18:58:27 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","3166","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 27 18:58:28 GMT 2025","failed","Fri Jun 27 18:58:31 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","92","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Jun 27 18:58:39 GMT 2025","passed","Fri Jun 27 18:58:40 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","89","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Jun 27 18:58:38 GMT 2025","passed","Fri Jun 27 18:58:39 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:11 GMT 2025","passed","Fri Jun 27 18:58:11 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","94","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Jun 27 18:58:23 GMT 2025","passed","Fri Jun 27 18:58:23 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","288","Update profile - successful","QA|Nova Bank - Infopool","Fri Jun 27 18:58:09 GMT 2025","passed","Fri Jun 27 18:58:09 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 27 18:58:40 GMT 2025","passed","Fri Jun 27 18:58:40 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","80","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jun 27 18:58:08 GMT 2025","passed","Fri Jun 27 18:58:08 GMT 2025","v1 > Profile > Password","Bank User","",""
"","92","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 27 18:58:13 GMT 2025","passed","Fri Jun 27 18:58:13 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Jun 27 18:58:09 GMT 2025","passed","Fri Jun 27 18:58:09 GMT 2025","v1 > Profile > Get profile","Bank User","",""
