"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a specific report by ID","128","Get Report by UUID","QA|Nova Bank - Infopool","Wed May 28 00:12:57 GMT 2025","failed","Wed May 28 00:12:57 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","81","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","passed","Wed May 28 00:12:42 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","2433","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 28 00:12:38 GMT 2025","passed","Wed May 28 00:12:41 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","83","Change password - successful","QA|Nova Bank - Infopool","Wed May 28 00:12:25 GMT 2025","failed","Wed May 28 00:12:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","228","category by id","QA|Nova Bank - Infopool","Wed May 28 00:12:56 GMT 2025","passed","Wed May 28 00:12:56 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","187","audit trail","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:27 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","78","Logout session - no session","QA|Nova Bank - Infopool","Wed May 28 00:12:56 GMT 2025","passed","Wed May 28 00:12:56 GMT 2025","v1 > Logout","Bank Admin","",""
"","12","New Request","QA|Nova Bank - Infopool","Wed May 28 00:12:23 GMT 2025","broken","Wed May 28 00:12:23 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","3176","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:12:30 GMT 2025","failed","Wed May 28 00:12:33 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","83","Update profile","QA|Nova Bank - Infopool","Wed May 28 00:12:26 GMT 2025","failed","Wed May 28 00:12:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","79","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:12:57 GMT 2025","passed","Wed May 28 00:12:57 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","83","Get all Issues","QA|Nova Bank - Infopool","Wed May 28 00:12:29 GMT 2025","failed","Wed May 28 00:12:29 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","84","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:27 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","95","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:12:43 GMT 2025","passed","Wed May 28 00:12:43 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","81","No Auth - Update definition","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","passed","Wed May 28 00:12:42 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","80","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 28 00:12:41 GMT 2025","passed","Wed May 28 00:12:41 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","82","Empty new password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:12:25 GMT 2025","failed","Wed May 28 00:12:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","81","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:27 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","110","Update user - successful","QA|Nova Bank - Infopool","Wed May 28 00:12:43 GMT 2025","passed","Wed May 28 00:12:43 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","102","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:12:54 GMT 2025","passed","Wed May 28 00:12:54 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","83","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Wed May 28 00:12:23 GMT 2025","passed","Wed May 28 00:12:23 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Delete a report (soft delete)","3175","Delete Report","QA|Nova Bank - Infopool","Wed May 28 00:13:01 GMT 2025","failed","Wed May 28 00:13:04 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","82","Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:12:37 GMT 2025","failed","Wed May 28 00:12:37 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","102","Create organization - name already exists","QA|Nova Bank - Infopool","Wed May 28 00:12:51 GMT 2025","passed","Wed May 28 00:12:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed May 28 00:12:23 GMT 2025","passed","Wed May 28 00:12:23 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","81","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 28 00:12:41 GMT 2025","passed","Wed May 28 00:12:41 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","78","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 28 00:12:53 GMT 2025","passed","Wed May 28 00:12:53 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","99","get all category","QA|Nova Bank - Infopool","Wed May 28 00:12:55 GMT 2025","passed","Wed May 28 00:12:56 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","80","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 28 00:12:41 GMT 2025","passed","Wed May 28 00:12:42 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Delete a report (soft delete)","79","Delete Report -No auth","QA|Nova Bank - Infopool","Wed May 28 00:13:04 GMT 2025","failed","Wed May 28 00:13:04 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","84","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:12:52 GMT 2025","failed","Wed May 28 00:12:52 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","80","No auth - Create  organization","QA|Nova Bank - Infopool","Wed May 28 00:12:50 GMT 2025","passed","Wed May 28 00:12:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","passed","Wed May 28 00:12:42 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","104","Create organization - empty description","QA|Nova Bank - Infopool","Wed May 28 00:12:51 GMT 2025","passed","Wed May 28 00:12:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Get profile - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:12:25 GMT 2025","passed","Wed May 28 00:12:25 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","89","get user role","QA|Nova Bank - Infopool","Wed May 28 00:12:44 GMT 2025","passed","Wed May 28 00:12:44 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","79","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","failed","Wed May 28 00:12:42 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","104","Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:12:38 GMT 2025","passed","Wed May 28 00:12:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","112","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:27 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","80","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed May 28 00:12:53 GMT 2025","failed","Wed May 28 00:12:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","92","Fetch all organizations","QA|Nova Bank - Infopool","Wed May 28 00:12:51 GMT 2025","passed","Wed May 28 00:12:52 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","81","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed May 28 00:12:43 GMT 2025","passed","Wed May 28 00:12:43 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","83","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:12:37 GMT 2025","failed","Wed May 28 00:12:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","86","No user credentials","QA|Nova Bank - Infopool","Wed May 28 00:12:23 GMT 2025","passed","Wed May 28 00:12:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","79","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 28 00:12:53 GMT 2025","passed","Wed May 28 00:12:53 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","82","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 28 00:12:37 GMT 2025","passed","Wed May 28 00:12:37 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","93","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:12:52 GMT 2025","passed","Wed May 28 00:12:52 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","82","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed May 28 00:12:51 GMT 2025","failed","Wed May 28 00:12:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Update profile - successful","QA|Nova Bank - Infopool","Wed May 28 00:12:25 GMT 2025","failed","Wed May 28 00:12:25 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:12:24 GMT 2025","passed","Wed May 28 00:12:24 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","84","No email - Forgot Password","QA|Nova Bank - Infopool","Wed May 28 00:12:23 GMT 2025","passed","Wed May 28 00:12:23 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","78","Get permission by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:12:55 GMT 2025","passed","Wed May 28 00:12:55 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Create a new report","80","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed May 28 00:12:57 GMT 2025","failed","Wed May 28 00:12:58 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","81","Update user - invalid action","QA|Nova Bank - Infopool","Wed May 28 00:12:43 GMT 2025","failed","Wed May 28 00:12:43 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","79","No auth - get all category","QA|Nova Bank - Infopool","Wed May 28 00:12:56 GMT 2025","passed","Wed May 28 00:12:56 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","81","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:12:29 GMT 2025","failed","Wed May 28 00:12:29 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","118","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:12:23 GMT 2025","passed","Wed May 28 00:12:24 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a specific report by ID","79","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:12:57 GMT 2025","failed","Wed May 28 00:12:57 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a paginated list of reports with optional filtering","80","Get Reports Stats","QA|Nova Bank - Infopool","Wed May 28 00:12:56 GMT 2025","failed","Wed May 28 00:12:56 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Get a paginated list of reports with optional filtering","82","Get Reports - No auth","QA|Nova Bank - Infopool","Wed May 28 00:12:56 GMT 2025","passed","Wed May 28 00:12:56 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","81","Create organization - empty street value","QA|Nova Bank - Infopool","Wed May 28 00:12:51 GMT 2025","failed","Wed May 28 00:12:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","78","Update Report","QA|Nova Bank - Infopool","Wed May 28 00:12:58 GMT 2025","passed","Wed May 28 00:12:58 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","83","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:27 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:12:24 GMT 2025","passed","Wed May 28 00:12:24 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:12:53 GMT 2025","passed","Wed May 28 00:12:53 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","80","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed May 28 00:12:55 GMT 2025","passed","Wed May 28 00:12:55 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","80","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed May 28 00:12:29 GMT 2025","passed","Wed May 28 00:12:30 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","81","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 28 00:12:41 GMT 2025","failed","Wed May 28 00:12:41 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","85","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed May 28 00:12:53 GMT 2025","failed","Wed May 28 00:12:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","Update profile - no auth","QA|Nova Bank - Infopool","Wed May 28 00:12:25 GMT 2025","passed","Wed May 28 00:12:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","82","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed May 28 00:12:53 GMT 2025","failed","Wed May 28 00:12:53 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","83","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:12:25 GMT 2025","failed","Wed May 28 00:12:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","Get all permissions","QA|Nova Bank - Infopool","Wed May 28 00:12:55 GMT 2025","failed","Wed May 28 00:12:55 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a specific report by ID","79","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed May 28 00:12:57 GMT 2025","failed","Wed May 28 00:12:57 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","224","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:12:24 GMT 2025","failed","Wed May 28 00:12:24 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","81","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed May 28 00:12:54 GMT 2025","passed","Wed May 28 00:12:54 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","9","New Request","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","broken","Wed May 28 00:12:42 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","81","Update Customer Comment Copy","QA|Nova Bank - Infopool","Wed May 28 00:12:37 GMT 2025","passed","Wed May 28 00:12:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","101","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","passed","Wed May 28 00:12:43 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","110","Update definition","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","passed","Wed May 28 00:12:42 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","82","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed May 28 00:13:04 GMT 2025","failed","Wed May 28 00:13:04 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","123","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:12:52 GMT 2025","passed","Wed May 28 00:12:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","82","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:12:37 GMT 2025","passed","Wed May 28 00:12:38 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","81","Create roles - No auth","QA|Nova Bank - Infopool","Wed May 28 00:12:54 GMT 2025","passed","Wed May 28 00:12:54 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","80","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed May 28 00:12:36 GMT 2025","passed","Wed May 28 00:12:36 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","3155","No auth - update role","QA|Nova Bank - Infopool","Wed May 28 00:12:47 GMT 2025","passed","Wed May 28 00:12:50 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","92","Invalid email format","QA|Nova Bank - Infopool","Wed May 28 00:12:23 GMT 2025","passed","Wed May 28 00:12:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a specific report by ID","81","Get Report by ID","QA|Nova Bank - Infopool","Wed May 28 00:12:57 GMT 2025","failed","Wed May 28 00:12:57 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","82","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 28 00:12:36 GMT 2025","passed","Wed May 28 00:12:36 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","81","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:12:42 GMT 2025","failed","Wed May 28 00:12:42 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get a specific report by ID","79","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:12:57 GMT 2025","passed","Wed May 28 00:12:57 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","86","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:12:37 GMT 2025","failed","Wed May 28 00:12:37 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","81","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:12:38 GMT 2025","passed","Wed May 28 00:12:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","81","Update profile - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:12:26 GMT 2025","passed","Wed May 28 00:12:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","101","Update user - ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:12:43 GMT 2025","passed","Wed May 28 00:12:43 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","83","Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:12:30 GMT 2025","failed","Wed May 28 00:12:30 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","952","Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:12:28 GMT 2025","passed","Wed May 28 00:12:28 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","79","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed May 28 00:12:55 GMT 2025","passed","Wed May 28 00:12:55 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","103","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:12:51 GMT 2025","passed","Wed May 28 00:12:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:12:43 GMT 2025","failed","Wed May 28 00:12:43 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","90","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 28 00:12:53 GMT 2025","passed","Wed May 28 00:12:53 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","81","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:12:37 GMT 2025","failed","Wed May 28 00:12:37 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","85","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:27 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","92","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:12:24 GMT 2025","passed","Wed May 28 00:12:24 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","103","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed May 28 00:12:52 GMT 2025","passed","Wed May 28 00:12:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 28 00:12:38 GMT 2025","failed","Wed May 28 00:12:38 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","95","Logout session successfully","QA|Nova Bank - Infopool","Wed May 28 00:12:56 GMT 2025","passed","Wed May 28 00:12:56 GMT 2025","v1 > Logout","Bank Admin","",""
"","82","audit trail - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:27 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","81","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:12:27 GMT 2025","passed","Wed May 28 00:12:27 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","123","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed May 28 00:12:38 GMT 2025","passed","Wed May 28 00:12:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","78","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:12:56 GMT 2025","passed","Wed May 28 00:12:56 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","80","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed May 28 00:12:29 GMT 2025","failed","Wed May 28 00:12:29 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","80","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Wed May 28 00:12:38 GMT 2025","passed","Wed May 28 00:12:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
