"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 20 18:57:49 GMT 2025","passed","Fri Jun 20 18:57:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","92","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 20 18:57:32 GMT 2025","passed","Fri Jun 20 18:57:32 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","95","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jun 20 18:58:04 GMT 2025","passed","Fri Jun 20 18:58:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:48 GMT 2025","passed","Fri Jun 20 18:57:48 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","87","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 20 18:57:37 GMT 2025","passed","Fri Jun 20 18:57:38 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","91","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","passed","Fri Jun 20 18:57:33 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Jun 20 18:58:01 GMT 2025","passed","Fri Jun 20 18:58:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","85","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 20 18:57:38 GMT 2025","passed","Fri Jun 20 18:57:38 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","91","No user credentials","QA|Nova Bank - Infopool","Fri Jun 20 18:57:31 GMT 2025","passed","Fri Jun 20 18:57:31 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","131","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Jun 20 18:57:37 GMT 2025","passed","Fri Jun 20 18:57:37 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","95","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jun 20 18:57:35 GMT 2025","passed","Fri Jun 20 18:57:35 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","83","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:48 GMT 2025","passed","Fri Jun 20 18:57:48 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","96","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Jun 20 18:57:34 GMT 2025","passed","Fri Jun 20 18:57:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","101","Fetch all organizations","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","124","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:48 GMT 2025","failed","Fri Jun 20 18:57:48 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","94","Create organization - no name","QA|Nova Bank - Infopool","Fri Jun 20 18:58:04 GMT 2025","passed","Fri Jun 20 18:58:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","98","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Jun 20 18:58:01 GMT 2025","passed","Fri Jun 20 18:58:01 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","275","reset password","QA|Nova Bank - Infopool","Fri Jun 20 18:57:32 GMT 2025","passed","Fri Jun 20 18:57:32 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","246","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:39 GMT 2025","passed","Fri Jun 20 18:57:39 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","84","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 20 18:58:05 GMT 2025","passed","Fri Jun 20 18:58:05 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","96","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","passed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","passed","Fri Jun 20 18:57:33 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","86","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jun 20 18:57:37 GMT 2025","passed","Fri Jun 20 18:57:37 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","292","audit-search","QA|Nova Bank - Infopool","Fri Jun 20 18:57:37 GMT 2025","passed","Fri Jun 20 18:57:37 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","162","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:48 GMT 2025","passed","Fri Jun 20 18:57:48 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","101","Fetch all users","QA|Nova Bank - Infopool","Fri Jun 20 18:58:02 GMT 2025","passed","Fri Jun 20 18:58:02 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","113","Get roles - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:58:08 GMT 2025","passed","Fri Jun 20 18:58:08 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","87","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 20 18:57:36 GMT 2025","passed","Fri Jun 20 18:57:36 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","137","add_comment_successfully","QA|Nova Bank - Infopool","Fri Jun 20 18:57:48 GMT 2025","passed","Fri Jun 20 18:57:48 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","268","Change password - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:57:33 GMT 2025","passed","Fri Jun 20 18:57:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","95","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jun 20 18:57:36 GMT 2025","passed","Fri Jun 20 18:57:36 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","102","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 20 18:57:48 GMT 2025","passed","Fri Jun 20 18:57:48 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","118","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jun 20 18:57:54 GMT 2025","failed","Fri Jun 20 18:57:54 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","119","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:58:07 GMT 2025","passed","Fri Jun 20 18:58:07 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","92","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 20 18:57:39 GMT 2025","passed","Fri Jun 20 18:57:39 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","82","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","passed","Fri Jun 20 18:58:07 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","218","Get events - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:57:36 GMT 2025","passed","Fri Jun 20 18:57:36 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","3240","Get all Issues","QA|Nova Bank - Infopool","Fri Jun 20 18:57:43 GMT 2025","failed","Fri Jun 20 18:57:46 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","101","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Jun 20 18:58:04 GMT 2025","passed","Fri Jun 20 18:58:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","141","Forgot password - successful","QA|Nova Bank - Infopool","Fri Jun 20 18:57:32 GMT 2025","failed","Fri Jun 20 18:57:32 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","98","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jun 20 18:58:06 GMT 2025","passed","Fri Jun 20 18:58:06 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","97","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jun 20 18:58:04 GMT 2025","passed","Fri Jun 20 18:58:04 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
