"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","41","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","43","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get a specific report by ID","43","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","53","Get profile - successfully","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"Delete a report (soft delete)","41","Delete Report","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"Create a new report","45","Create Report - Empty category","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","41","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","42","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","39","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","44","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","44","Add attachment to issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","42","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","69","reset password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","41","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","42","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","43","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","42","add_comment_successfully","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","45","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","46","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","40","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","36","audit-search","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","53","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","52","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"Update an existing report","42","Update Report - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","40","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","39","Get Report by UUID","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","43","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","48","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","38","Logout session - no session","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Logout","Bank Admin","",""
"","39","No Auth - Update definition","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","45","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","39","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","41","Get single definition","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","39","get user role","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","48","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","42","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","42","Update user - no auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","41","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","46","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","41","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","101","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","40","No auth - update role","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","40","Get roles - No Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"Update an existing report","41","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","49","Create roles","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","44","Fetch all users","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","48","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","43","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","42","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","52","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","39","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","43","No auth - Update role status","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","46","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","44","Change password - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","40","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","48","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","44","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","43","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","48","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","43","No auth - get all category","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","42","Update definition","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","51","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","42","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","","corporate Adjustment","",""
"","40","get all category","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Delete a report (soft delete)","42","Delete Report -No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","40","Update user - invalid action","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","42","Search Customers","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","43","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","44","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","41","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","45","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"Get a paginated list of reports with optional filtering","40","Get Reports - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","41","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:44 UTC 2026","broken","Fri Jan 23 19:04:44 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","39","Get all permissions","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","41","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","89","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","53","No user credentials","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","40","Fetch all organizations","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","41","Update user - empty action field","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","45","Update profile","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","41","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","51","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","42","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","42","Create organization - no name","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","45","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","47","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","47","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","41","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","42","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","42","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","40","managers","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","41","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","39","No auth - get user role","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","43","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Jan 23 19:04:42 UTC 2026","broken","Fri Jan 23 19:04:42 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","44","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Jan 23 19:04:47 UTC 2026","broken","Fri Jan 23 19:04:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","43","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","41","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","47","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","41","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jan 23 19:04:45 UTC 2026","broken","Fri Jan 23 19:04:45 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","48","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Jan 23 19:04:48 UTC 2026","broken","Fri Jan 23 19:04:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","41","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","40","successful dashboard embed","QA|Nova Bank - Infopool","Fri Jan 23 19:04:46 UTC 2026","broken","Fri Jan 23 19:04:46 UTC 2026","embed dashboard","Bank User","",""
"","74","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","41","audit trail","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","44","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","51","Export Report Data","QA|Nova Bank - Infopool","Fri Jan 23 19:04:51 UTC 2026","broken","Fri Jan 23 19:04:51 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","51","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jan 23 19:04:41 UTC 2026","broken","Fri Jan 23 19:04:41 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","42","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri Jan 23 19:04:50 UTC 2026","broken","Fri Jan 23 19:04:50 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","45","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jan 23 19:04:49 UTC 2026","broken","Fri Jan 23 19:04:49 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","43","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jan 23 19:04:43 UTC 2026","broken","Fri Jan 23 19:04:43 UTC 2026","v1 > Profile > update profile image","Bank User","",""
