"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 20:55:48 GMT 2025","passed","Sun Jun 08 20:55:48 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","36","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","40","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","36","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","34","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","37","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","40","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","35","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","159","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","failed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"Get a paginated list of reports with optional filtering","36","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","43","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","passed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","36","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","170","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 20:54:27 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","49","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Create a new report","65","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:53 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","40","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","35","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 20:55:48 GMT 2025","passed","Sun Jun 08 20:55:48 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get a paginated list of reports with optional filtering","34","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","54","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","113","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:54:27 GMT 2025","passed","Sun Jun 08 20:54:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","2478","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 20:54:39 GMT 2025","passed","Sun Jun 08 20:54:42 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Delete a report (soft delete)","53","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:53 GMT 2025","passed","Sun Jun 08 20:55:53 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","37","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","736","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:54:24 GMT 2025","passed","Sun Jun 08 20:54:24 GMT 2025","v1 > Profile > Password","Bank User","",""
"","52","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","430","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 20:54:42 GMT 2025","passed","Sun Jun 08 20:54:42 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","36","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","45","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","failed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","52","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","passed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","39","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","failed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","36","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","35","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","35","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","34","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","326","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 20:54:27 GMT 2025","passed","Sun Jun 08 20:54:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","35","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","54","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","36","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","41","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","passed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","40","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","35","Create roles","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","37","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","126","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:22 GMT 2025","passed","Sun Jun 08 20:54:22 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","556","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Jun 08 20:55:53 GMT 2025","failed","Sun Jun 08 20:55:54 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","318","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 20:54:25 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","148","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","passed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","83","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:56 GMT 2025","passed","Sun Jun 08 20:55:56 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","36","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","40","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","49","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","141","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","passed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","35","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","35","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","35","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","147","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:54:22 GMT 2025","failed","Sun Jun 08 20:54:22 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","134","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","failed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","255","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","559","reset password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:22 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","37","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","141","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","36","update role","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","3561","Export Report Data","QA|Nova Bank - Infopool","Sun Jun 08 20:55:56 GMT 2025","failed","Sun Jun 08 20:56:00 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","54","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:25 GMT 2025","passed","Sun Jun 08 20:54:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","66229","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 20:54:42 GMT 2025","passed","Sun Jun 08 20:55:48 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","35","get user role","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Create a new report","35","Create Report","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","41","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","failed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","483","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 20:54:16 GMT 2025","passed","Sun Jun 08 20:54:17 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","43","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:56:00 GMT 2025","passed","Sun Jun 08 20:56:00 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","51","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:24 GMT 2025","passed","Sun Jun 08 20:54:24 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:54:23 GMT 2025","passed","Sun Jun 08 20:54:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","141","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 20:56:03 GMT 2025","passed","Sun Jun 08 20:56:03 GMT 2025","","corporate Adjustment","",""
"","42","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","35","managers","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","36","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","passed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","36","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","3142","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:32 GMT 2025","passed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Update an existing report","248","Update Report","QA|Nova Bank - Infopool","Sun Jun 08 20:55:53 GMT 2025","passed","Sun Jun 08 20:55:53 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","41","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:56 GMT 2025","passed","Sun Jun 08 20:55:56 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","36","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","34","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","35","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","36","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","51","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","passed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","45","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 20:54:22 GMT 2025","passed","Sun Jun 08 20:54:22 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","36","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","35","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 20:55:48 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","embed dashboard","Bank User","",""
"","34","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","40","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","141","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","passed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","33","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","35","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 20:55:48 GMT 2025","passed","Sun Jun 08 20:55:48 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","41","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","41","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","failed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","160","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:54:38 GMT 2025","passed","Sun Jun 08 20:54:38 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","35","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:51 GMT 2025","passed","Sun Jun 08 20:55:51 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Delete a report (soft delete)","38","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:55:53 GMT 2025","failed","Sun Jun 08 20:55:53 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","35","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","63","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 20:54:26 GMT 2025","passed","Sun Jun 08 20:54:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","35","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","40","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 20:54:37 GMT 2025","passed","Sun Jun 08 20:54:37 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","41","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:54:36 GMT 2025","passed","Sun Jun 08 20:54:36 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","34","get all category","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","35","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 20:55:49 GMT 2025","passed","Sun Jun 08 20:55:49 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","39","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:54:28 GMT 2025","passed","Sun Jun 08 20:54:28 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","34","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 20:55:52 GMT 2025","passed","Sun Jun 08 20:55:52 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","35","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 20:55:50 GMT 2025","passed","Sun Jun 08 20:55:50 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
