"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","update role","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","31","Get profile - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get a specific report by ID","32","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","37","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","35","category by id","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","33","Update profile - no auth","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","36","Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","39","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","35","Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","37","Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","36","Role does not exist - update role","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","31","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","34","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","32","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","43","Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Report Objects - Question","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","30","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","36","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","Create roles - empty name field","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","33","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","34","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","32","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","passed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","36","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","35","managers","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Delete a report (soft delete)","32","Delete Report -No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","29","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Create a new report","37","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","38","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","33","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","29","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","27","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","33","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","32","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","38","Search Customers","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","36","Create organization - no name","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","36","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","39","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","failed","Wed May 14 16:22:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","32","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","37","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","36","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","90","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Create a new report","6195","Create Report","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","177","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Create a new report","31","Create Report - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:25 GMT 2025","passed","Wed May 14 16:22:25 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","39","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","32","No Auth - Change password","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","Get profile - successfully","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","35","Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","33","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","37","audit trail","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","failed","Wed May 14 16:22:06 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","30","Health","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Health","Bank Admin","",""
"","36","Fetch all organizations","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","38","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","34","Logout session successfully","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Logout","Bank Admin","",""
"","37","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","33","Create organization - name already exists","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","passed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","Create roles - No auth","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","37","Update user - invalid action","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","31","audit trail - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","37","Update profile - no phone number","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","33","Get events - no auth","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","passed","Wed May 14 16:22:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","No user credentials","QA|Nova Bank - Infopool","Wed May 14 16:22:04 GMT 2025","passed","Wed May 14 16:22:04 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","31","No auth - get all category","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","passed","Wed May 14 16:22:18 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","36","Update organization details by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Empty new password - Change password","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","6180","Get single definition","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","35","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","36","Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","37","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","32","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","passed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","39","Update Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","failed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","37","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Get events - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:05 GMT 2025","failed","Wed May 14 16:22:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","31","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","38","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed May 14 16:22:15 GMT 2025","failed","Wed May 14 16:22:15 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Wed May 14 16:22:08 GMT 2025","failed","Wed May 14 16:22:08 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Reports Stats","QA|Nova Bank - Infopool","Wed May 14 16:22:18 GMT 2025","failed","Wed May 14 16:22:18 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","30","Get roles - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","30","Get roles - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","passed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","37","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed May 14 16:22:06 GMT 2025","passed","Wed May 14 16:22:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","38","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","36","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed May 14 16:22:16 GMT 2025","failed","Wed May 14 16:22:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","31","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 14 16:22:07 GMT 2025","passed","Wed May 14 16:22:07 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","36","Get role by ID - successful","QA|Nova Bank - Infopool","Wed May 14 16:22:17 GMT 2025","failed","Wed May 14 16:22:17 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
