"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","44","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","43","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","31","No auth - managers","QA|Nova Bank - Infopool","Fri Jul 18 19:00:31 GMT 2025","passed","Fri Jul 18 19:00:31 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","37","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","44","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","34","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","failed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","120","Fetch all organizations","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","43","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","712","Successful login","QA|Nova Bank - Infopool","Fri Jul 18 19:00:02 GMT 2025","passed","Fri Jul 18 19:00:03 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","39","No user credentials","QA|Nova Bank - Infopool","Fri Jul 18 19:00:09 GMT 2025","passed","Fri Jul 18 19:00:09 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","42","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:14 GMT 2025","passed","Fri Jul 18 19:00:14 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","failed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","97","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","passed","Fri Jul 18 19:00:27 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","32","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","35","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","29","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","183","Forgot password - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:10 GMT 2025","failed","Fri Jul 18 19:00:10 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","31","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","passed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","43","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:14 GMT 2025","passed","Fri Jul 18 19:00:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","32","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","45","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","29","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jul 18 19:00:17 GMT 2025","passed","Fri Jul 18 19:00:17 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","43","Update profile","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","failed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","86","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","failed","Fri Jul 18 19:00:11 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","2788","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jul 18 19:00:24 GMT 2025","passed","Fri Jul 18 19:00:27 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","44","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","44","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","30","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","39","Update user - invalid action","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","45","get user role","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","30","Health","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","failed","Fri Jul 18 19:00:27 GMT 2025","v1 > Health","Bank Admin","",""
"","31","No auth - get user role","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","40","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Password","Bank User","",""
"","363","Create a New Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:14 GMT 2025","passed","Fri Jul 18 19:00:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","64","verify OTP","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","46","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","failed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","passed","Fri Jul 18 19:00:27 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","30","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","46","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","37","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","41","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:13 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","71","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","failed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","51","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","40","successful dashboard embed","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","passed","Fri Jul 18 19:00:27 GMT 2025","embed dashboard","Bank User","",""
"","83","audit trail","QA|Nova Bank - Infopool","Fri Jul 18 19:00:13 GMT 2025","passed","Fri Jul 18 19:00:13 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","52","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","47","managers","QA|Nova Bank - Infopool","Fri Jul 18 19:00:31 GMT 2025","passed","Fri Jul 18 19:00:31 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","424","Change password - successful","QA|Nova Bank - Infopool","Fri Jul 18 19:00:11 GMT 2025","passed","Fri Jul 18 19:00:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","47","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","65","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","failed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","271","audit-search","QA|Nova Bank - Infopool","Fri Jul 18 19:00:13 GMT 2025","passed","Fri Jul 18 19:00:13 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","32","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jul 18 19:00:27 GMT 2025","failed","Fri Jul 18 19:00:27 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","42","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jul 18 19:00:28 GMT 2025","passed","Fri Jul 18 19:00:28 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","32","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Jul 18 19:00:14 GMT 2025","passed","Fri Jul 18 19:00:14 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","103","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Jul 18 19:00:14 GMT 2025","passed","Fri Jul 18 19:00:15 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","100","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","48","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jul 18 19:00:30 GMT 2025","passed","Fri Jul 18 19:00:30 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","41","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Jul 18 19:00:12 GMT 2025","passed","Fri Jul 18 19:00:12 GMT 2025","v1 > Profile > Password","Bank User","",""
"","40","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Jul 18 19:00:10 GMT 2025","passed","Fri Jul 18 19:00:10 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","131","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Jul 18 19:00:23 GMT 2025","failed","Fri Jul 18 19:00:23 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","44","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jul 18 19:00:29 GMT 2025","passed","Fri Jul 18 19:00:29 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","122","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jul 18 19:00:13 GMT 2025","passed","Fri Jul 18 19:00:13 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","33","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jul 18 19:00:13 GMT 2025","passed","Fri Jul 18 19:00:13 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","30","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jul 18 19:00:16 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","116","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jul 18 19:00:15 GMT 2025","passed","Fri Jul 18 19:00:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","100","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Jul 18 19:00:20 GMT 2025","passed","Fri Jul 18 19:00:20 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
