"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Get Report Data - Question","QA|Nova Bank - Infopool","Wed Jan 21 19:05:33 UTC 2026","broken","Wed Jan 21 19:05:33 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","169","Create a New Issue","QA|Nova Bank - Infopool","Wed Jan 21 19:05:09 UTC 2026","broken","Wed Jan 21 19:05:09 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","139","update role","QA|Nova Bank - Infopool","Wed Jan 21 19:05:20 UTC 2026","broken","Wed Jan 21 19:05:20 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","143","Create organization - empty street value","QA|Nova Bank - Infopool","Wed Jan 21 19:05:22 UTC 2026","broken","Wed Jan 21 19:05:22 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","150","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed Jan 21 19:05:08 UTC 2026","broken","Wed Jan 21 19:05:08 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","144","No email - Forgot Password","QA|Nova Bank - Infopool","Wed Jan 21 19:05:02 UTC 2026","broken","Wed Jan 21 19:05:03 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","141","No Auth - Update definition","QA|Nova Bank - Infopool","Wed Jan 21 19:05:18 UTC 2026","broken","Wed Jan 21 19:05:18 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","140","Add attachment to issue","QA|Nova Bank - Infopool","Wed Jan 21 19:05:11 UTC 2026","broken","Wed Jan 21 19:05:12 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","143","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Wed Jan 21 19:05:33 UTC 2026","broken","Wed Jan 21 19:05:33 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","140","Get events - invalid end date","QA|Nova Bank - Infopool","Wed Jan 21 19:05:07 UTC 2026","broken","Wed Jan 21 19:05:07 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","143","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:04 UTC 2026","broken","Wed Jan 21 19:05:04 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","139","Update user - invalid action","QA|Nova Bank - Infopool","Wed Jan 21 19:05:19 UTC 2026","broken","Wed Jan 21 19:05:19 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","139","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Jan 21 19:05:16 UTC 2026","broken","Wed Jan 21 19:05:16 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","139","Logout session successfully","QA|Nova Bank - Infopool","Wed Jan 21 19:05:29 UTC 2026","broken","Wed Jan 21 19:05:29 UTC 2026","v1 > Logout","Bank Admin","",""
"","138","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed Jan 21 19:05:27 UTC 2026","broken","Wed Jan 21 19:05:27 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","136","Get events - invalid start date","QA|Nova Bank - Infopool","Wed Jan 21 19:05:07 UTC 2026","broken","Wed Jan 21 19:05:07 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","140","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Wed Jan 21 19:05:23 UTC 2026","broken","Wed Jan 21 19:05:23 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","147","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Wed Jan 21 19:05:34 UTC 2026","broken","Wed Jan 21 19:05:34 UTC 2026","","corporate Adjustment","",""
"","140","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Jan 21 19:05:14 UTC 2026","broken","Wed Jan 21 19:05:14 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","138","Update role status","QA|Nova Bank - Infopool","Wed Jan 21 19:05:27 UTC 2026","broken","Wed Jan 21 19:05:27 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","141","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:14 UTC 2026","broken","Wed Jan 21 19:05:15 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","139","Get events - no auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:07 UTC 2026","broken","Wed Jan 21 19:05:07 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","140","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed Jan 21 19:05:16 UTC 2026","broken","Wed Jan 21 19:05:16 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","139","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed Jan 21 19:05:11 UTC 2026","broken","Wed Jan 21 19:05:11 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Get a specific report by ID","138","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:31 UTC 2026","broken","Wed Jan 21 19:05:31 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a specific report by ID","139","Get Report by ID - No auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:30 UTC 2026","broken","Wed Jan 21 19:05:31 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","136","category by id","QA|Nova Bank - Infopool","Wed Jan 21 19:05:29 UTC 2026","broken","Wed Jan 21 19:05:29 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a paginated list of reports with optional filtering","138","Get Reports Stats","QA|Nova Bank - Infopool","Wed Jan 21 19:05:30 UTC 2026","broken","Wed Jan 21 19:05:30 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","143","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jan 21 19:05:03 UTC 2026","broken","Wed Jan 21 19:05:03 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","138","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed Jan 21 19:05:25 UTC 2026","broken","Wed Jan 21 19:05:25 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","142","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:30 UTC 2026","broken","Wed Jan 21 19:05:30 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","137","Update user - empty action field","QA|Nova Bank - Infopool","Wed Jan 21 19:05:19 UTC 2026","broken","Wed Jan 21 19:05:19 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","137","Get profile - user not logged in","QA|Nova Bank - Infopool","Wed Jan 21 19:05:06 UTC 2026","broken","Wed Jan 21 19:05:06 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","137","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed Jan 21 19:05:22 UTC 2026","broken","Wed Jan 21 19:05:22 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","156","Update profile - invalid phone number","QA|Nova Bank - Infopool","Wed Jan 21 19:05:06 UTC 2026","broken","Wed Jan 21 19:05:06 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","138","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Wed Jan 21 19:05:22 UTC 2026","broken","Wed Jan 21 19:05:22 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","141","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed Jan 21 19:05:17 UTC 2026","broken","Wed Jan 21 19:05:17 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","138","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed Jan 21 19:05:28 UTC 2026","broken","Wed Jan 21 19:05:28 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","143","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Wed Jan 21 19:05:34 UTC 2026","broken","Wed Jan 21 19:05:34 UTC 2026","","corporate Adjustment","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","143","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jan 21 19:05:04 UTC 2026","broken","Wed Jan 21 19:05:04 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","140","Get all Issues","QA|Nova Bank - Infopool","Wed Jan 21 19:05:10 UTC 2026","broken","Wed Jan 21 19:05:10 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get a specific report by ID","137","Get Report by ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:30 UTC 2026","broken","Wed Jan 21 19:05:30 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","141","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:23 UTC 2026","broken","Wed Jan 21 19:05:23 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","137","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Wed Jan 21 19:05:15 UTC 2026","broken","Wed Jan 21 19:05:16 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","139","audit trail","QA|Nova Bank - Infopool","Wed Jan 21 19:05:08 UTC 2026","broken","Wed Jan 21 19:05:08 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","151","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Wed Jan 21 19:05:09 UTC 2026","broken","Wed Jan 21 19:05:09 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","144","Get profile roles - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:04 UTC 2026","broken","Wed Jan 21 19:05:04 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","141","No auth - update role","QA|Nova Bank - Infopool","Wed Jan 21 19:05:20 UTC 2026","broken","Wed Jan 21 19:05:20 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","140","audit trail - No Auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:08 UTC 2026","broken","Wed Jan 21 19:05:08 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","139","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed Jan 21 19:05:21 UTC 2026","broken","Wed Jan 21 19:05:22 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","136","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed Jan 21 19:05:26 UTC 2026","broken","Wed Jan 21 19:05:26 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","141","Get events - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:07 UTC 2026","broken","Wed Jan 21 19:05:07 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","144","No Auth - Search Customers","QA|Nova Bank - Infopool","Wed Jan 21 19:05:14 UTC 2026","broken","Wed Jan 21 19:05:14 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","152","Forgot password - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:02 UTC 2026","broken","Wed Jan 21 19:05:02 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","144","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed Jan 21 19:05:09 UTC 2026","broken","Wed Jan 21 19:05:09 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","142","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Wed Jan 21 19:05:11 UTC 2026","broken","Wed Jan 21 19:05:11 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","135","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed Jan 21 19:05:16 UTC 2026","broken","Wed Jan 21 19:05:16 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a specific report by ID","148","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed Jan 21 19:05:31 UTC 2026","broken","Wed Jan 21 19:05:31 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","143","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed Jan 21 19:05:03 UTC 2026","broken","Wed Jan 21 19:05:03 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","143","Add user to an organization - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:25 UTC 2026","broken","Wed Jan 21 19:05:25 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","139","successful dashboard embed","QA|Nova Bank - Infopool","Wed Jan 21 19:05:16 UTC 2026","broken","Wed Jan 21 19:05:17 UTC 2026","embed dashboard","Bank User","",""
"","138","Fetch all users","QA|Nova Bank - Infopool","Wed Jan 21 19:05:18 UTC 2026","broken","Wed Jan 21 19:05:19 UTC 2026","v1 > Users > Fetch users","Bank Admin","",""
"","146","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed Jan 21 19:05:13 UTC 2026","broken","Wed Jan 21 19:05:13 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","137","Update Customer Comment","QA|Nova Bank - Infopool","Wed Jan 21 19:05:13 UTC 2026","broken","Wed Jan 21 19:05:13 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","140","Update definition","QA|Nova Bank - Infopool","Wed Jan 21 19:05:17 UTC 2026","broken","Wed Jan 21 19:05:18 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","136","Get roles - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:26 UTC 2026","broken","Wed Jan 21 19:05:26 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","143","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed Jan 21 19:05:15 UTC 2026","broken","Wed Jan 21 19:05:15 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","145","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed Jan 21 19:05:03 UTC 2026","broken","Wed Jan 21 19:05:03 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","140","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed Jan 21 19:05:12 UTC 2026","broken","Wed Jan 21 19:05:12 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","139","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:22 UTC 2026","broken","Wed Jan 21 19:05:22 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","417","Successful login","QA|Nova Bank - Infopool","Wed Jan 21 19:05:01 UTC 2026","broken","Wed Jan 21 19:05:02 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","137","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:25 UTC 2026","broken","Wed Jan 21 19:05:26 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","137","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Jan 21 19:05:25 UTC 2026","broken","Wed Jan 21 19:05:25 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","140","Create organization - no country ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:21 UTC 2026","broken","Wed Jan 21 19:05:21 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","137","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed Jan 21 19:05:17 UTC 2026","broken","Wed Jan 21 19:05:17 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","144","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:24 UTC 2026","broken","Wed Jan 21 19:05:24 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","137","managers","QA|Nova Bank - Infopool","Wed Jan 21 19:05:26 UTC 2026","broken","Wed Jan 21 19:05:26 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","144","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:11 UTC 2026","broken","Wed Jan 21 19:05:11 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","148","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Wed Jan 21 19:05:03 UTC 2026","broken","Wed Jan 21 19:05:03 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","139","Fetch all users in an organization","QA|Nova Bank - Infopool","Wed Jan 21 19:05:25 UTC 2026","broken","Wed Jan 21 19:05:25 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","148","Create roles - empty name field","QA|Nova Bank - Infopool","Wed Jan 21 19:05:27 UTC 2026","broken","Wed Jan 21 19:05:27 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","142","Update profile - No Auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:07 UTC 2026","broken","Wed Jan 21 19:05:07 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","141","Get Reports - No auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:29 UTC 2026","broken","Wed Jan 21 19:05:29 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","147","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed Jan 21 19:05:23 UTC 2026","broken","Wed Jan 21 19:05:23 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","147","Update user - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:19 UTC 2026","broken","Wed Jan 21 19:05:19 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","139","Invalid name - Search Customers","QA|Nova Bank - Infopool","Wed Jan 21 19:05:14 UTC 2026","broken","Wed Jan 21 19:05:14 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","143","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed Jan 21 19:05:12 UTC 2026","broken","Wed Jan 21 19:05:12 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Delete a report (soft delete)","139","Delete Report","QA|Nova Bank - Infopool","Wed Jan 21 19:05:32 UTC 2026","broken","Wed Jan 21 19:05:32 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","140","Create roles - No auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:26 UTC 2026","broken","Wed Jan 21 19:05:27 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","140","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Wed Jan 21 19:05:13 UTC 2026","broken","Wed Jan 21 19:05:13 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","136","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:18 UTC 2026","broken","Wed Jan 21 19:05:18 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","142","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed Jan 21 19:05:10 UTC 2026","broken","Wed Jan 21 19:05:10 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","152","Create organization - empty city value","QA|Nova Bank - Infopool","Wed Jan 21 19:05:22 UTC 2026","broken","Wed Jan 21 19:05:22 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","140","verify OTP","QA|Nova Bank - Infopool","Wed Jan 21 19:05:04 UTC 2026","broken","Wed Jan 21 19:05:04 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"","148","Create  organization","QA|Nova Bank - Infopool","Wed Jan 21 19:05:20 UTC 2026","broken","Wed Jan 21 19:05:20 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","138","Get all permissions","QA|Nova Bank - Infopool","Wed Jan 21 19:05:28 UTC 2026","broken","Wed Jan 21 19:05:28 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","141","Search Customers","QA|Nova Bank - Infopool","Wed Jan 21 19:05:14 UTC 2026","broken","Wed Jan 21 19:05:14 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","145","Create organization - name already exists","QA|Nova Bank - Infopool","Wed Jan 21 19:05:21 UTC 2026","broken","Wed Jan 21 19:05:21 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","145","Update profile","QA|Nova Bank - Infopool","Wed Jan 21 19:05:06 UTC 2026","broken","Wed Jan 21 19:05:07 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","137","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:23 UTC 2026","broken","Wed Jan 21 19:05:23 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","143","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed Jan 21 19:05:25 UTC 2026","broken","Wed Jan 21 19:05:25 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","143","get all category","QA|Nova Bank - Infopool","Wed Jan 21 19:05:28 UTC 2026","broken","Wed Jan 21 19:05:28 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","144","No Auth - Get all definitions","QA|Nova Bank - Infopool","Wed Jan 21 19:05:17 UTC 2026","broken","Wed Jan 21 19:05:17 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","138","Add Comment to Issue","QA|Nova Bank - Infopool","Wed Jan 21 19:05:11 UTC 2026","broken","Wed Jan 21 19:05:11 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","139","No auth - category by id","QA|Nova Bank - Infopool","Wed Jan 21 19:05:29 UTC 2026","broken","Wed Jan 21 19:05:29 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","141","No_auth_add_comments","QA|Nova Bank - Infopool","Wed Jan 21 19:05:12 UTC 2026","broken","Wed Jan 21 19:05:13 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","138","Get profile - No Auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:06 UTC 2026","broken","Wed Jan 21 19:05:06 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","138","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed Jan 21 19:05:10 UTC 2026","broken","Wed Jan 21 19:05:10 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get a paginated list of reports with optional filtering","139","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed Jan 21 19:05:30 UTC 2026","broken","Wed Jan 21 19:05:30 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","142","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed Jan 21 19:05:13 UTC 2026","broken","Wed Jan 21 19:05:13 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","138","Create organization - no name","QA|Nova Bank - Infopool","Wed Jan 21 19:05:21 UTC 2026","broken","Wed Jan 21 19:05:21 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","140","Update user - no auth","QA|Nova Bank - Infopool","Wed Jan 21 19:05:19 UTC 2026","broken","Wed Jan 21 19:05:19 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","151","No user credentials","QA|Nova Bank - Infopool","Wed Jan 21 19:05:02 UTC 2026","broken","Wed Jan 21 19:05:02 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","134","No auth - get user role","QA|Nova Bank - Infopool","Wed Jan 21 19:05:20 UTC 2026","broken","Wed Jan 21 19:05:20 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","138","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Wed Jan 21 19:05:18 UTC 2026","broken","Wed Jan 21 19:05:18 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","147","Export Report Data","QA|Nova Bank - Infopool","Wed Jan 21 19:05:33 UTC 2026","broken","Wed Jan 21 19:05:33 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","139","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Wed Jan 21 19:05:08 UTC 2026","broken","Wed Jan 21 19:05:09 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
