"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Get all notification templates - invalid category","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","35","Get single definition - invalid ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:53 GMT 2025","passed","Fri Mar 28 18:53:53 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","Forgot password - no email","QA|Nova Bank - Infopool","Fri Mar 28 18:53:39 GMT 2025","passed","Fri Mar 28 18:53:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","40","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","49","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","54","get all category","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","20","Get notification template by ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications > Template","Bank Admin","",""
"","47","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","Add Comment to Customer","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","53","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","42","Get all Issues","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","failed","Fri Mar 28 18:53:42 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","33","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","43","Logout session successfully","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Logout","Bank Admin","",""
"","42","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","52","update notification template","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","38","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","2636","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Mar 28 18:53:44 GMT 2025","passed","Fri Mar 28 18:53:47 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","36","Fetch all users","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","44","Create organization - empty description","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","183","Get all notifications - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications","Bank Admin","",""
"","30","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","75","Get role permission - role ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Permissions > Get role permissions","Bank Admin","",""
"","33","Delete Attachment from Issue invalid attachment id","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","failed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","75","update role","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","98","Update permissions - permissions do not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Permissions > Update permission - API needs review","Bank Admin","",""
"","817","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:44 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","44","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","31","No user credentials","QA|Nova Bank - Infopool","Fri Mar 28 18:53:39 GMT 2025","passed","Fri Mar 28 18:53:39 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","96","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","69","Get profile - successfully","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","passed","Fri Mar 28 18:53:40 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","38","Get single definition","QA|Nova Bank - Infopool","Fri Mar 28 18:53:53 GMT 2025","passed","Fri Mar 28 18:53:53 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","41","Update role status","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","36","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","failed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","48","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","26","Health","QA|Nova Bank - Infopool","Fri Mar 28 18:53:53 GMT 2025","passed","Fri Mar 28 18:53:53 GMT 2025","v1 > Health","Bank Admin","",""
"","21","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","37","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","failed","Fri Mar 28 18:53:57 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","81","Send user invitation token - empty authentication type","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","48","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","Get single definition - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:53 GMT 2025","passed","Fri Mar 28 18:53:53 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","46","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Send user invitation token - empty password","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","31","Get role by ID - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","36","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","failed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","41","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","21","Notifications Controller create Notification v1","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Notifications","Bank Admin","",""
"","6160","Invalid email format","QA|Nova Bank - Infopool","Fri Mar 28 18:53:33 GMT 2025","passed","Fri Mar 28 18:53:39 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","49","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","failed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","1517","Successful login","QA|Nova Bank - Infopool","Fri Mar 28 18:53:31 GMT 2025","passed","Fri Mar 28 18:53:33 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","37","Fetch all organizations","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","170","Change password - weak password","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","passed","Fri Mar 28 18:53:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","69","Search Customers - invalid name","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","32","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","45","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","41","Create organization - no name","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","35","Get Issue by ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","failed","Fri Mar 28 18:53:42 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","42","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","87","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Mar 28 18:53:47 GMT 2025","failed","Fri Mar 28 18:53:47 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","40","Update user - empty action field","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","61","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","34","Get all permissions","QA|Nova Bank - Infopool","Fri Mar 28 18:53:57 GMT 2025","passed","Fri Mar 28 18:53:57 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","28","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","passed","Fri Mar 28 18:53:40 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","27","Change password - No Auth","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","passed","Fri Mar 28 18:53:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","61","Update definition","QA|Nova Bank - Infopool","Fri Mar 28 18:53:53 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","88","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Mar 28 18:53:47 GMT 2025","failed","Fri Mar 28 18:53:47 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","26","Send user invitation token - empty first name","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","20","Update permissions - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Permissions > Update permission - API needs review","Bank Admin","",""
"","51","Get roles - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","52","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","52","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Mar 28 18:53:47 GMT 2025","passed","Fri Mar 28 18:53:47 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","29","Validate user invitation token","QA|Nova Bank - Infopool","Fri Mar 28 18:53:41 GMT 2025","passed","Fri Mar 28 18:53:41 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","24","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","35","Create a New Issue - empty issue","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","26","Search Customers - No Auth","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","43","Update Customer Comment","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","44","Create roles - role name already exists","QA|Nova Bank - Infopool","Fri Mar 28 18:53:56 GMT 2025","passed","Fri Mar 28 18:53:56 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","42","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","177","Change password - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:40 GMT 2025","failed","Fri Mar 28 18:53:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","40","Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Mar 28 18:53:39 GMT 2025","passed","Fri Mar 28 18:53:39 GMT 2025","v1 > Auth > mfa > verify","Bank User","",""
"","53","Update user - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","46","Send user invitation token - invalid authentication","QA|Nova Bank - Infopool","Fri Mar 28 18:53:42 GMT 2025","passed","Fri Mar 28 18:53:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","32","Add attachment to issue","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","failed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","55","Search Customers","QA|Nova Bank - Infopool","Fri Mar 28 18:53:43 GMT 2025","passed","Fri Mar 28 18:53:43 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","41","Get all definitions","QA|Nova Bank - Infopool","Fri Mar 28 18:53:53 GMT 2025","passed","Fri Mar 28 18:53:53 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","48","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Mar 28 18:53:55 GMT 2025","passed","Fri Mar 28 18:53:55 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","get user role","QA|Nova Bank - Infopool","Fri Mar 28 18:53:54 GMT 2025","passed","Fri Mar 28 18:53:54 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","74","Forgot password - successful","QA|Nova Bank - Infopool","Fri Mar 28 18:53:39 GMT 2025","passed","Fri Mar 28 18:53:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
