"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","Change password - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:12:42 UTC 2026","broken","Sun Jan 04 20:12:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","163","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jan 04 20:12:41 UTC 2026","broken","Sun Jan 04 20:12:41 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","164","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:13:03 UTC 2026","broken","Sun Jan 04 20:13:03 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","163","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jan 04 20:13:05 UTC 2026","broken","Sun Jan 04 20:13:05 UTC 2026","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","167","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jan 04 20:12:40 UTC 2026","broken","Sun Jan 04 20:12:41 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","151","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:13:02 UTC 2026","broken","Sun Jan 04 20:13:02 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","160","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jan 04 20:12:57 UTC 2026","broken","Sun Jan 04 20:12:57 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","168","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jan 04 20:12:55 UTC 2026","broken","Sun Jan 04 20:12:56 UTC 2026","embed dashboard","Bank User","",""
"","171","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jan 04 20:13:01 UTC 2026","broken","Sun Jan 04 20:13:02 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","168","Search Customers","QA|Nova Bank - Infopool","Sun Jan 04 20:12:52 UTC 2026","broken","Sun Jan 04 20:12:52 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","160","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jan 04 20:13:16 UTC 2026","broken","Sun Jan 04 20:13:16 UTC 2026","","corporate Adjustment","",""
"","166","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:03 UTC 2026","broken","Sun Jan 04 20:13:03 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","158","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jan 04 20:12:43 UTC 2026","broken","Sun Jan 04 20:12:43 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","162","Search Customers","QA|Nova Bank - Infopool","Sun Jan 04 20:12:53 UTC 2026","broken","Sun Jan 04 20:12:53 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","167","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jan 04 20:12:51 UTC 2026","broken","Sun Jan 04 20:12:52 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","159","Get all Issues","QA|Nova Bank - Infopool","Sun Jan 04 20:12:48 UTC 2026","broken","Sun Jan 04 20:12:48 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","157","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jan 04 20:13:00 UTC 2026","broken","Sun Jan 04 20:13:00 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","183","Update profile","QA|Nova Bank - Infopool","Sun Jan 04 20:12:44 UTC 2026","broken","Sun Jan 04 20:12:44 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","157","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jan 04 20:13:01 UTC 2026","broken","Sun Jan 04 20:13:01 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","201","Create a New Issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:47 UTC 2026","broken","Sun Jan 04 20:12:47 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","165","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:13:05 UTC 2026","broken","Sun Jan 04 20:13:05 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","168","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:13:08 UTC 2026","broken","Sun Jan 04 20:13:09 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","159","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jan 04 20:12:42 UTC 2026","broken","Sun Jan 04 20:12:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"Get a specific report by ID","171","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jan 04 20:13:12 UTC 2026","broken","Sun Jan 04 20:13:12 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","156","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jan 04 20:13:07 UTC 2026","broken","Sun Jan 04 20:13:07 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","161","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jan 04 20:13:05 UTC 2026","broken","Sun Jan 04 20:13:05 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","164","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jan 04 20:12:46 UTC 2026","broken","Sun Jan 04 20:12:47 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","168","Update user - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:12:58 UTC 2026","broken","Sun Jan 04 20:12:58 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","179","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:12:39 UTC 2026","broken","Sun Jan 04 20:12:39 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","167","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jan 04 20:12:44 UTC 2026","broken","Sun Jan 04 20:12:44 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","164","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jan 04 20:12:44 UTC 2026","broken","Sun Jan 04 20:12:44 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","154","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Jan 04 20:13:15 UTC 2026","broken","Sun Jan 04 20:13:16 UTC 2026","","corporate Adjustment","",""
"Update an existing report","161","Update Report","QA|Nova Bank - Infopool","Sun Jan 04 20:13:13 UTC 2026","broken","Sun Jan 04 20:13:13 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","164","No auth - category by id","QA|Nova Bank - Infopool","Sun Jan 04 20:13:10 UTC 2026","broken","Sun Jan 04 20:13:10 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a paginated list of reports with optional filtering","167","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jan 04 20:13:11 UTC 2026","broken","Sun Jan 04 20:13:11 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","165","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:12:41 UTC 2026","broken","Sun Jan 04 20:12:41 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","166","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jan 04 20:12:52 UTC 2026","broken","Sun Jan 04 20:12:53 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","164","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:15 UTC 2026","broken","Sun Jan 04 20:13:15 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","160","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jan 04 20:12:48 UTC 2026","broken","Sun Jan 04 20:12:48 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","168","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jan 04 20:12:43 UTC 2026","broken","Sun Jan 04 20:12:43 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","163","Get single definition","QA|Nova Bank - Infopool","Sun Jan 04 20:12:56 UTC 2026","broken","Sun Jan 04 20:12:56 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","168","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:07 UTC 2026","broken","Sun Jan 04 20:13:07 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","158","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jan 04 20:12:42 UTC 2026","broken","Sun Jan 04 20:12:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","159","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jan 04 20:13:09 UTC 2026","broken","Sun Jan 04 20:13:09 UTC 2026","v1 > Permissions > Get permissions","Bank Admin","",""
"","159","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:02 UTC 2026","broken","Sun Jan 04 20:13:02 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","153","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jan 04 20:12:53 UTC 2026","broken","Sun Jan 04 20:12:54 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","168","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:13:08 UTC 2026","broken","Sun Jan 04 20:13:08 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","192","Invalid email format","QA|Nova Bank - Infopool","Sun Jan 04 20:12:38 UTC 2026","broken","Sun Jan 04 20:12:38 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","169","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:08 UTC 2026","broken","Sun Jan 04 20:13:08 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","155","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jan 04 20:12:45 UTC 2026","broken","Sun Jan 04 20:12:45 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","168","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jan 04 20:13:06 UTC 2026","broken","Sun Jan 04 20:13:06 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","164","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jan 04 20:12:57 UTC 2026","broken","Sun Jan 04 20:12:57 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","160","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jan 04 20:13:01 UTC 2026","broken","Sun Jan 04 20:13:01 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","166","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jan 04 20:12:47 UTC 2026","broken","Sun Jan 04 20:12:47 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","167","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jan 04 20:12:39 UTC 2026","broken","Sun Jan 04 20:12:39 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Create a new report","155","Create Report","QA|Nova Bank - Infopool","Sun Jan 04 20:13:13 UTC 2026","broken","Sun Jan 04 20:13:13 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","153","Logout session - no session","QA|Nova Bank - Infopool","Sun Jan 04 20:13:10 UTC 2026","broken","Sun Jan 04 20:13:10 UTC 2026","v1 > Logout","Bank Admin","",""
"Get a specific report by ID","171","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:12 UTC 2026","broken","Sun Jan 04 20:13:12 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","167","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jan 04 20:13:08 UTC 2026","broken","Sun Jan 04 20:13:08 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","174","verify OTP","QA|Nova Bank - Infopool","Sun Jan 04 20:12:41 UTC 2026","broken","Sun Jan 04 20:12:41 UTC 2026","v1 > Auth > MFA > Verify","Bank User","",""
"Get a specific report by ID","168","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jan 04 20:13:12 UTC 2026","broken","Sun Jan 04 20:13:12 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","155","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jan 04 20:12:51 UTC 2026","broken","Sun Jan 04 20:12:51 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","186","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jan 04 20:13:04 UTC 2026","broken","Sun Jan 04 20:13:05 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","165","Create roles","QA|Nova Bank - Infopool","Sun Jan 04 20:13:07 UTC 2026","broken","Sun Jan 04 20:13:07 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","160","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jan 04 20:13:05 UTC 2026","broken","Sun Jan 04 20:13:05 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","165","category by id","QA|Nova Bank - Infopool","Sun Jan 04 20:13:10 UTC 2026","broken","Sun Jan 04 20:13:10 UTC 2026","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","165","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jan 04 20:12:55 UTC 2026","broken","Sun Jan 04 20:12:55 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","175","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:49 UTC 2026","broken","Sun Jan 04 20:12:49 UTC 2026","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","170","No auth - get all category","QA|Nova Bank - Infopool","Sun Jan 04 20:13:09 UTC 2026","broken","Sun Jan 04 20:13:09 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","172","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jan 04 20:12:45 UTC 2026","broken","Sun Jan 04 20:12:45 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","162","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:07 UTC 2026","broken","Sun Jan 04 20:13:07 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"Get a paginated list of reports with optional filtering","164","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun Jan 04 20:13:11 UTC 2026","broken","Sun Jan 04 20:13:11 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","169","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:50 UTC 2026","broken","Sun Jan 04 20:12:50 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","176","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jan 04 20:12:54 UTC 2026","broken","Sun Jan 04 20:12:54 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","168","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jan 04 20:12:52 UTC 2026","broken","Sun Jan 04 20:12:52 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a paginated list of reports with optional filtering","157","Get Reports","QA|Nova Bank - Infopool","Sun Jan 04 20:13:10 UTC 2026","broken","Sun Jan 04 20:13:10 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"","432","Successful login","QA|Nova Bank - Infopool","Sun Jan 04 20:12:38 UTC 2026","broken","Sun Jan 04 20:12:38 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","154","managers","QA|Nova Bank - Infopool","Sun Jan 04 20:13:06 UTC 2026","broken","Sun Jan 04 20:13:06 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","157","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jan 04 20:12:55 UTC 2026","broken","Sun Jan 04 20:12:55 UTC 2026","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","166","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jan 04 20:12:46 UTC 2026","broken","Sun Jan 04 20:12:46 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","164","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jan 04 20:12:48 UTC 2026","broken","Sun Jan 04 20:12:49 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","160","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jan 04 20:12:48 UTC 2026","broken","Sun Jan 04 20:12:48 UTC 2026","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","159","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jan 04 20:12:51 UTC 2026","broken","Sun Jan 04 20:12:51 UTC 2026","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","165","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jan 04 20:13:14 UTC 2026","broken","Sun Jan 04 20:13:14 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","169","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Jan 04 20:13:14 UTC 2026","broken","Sun Jan 04 20:13:14 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","164","Get events - no auth","QA|Nova Bank - Infopool","Sun Jan 04 20:12:44 UTC 2026","broken","Sun Jan 04 20:12:45 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"Update an existing report","161","Update Report - No auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:13 UTC 2026","broken","Sun Jan 04 20:13:13 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","199","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:47 UTC 2026","broken","Sun Jan 04 20:12:47 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","159","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jan 04 20:12:42 UTC 2026","broken","Sun Jan 04 20:12:42 UTC 2026","v1 > Profile > Password","Bank User","",""
"","170","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:49 UTC 2026","broken","Sun Jan 04 20:12:49 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","167","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jan 04 20:12:39 UTC 2026","broken","Sun Jan 04 20:12:39 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","163","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jan 04 20:13:08 UTC 2026","broken","Sun Jan 04 20:13:08 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","171","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jan 04 20:13:10 UTC 2026","broken","Sun Jan 04 20:13:10 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","170","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jan 04 20:12:40 UTC 2026","broken","Sun Jan 04 20:12:40 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","175","Export Report Data","QA|Nova Bank - Infopool","Sun Jan 04 20:13:15 UTC 2026","broken","Sun Jan 04 20:13:15 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","160","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jan 04 20:13:11 UTC 2026","broken","Sun Jan 04 20:13:11 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","171","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jan 04 20:12:53 UTC 2026","broken","Sun Jan 04 20:12:53 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","168","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jan 04 20:12:47 UTC 2026","broken","Sun Jan 04 20:12:48 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","173","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jan 04 20:13:15 UTC 2026","broken","Sun Jan 04 20:13:15 UTC 2026","v1 > Report > Export Report Data","Bank Admin","",""
"","170","No auth - get user role","QA|Nova Bank - Infopool","Sun Jan 04 20:12:59 UTC 2026","broken","Sun Jan 04 20:12:59 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","164","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Jan 04 20:13:07 UTC 2026","broken","Sun Jan 04 20:13:08 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","151","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jan 04 20:12:56 UTC 2026","broken","Sun Jan 04 20:12:56 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","165","Empty new password - Change password","QA|Nova Bank - Infopool","Sun Jan 04 20:12:42 UTC 2026","broken","Sun Jan 04 20:12:43 UTC 2026","v1 > Profile > Password","Bank User","",""
"","162","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jan 04 20:13:06 UTC 2026","broken","Sun Jan 04 20:13:06 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
