"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","539","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:51:42 GMT 2025","passed","Fri Jun 06 14:51:43 GMT 2025","v1 > Profile > Password","Bank User","",""
"","322","Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:51:57 GMT 2025","passed","Fri Jun 06 14:51:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","148","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jun 06 14:52:02 GMT 2025","passed","Fri Jun 06 14:52:02 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","110","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 06 14:53:16 GMT 2025","passed","Fri Jun 06 14:53:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","75","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:53:15 GMT 2025","passed","Fri Jun 06 14:53:15 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","76","No Auth - Update definition","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 06 14:51:57 GMT 2025","passed","Fri Jun 06 14:51:57 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","88","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:17 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","76","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:53:15 GMT 2025","passed","Fri Jun 06 14:53:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","203","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:51:41 GMT 2025","failed","Fri Jun 06 14:51:41 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","3133","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 06 14:53:09 GMT 2025","passed","Fri Jun 06 14:53:12 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","74","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Jun 06 14:53:15 GMT 2025","passed","Fri Jun 06 14:53:15 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","124","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:56 GMT 2025","failed","Fri Jun 06 14:51:56 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","79","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Jun 06 14:51:43 GMT 2025","passed","Fri Jun 06 14:51:43 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","981","Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:47 GMT 2025","passed","Fri Jun 06 14:51:48 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","87","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jun 06 14:53:16 GMT 2025","passed","Fri Jun 06 14:53:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","112","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:17 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","78","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Jun 06 14:53:16 GMT 2025","failed","Fri Jun 06 14:53:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","115","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Jun 06 14:51:59 GMT 2025","failed","Fri Jun 06 14:51:59 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","1239","Successful login","QA|Nova Bank - Infopool","Fri Jun 06 14:51:31 GMT 2025","passed","Fri Jun 06 14:51:32 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","80","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:51:58 GMT 2025","passed","Fri Jun 06 14:51:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","116","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Jun 06 14:51:44 GMT 2025","passed","Fri Jun 06 14:51:44 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","76","Get single definition","QA|Nova Bank - Infopool","Fri Jun 06 14:53:12 GMT 2025","passed","Fri Jun 06 14:53:12 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","77","Create organization - no name","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","117","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 06 14:51:57 GMT 2025","failed","Fri Jun 06 14:51:57 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","78","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:17 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","104","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:51:41 GMT 2025","passed","Fri Jun 06 14:51:41 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","149","Forgot password - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:51:39 GMT 2025","failed","Fri Jun 06 14:51:39 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","81","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:56 GMT 2025","failed","Fri Jun 06 14:51:56 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","100","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 06 14:52:02 GMT 2025","passed","Fri Jun 06 14:52:02 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","106","Get all Issues","QA|Nova Bank - Infopool","Fri Jun 06 14:51:55 GMT 2025","failed","Fri Jun 06 14:51:55 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","82","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:51:58 GMT 2025","failed","Fri Jun 06 14:51:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","94","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:51:58 GMT 2025","passed","Fri Jun 06 14:51:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","114","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:51:47 GMT 2025","passed","Fri Jun 06 14:51:47 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","107","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:17 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","77","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","76","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:51:57 GMT 2025","passed","Fri Jun 06 14:51:57 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","111","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jun 06 14:53:16 GMT 2025","failed","Fri Jun 06 14:53:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","75","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","77","Update definition","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:51:45 GMT 2025","passed","Fri Jun 06 14:51:45 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","245","Invalid credentials","QA|Nova Bank - Infopool","Fri Jun 06 14:51:32 GMT 2025","passed","Fri Jun 06 14:51:33 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","100","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Jun 06 14:53:16 GMT 2025","passed","Fri Jun 06 14:53:16 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","92","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 06 14:51:55 GMT 2025","passed","Fri Jun 06 14:51:55 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","79","No auth - managers","QA|Nova Bank - Infopool","Fri Jun 06 14:53:18 GMT 2025","passed","Fri Jun 06 14:53:18 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","81","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:51:43 GMT 2025","passed","Fri Jun 06 14:51:43 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","80","Create  organization","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","101","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:18 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","74","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:51:56 GMT 2025","passed","Fri Jun 06 14:51:57 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","767","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 06 14:51:59 GMT 2025","passed","Fri Jun 06 14:51:59 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","216","Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:51:56 GMT 2025","passed","Fri Jun 06 14:51:56 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","221","Get profile - successfully","QA|Nova Bank - Infopool","Fri Jun 06 14:51:43 GMT 2025","passed","Fri Jun 06 14:51:43 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","96","Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:51:58 GMT 2025","passed","Fri Jun 06 14:51:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","75","Update user - invalid action","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","116","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:51:40 GMT 2025","passed","Fri Jun 06 14:51:41 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","92","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:53:18 GMT 2025","passed","Fri Jun 06 14:53:18 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","458","reset password","QA|Nova Bank - Infopool","Fri Jun 06 14:51:40 GMT 2025","passed","Fri Jun 06 14:51:40 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","79","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jun 06 14:51:55 GMT 2025","passed","Fri Jun 06 14:51:55 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","6312","Invalid email format","QA|Nova Bank - Infopool","Fri Jun 06 14:51:33 GMT 2025","passed","Fri Jun 06 14:51:39 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","79","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:55 GMT 2025","failed","Fri Jun 06 14:51:56 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","76","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","315","audit-search","QA|Nova Bank - Infopool","Fri Jun 06 14:51:45 GMT 2025","passed","Fri Jun 06 14:51:46 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","128","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:17 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","87","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Jun 06 14:51:44 GMT 2025","passed","Fri Jun 06 14:51:44 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","82","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:51:44 GMT 2025","passed","Fri Jun 06 14:51:44 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","75","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Jun 06 14:53:15 GMT 2025","passed","Fri Jun 06 14:53:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","75","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","86","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:53:16 GMT 2025","passed","Fri Jun 06 14:53:16 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","162","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Jun 06 14:51:45 GMT 2025","passed","Fri Jun 06 14:51:45 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","261","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:51:42 GMT 2025","passed","Fri Jun 06 14:51:42 GMT 2025","v1 > Profile > Password","Bank User","",""
"","107","Update profile","QA|Nova Bank - Infopool","Fri Jun 06 14:51:44 GMT 2025","failed","Fri Jun 06 14:51:44 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","76","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Jun 06 14:53:15 GMT 2025","passed","Fri Jun 06 14:53:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","156","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:51:43 GMT 2025","passed","Fri Jun 06 14:51:43 GMT 2025","v1 > Profile > Password","Bank User","",""
"","129","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 06 14:51:59 GMT 2025","passed","Fri Jun 06 14:52:00 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","79","Update Customer Comment Copy","QA|Nova Bank - Infopool","Fri Jun 06 14:51:57 GMT 2025","passed","Fri Jun 06 14:51:57 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","115","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:51:58 GMT 2025","failed","Fri Jun 06 14:51:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","76","Update user - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:53:13 GMT 2025","passed","Fri Jun 06 14:53:13 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","75","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:53:15 GMT 2025","passed","Fri Jun 06 14:53:15 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","235","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jun 06 14:51:45 GMT 2025","passed","Fri Jun 06 14:51:45 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","211","Get roles - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:53:18 GMT 2025","passed","Fri Jun 06 14:53:18 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","93","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:51:41 GMT 2025","passed","Fri Jun 06 14:51:41 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:51:46 GMT 2025","passed","Fri Jun 06 14:51:46 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","78","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:51:57 GMT 2025","failed","Fri Jun 06 14:51:57 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","232","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:51:40 GMT 2025","passed","Fri Jun 06 14:51:40 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:51:58 GMT 2025","passed","Fri Jun 06 14:51:59 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","108","verify OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:51:41 GMT 2025","passed","Fri Jun 06 14:51:41 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","76","No auth - update role","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","102","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 06 14:51:55 GMT 2025","failed","Fri Jun 06 14:51:55 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","78","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:53:17 GMT 2025","passed","Fri Jun 06 14:53:17 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","80","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:51:57 GMT 2025","failed","Fri Jun 06 14:51:57 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","179","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jun 06 14:51:45 GMT 2025","passed","Fri Jun 06 14:51:45 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","75","Health","QA|Nova Bank - Infopool","Fri Jun 06 14:53:12 GMT 2025","passed","Fri Jun 06 14:53:12 GMT 2025","v1 > Health","Bank Admin","",""
"","79","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:15 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","86","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:51:46 GMT 2025","passed","Fri Jun 06 14:51:46 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","78","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","76","No auth - get user role","QA|Nova Bank - Infopool","Fri Jun 06 14:53:14 GMT 2025","passed","Fri Jun 06 14:53:14 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
