"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:54:03 GMT 2025","passed","Fri Jun 06 14:54:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","79","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","330","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jun 06 14:54:04 GMT 2025","passed","Fri Jun 06 14:54:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","77","Update user - invalid action","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","76","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Jun 06 14:55:32 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","99","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","passed","Fri Jun 06 14:55:37 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","78","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:54:01 GMT 2025","passed","Fri Jun 06 14:54:01 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","81","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:55:37 GMT 2025","passed","Fri Jun 06 14:55:37 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","75","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Jun 06 14:55:32 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","94","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 06 14:55:37 GMT 2025","passed","Fri Jun 06 14:55:37 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","96","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","failed","Fri Jun 06 14:55:36 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","166","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:54:16 GMT 2025","passed","Fri Jun 06 14:54:16 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","222","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:54:00 GMT 2025","failed","Fri Jun 06 14:54:00 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","130","Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:54:16 GMT 2025","passed","Fri Jun 06 14:54:16 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","1113","Successful login","QA|Nova Bank - Infopool","Fri Jun 06 14:53:51 GMT 2025","passed","Fri Jun 06 14:53:52 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","75","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","94","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:54:00 GMT 2025","passed","Fri Jun 06 14:54:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","Update Customer Comment Copy","QA|Nova Bank - Infopool","Fri Jun 06 14:54:17 GMT 2025","passed","Fri Jun 06 14:54:17 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","79","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:55:35 GMT 2025","passed","Fri Jun 06 14:55:35 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3214","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:54:06 GMT 2025","passed","Fri Jun 06 14:54:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","Create organization - no name","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","112","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:16 GMT 2025","passed","Fri Jun 06 14:54:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","84","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:54:17 GMT 2025","passed","Fri Jun 06 14:54:17 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","89","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jun 06 14:53:59 GMT 2025","passed","Fri Jun 06 14:53:59 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","83","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jun 06 14:54:14 GMT 2025","passed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","78","Fetch all users","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","313","audit-search","QA|Nova Bank - Infopool","Fri Jun 06 14:54:05 GMT 2025","passed","Fri Jun 06 14:54:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","93","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:54:18 GMT 2025","passed","Fri Jun 06 14:54:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","89","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:54:06 GMT 2025","passed","Fri Jun 06 14:54:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","89","No user credentials","QA|Nova Bank - Infopool","Fri Jun 06 14:53:58 GMT 2025","passed","Fri Jun 06 14:53:58 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","88","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","passed","Fri Jun 06 14:55:36 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","229","Get profile - successfully","QA|Nova Bank - Infopool","Fri Jun 06 14:54:02 GMT 2025","passed","Fri Jun 06 14:54:03 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","116","Update Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:54:17 GMT 2025","failed","Fri Jun 06 14:54:17 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","79","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 06 14:55:32 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","2473","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 06 14:54:19 GMT 2025","passed","Fri Jun 06 14:54:22 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","76","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jun 06 14:55:32 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","78","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:55:35 GMT 2025","passed","Fri Jun 06 14:55:35 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","316","reset password","QA|Nova Bank - Infopool","Fri Jun 06 14:53:59 GMT 2025","passed","Fri Jun 06 14:53:59 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","317","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:13 GMT 2025","passed","Fri Jun 06 14:54:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","82","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","failed","Fri Jun 06 14:55:36 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","77","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","79","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","223","Invalid credentials","QA|Nova Bank - Infopool","Fri Jun 06 14:53:52 GMT 2025","passed","Fri Jun 06 14:53:52 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","122","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 06 14:54:22 GMT 2025","passed","Fri Jun 06 14:54:22 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","81","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:54:05 GMT 2025","passed","Fri Jun 06 14:54:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:54:00 GMT 2025","passed","Fri Jun 06 14:54:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","108","verify OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:54:00 GMT 2025","passed","Fri Jun 06 14:54:00 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","321","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:14 GMT 2025","failed","Fri Jun 06 14:54:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","103","Get all Issues","QA|Nova Bank - Infopool","Fri Jun 06 14:54:14 GMT 2025","failed","Fri Jun 06 14:54:14 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","82","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:16 GMT 2025","failed","Fri Jun 06 14:54:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","195","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:53:59 GMT 2025","passed","Fri Jun 06 14:54:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","102","Update profile","QA|Nova Bank - Infopool","Fri Jun 06 14:54:03 GMT 2025","failed","Fri Jun 06 14:54:03 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","79","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 06 14:55:32 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","111","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:54:18 GMT 2025","failed","Fri Jun 06 14:54:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","81","Create  organization","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Jun 06 14:55:35 GMT 2025","passed","Fri Jun 06 14:55:35 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:54:17 GMT 2025","passed","Fri Jun 06 14:54:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","101","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:55:37 GMT 2025","passed","Fri Jun 06 14:55:37 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","83","Update Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","failed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","111","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 06 14:54:16 GMT 2025","failed","Fri Jun 06 14:54:17 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","76","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Jun 06 14:55:35 GMT 2025","passed","Fri Jun 06 14:55:35 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","77","No auth - update role","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","78","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","162","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Fri Jun 06 14:54:04 GMT 2025","passed","Fri Jun 06 14:54:05 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","107","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:54:00 GMT 2025","passed","Fri Jun 06 14:54:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","120","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","passed","Fri Jun 06 14:55:36 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","81","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 06 14:54:17 GMT 2025","passed","Fri Jun 06 14:54:17 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","81","Get events - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:54:04 GMT 2025","passed","Fri Jun 06 14:54:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","75","Health","QA|Nova Bank - Infopool","Fri Jun 06 14:55:32 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Health","Bank Admin","",""
"","151","Forgot password - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:53:59 GMT 2025","failed","Fri Jun 06 14:53:59 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","81","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:54:16 GMT 2025","failed","Fri Jun 06 14:54:16 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","125","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","failed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","264","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:14 GMT 2025","passed","Fri Jun 06 14:54:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","103","Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:54:18 GMT 2025","passed","Fri Jun 06 14:54:18 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","165","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jun 06 14:54:04 GMT 2025","passed","Fri Jun 06 14:54:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","88","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:14 GMT 2025","passed","Fri Jun 06 14:54:14 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","339","audit trail","QA|Nova Bank - Infopool","Fri Jun 06 14:54:05 GMT 2025","passed","Fri Jun 06 14:54:05 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","77","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Jun 06 14:55:34 GMT 2025","passed","Fri Jun 06 14:55:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:54:18 GMT 2025","passed","Fri Jun 06 14:54:18 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","82","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 06 14:55:31 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","102","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","passed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","214","Fetch Customer By ID","QA|Nova Bank - Infopool","Fri Jun 06 14:54:18 GMT 2025","passed","Fri Jun 06 14:54:18 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","82","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","passed","Fri Jun 06 14:54:16 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","88","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:54:02 GMT 2025","passed","Fri Jun 06 14:54:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","76","Update user - empty action field","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","205","Get events - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:54:04 GMT 2025","passed","Fri Jun 06 14:54:04 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","81","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","failed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","82","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:54:06 GMT 2025","passed","Fri Jun 06 14:54:06 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","117","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Jun 06 14:54:05 GMT 2025","passed","Fri Jun 06 14:54:06 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","78","Update user - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","480","Change password - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:54:01 GMT 2025","passed","Fri Jun 06 14:54:01 GMT 2025","v1 > Profile > Password","Bank User","",""
"","83","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:54:17 GMT 2025","failed","Fri Jun 06 14:54:17 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","147","Update profile - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:54:03 GMT 2025","passed","Fri Jun 06 14:54:03 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","117","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:55:37 GMT 2025","passed","Fri Jun 06 14:55:37 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","77","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jun 06 14:55:35 GMT 2025","passed","Fri Jun 06 14:55:35 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","76","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Jun 06 14:55:35 GMT 2025","passed","Fri Jun 06 14:55:35 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","110","Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","failed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","111","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jun 06 14:54:04 GMT 2025","passed","Fri Jun 06 14:54:04 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","125","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:55:37 GMT 2025","passed","Fri Jun 06 14:55:38 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","81","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","passed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","78","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:55:33 GMT 2025","passed","Fri Jun 06 14:55:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","89","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","passed","Fri Jun 06 14:55:36 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","66270","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 06 14:54:22 GMT 2025","passed","Fri Jun 06 14:55:28 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","629","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:54:02 GMT 2025","passed","Fri Jun 06 14:54:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","94","managers","QA|Nova Bank - Infopool","Fri Jun 06 14:55:38 GMT 2025","passed","Fri Jun 06 14:55:38 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","163","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jun 06 14:54:22 GMT 2025","passed","Fri Jun 06 14:54:22 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","102","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Jun 06 14:55:36 GMT 2025","passed","Fri Jun 06 14:55:36 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","112","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:54:15 GMT 2025","passed","Fri Jun 06 14:54:15 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","78","Update definition","QA|Nova Bank - Infopool","Fri Jun 06 14:55:32 GMT 2025","passed","Fri Jun 06 14:55:32 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
