"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","166","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:18:37 GMT 2025","failed","Sun Jun 08 21:18:37 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","37","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","36","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","138","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 21:18:42 GMT 2025","passed","Sun Jun 08 21:18:42 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","35","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","37","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","37","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","58","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:18:41 GMT 2025","passed","Sun Jun 08 21:18:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Delete a report (soft delete)","39","Delete Report","QA|Nova Bank - Infopool","Sun Jun 08 21:20:15 GMT 2025","failed","Sun Jun 08 21:20:15 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","39","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:18:55 GMT 2025","passed","Sun Jun 08 21:18:55 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","36","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","59","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 21:20:25 GMT 2025","passed","Sun Jun 08 21:20:25 GMT 2025","","corporate Adjustment","",""
"","47","Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:18:52 GMT 2025","failed","Sun Jun 08 21:18:52 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","37","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","35","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","67","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:18:50 GMT 2025","passed","Sun Jun 08 21:18:50 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","432","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:18:41 GMT 2025","passed","Sun Jun 08 21:18:41 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","37","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","40","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","38","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","35","Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","109","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:18:35 GMT 2025","passed","Sun Jun 08 21:18:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","334","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:18:41 GMT 2025","passed","Sun Jun 08 21:18:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","38","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3134","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:20:05 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","37","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","969","reset password","QA|Nova Bank - Infopool","Sun Jun 08 21:18:36 GMT 2025","passed","Sun Jun 08 21:18:37 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","64","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:18:50 GMT 2025","passed","Sun Jun 08 21:18:50 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","50","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:18:50 GMT 2025","passed","Sun Jun 08 21:18:50 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","341","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:18:42 GMT 2025","passed","Sun Jun 08 21:18:42 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","37","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","64","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:18:42 GMT 2025","passed","Sun Jun 08 21:18:42 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","34","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","565","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:18:39 GMT 2025","passed","Sun Jun 08 21:18:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","176","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:18:35 GMT 2025","failed","Sun Jun 08 21:18:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","50","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 21:20:25 GMT 2025","passed","Sun Jun 08 21:20:25 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","537","Weak password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:18:40 GMT 2025","passed","Sun Jun 08 21:18:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","49","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:18:50 GMT 2025","passed","Sun Jun 08 21:18:50 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","3151","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:18:43 GMT 2025","passed","Sun Jun 08 21:18:46 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","356","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 21:18:43 GMT 2025","passed","Sun Jun 08 21:18:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","35","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","40","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:18:55 GMT 2025","passed","Sun Jun 08 21:18:55 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","41","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","43","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:18:53 GMT 2025","failed","Sun Jun 08 21:18:53 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","37","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","226","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 21:18:50 GMT 2025","passed","Sun Jun 08 21:18:50 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","253","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Jun 08 21:18:42 GMT 2025","passed","Sun Jun 08 21:18:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","37","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","39","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 21:18:53 GMT 2025","passed","Sun Jun 08 21:18:53 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","94","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:20:18 GMT 2025","passed","Sun Jun 08 21:20:18 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","38","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","36","update role","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","40","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:18:54 GMT 2025","failed","Sun Jun 08 21:18:54 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","146","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:18:54 GMT 2025","passed","Sun Jun 08 21:18:55 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","37","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","66212","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:18:59 GMT 2025","passed","Sun Jun 08 21:20:05 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Create a new report","360","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun Jun 08 21:20:14 GMT 2025","passed","Sun Jun 08 21:20:14 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","34","No auth - category by id","QA|Nova Bank - Infopool","Sun Jun 08 21:20:12 GMT 2025","passed","Sun Jun 08 21:20:12 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","42","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:18:50 GMT 2025","passed","Sun Jun 08 21:18:50 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a specific report by ID","49","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun Jun 08 21:20:13 GMT 2025","passed","Sun Jun 08 21:20:14 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","38","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","56","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:18:54 GMT 2025","failed","Sun Jun 08 21:18:54 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a specific report by ID","53","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:13 GMT 2025","passed","Sun Jun 08 21:20:13 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","48","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:18:53 GMT 2025","failed","Sun Jun 08 21:18:53 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","41","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:18:53 GMT 2025","failed","Sun Jun 08 21:18:53 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","41","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:18:54 GMT 2025","passed","Sun Jun 08 21:18:54 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Update an existing report","38","Update Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:15 GMT 2025","passed","Sun Jun 08 21:20:15 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","138","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:18:53 GMT 2025","passed","Sun Jun 08 21:18:53 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","36","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","42","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:18:53 GMT 2025","failed","Sun Jun 08 21:18:53 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","143","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:18:40 GMT 2025","passed","Sun Jun 08 21:18:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","50","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:18:37 GMT 2025","passed","Sun Jun 08 21:18:37 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","44","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","37","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","170","Update Report","QA|Nova Bank - Infopool","Sun Jun 08 21:20:14 GMT 2025","passed","Sun Jun 08 21:20:15 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","140","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 21:18:43 GMT 2025","passed","Sun Jun 08 21:18:43 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","45","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:18:50 GMT 2025","passed","Sun Jun 08 21:18:50 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","42","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:18:55 GMT 2025","failed","Sun Jun 08 21:18:55 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","39","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:09 GMT 2025","passed","Sun Jun 08 21:20:09 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","37","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","39","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:20:11 GMT 2025","passed","Sun Jun 08 21:20:11 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","3194","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:20:22 GMT 2025","passed","Sun Jun 08 21:20:25 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","56","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:18:54 GMT 2025","failed","Sun Jun 08 21:18:54 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","37","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:20:10 GMT 2025","passed","Sun Jun 08 21:20:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","123","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:18:54 GMT 2025","passed","Sun Jun 08 21:18:54 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","64","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:18:35 GMT 2025","passed","Sun Jun 08 21:18:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
