"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","audit trail","QA|Nova Bank - Infopool","Fri May 30 20:58:47 GMT 2025","passed","Fri May 30 20:58:47 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","35","No auth - managers","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","35","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","failed","Fri May 30 20:59:00 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","44","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri May 30 20:58:46 GMT 2025","passed","Fri May 30 20:58:46 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","46","Get all permissions","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","36","Get role by ID - successful","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","failed","Fri May 30 20:59:00 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","39","No Auth - Change password","QA|Nova Bank - Infopool","Fri May 30 20:58:46 GMT 2025","passed","Fri May 30 20:58:46 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","69","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri May 30 20:58:45 GMT 2025","passed","Fri May 30 20:58:45 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","38","Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","failed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","47","Get profile roles - successful","QA|Nova Bank - Infopool","Fri May 30 20:58:45 GMT 2025","passed","Fri May 30 20:58:45 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","38","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","failed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Create a new report","37","Create Report - No auth","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","passed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","36","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","35","No auth - get all category","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","9","New Request","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","broken","Fri May 30 20:58:56 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","37","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 20:58:53 GMT 2025","failed","Fri May 30 20:58:53 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","47","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","38","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","failed","Fri May 30 20:59:00 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","38","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a specific report by ID","36","Get Report by ID","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a paginated list of reports with optional filtering","39","Get Reports","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","failed","Fri May 30 20:59:00 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","46","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","38","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","37","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","failed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","37","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","44","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","failed","Fri May 30 20:59:00 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","99","Get profile - successfully","QA|Nova Bank - Infopool","Fri May 30 20:58:46 GMT 2025","passed","Fri May 30 20:58:46 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","122","Weak password - Change password","QA|Nova Bank - Infopool","Fri May 30 20:58:46 GMT 2025","passed","Fri May 30 20:58:46 GMT 2025","v1 > Profile > Password","Bank User","",""
"","37","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","failed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","48","Role does not exist - update role","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","44","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get a specific report by ID","36","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","passed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","6651","Successful login","QA|Nova Bank - Infopool","Fri May 30 20:58:37 GMT 2025","passed","Fri May 30 20:58:44 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","3116","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri May 30 20:58:53 GMT 2025","passed","Fri May 30 20:58:56 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","40","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri May 30 20:58:48 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","53","managers","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","44","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri May 30 20:58:46 GMT 2025","passed","Fri May 30 20:58:46 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","37","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","37","Get roles - No Auth","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","39","Update Issue","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","failed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","48","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","50","Search Customers","QA|Nova Bank - Infopool","Fri May 30 20:58:50 GMT 2025","passed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","86","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Logout session - no session","QA|Nova Bank - Infopool","Fri May 30 20:59:00 GMT 2025","passed","Fri May 30 20:59:00 GMT 2025","v1 > Logout","Bank Admin","",""
"","35","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","104","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 20:58:48 GMT 2025","passed","Fri May 30 20:58:48 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","37","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","119","Add Comment to Issue","QA|Nova Bank - Infopool","Fri May 30 20:58:49 GMT 2025","passed","Fri May 30 20:58:49 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","37","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","failed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri May 30 20:58:59 GMT 2025","passed","Fri May 30 20:58:59 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","47","Create organization - no name","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri May 30 20:58:58 GMT 2025","passed","Fri May 30 20:58:58 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","36","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri May 30 20:58:50 GMT 2025","failed","Fri May 30 20:58:50 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","133","Update definition","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","passed","Fri May 30 20:58:56 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","52","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","36","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri May 30 20:58:56 GMT 2025","passed","Fri May 30 20:58:56 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","82","update role","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","78","Create  organization","QA|Nova Bank - Infopool","Fri May 30 20:58:57 GMT 2025","passed","Fri May 30 20:58:57 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri May 30 20:58:48 GMT 2025","passed","Fri May 30 20:58:48 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Delete a report (soft delete)","36","Delete Report","QA|Nova Bank - Infopool","Fri May 30 20:59:01 GMT 2025","failed","Fri May 30 20:59:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
