"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110","Search Customers","QA|Nova Bank - Infopool","Fri Jun 13 17:13:48 GMT 2025","passed","Fri Jun 13 17:13:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","166","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:47 GMT 2025","passed","Fri Jun 13 17:13:47 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","78","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:04 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","137","add_comment_successfully","QA|Nova Bank - Infopool","Fri Jun 13 17:13:47 GMT 2025","passed","Fri Jun 13 17:13:47 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","109","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:08 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","115","Add user to an organization - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:08 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","122","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 17:13:32 GMT 2025","passed","Fri Jun 13 17:13:32 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","503","Get profile - successfully","QA|Nova Bank - Infopool","Fri Jun 13 17:13:34 GMT 2025","passed","Fri Jun 13 17:13:35 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","79","Fetch all users","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:04 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","82","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 13 17:15:09 GMT 2025","passed","Fri Jun 13 17:15:09 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","84","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 13 17:13:49 GMT 2025","passed","Fri Jun 13 17:13:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","79","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","84","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 17:13:36 GMT 2025","passed","Fri Jun 13 17:13:37 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","201","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Jun 13 17:13:34 GMT 2025","passed","Fri Jun 13 17:13:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","86","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:08 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","3195","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 13 17:14:59 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","91","No user credentials","QA|Nova Bank - Infopool","Fri Jun 13 17:13:31 GMT 2025","passed","Fri Jun 13 17:13:31 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","130","audit trail","QA|Nova Bank - Infopool","Fri Jun 13 17:13:36 GMT 2025","passed","Fri Jun 13 17:13:36 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","80","Update user - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:04 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","79","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:04 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","80","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Jun 13 17:15:05 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","86","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Jun 13 17:13:37 GMT 2025","passed","Fri Jun 13 17:13:37 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","83","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jun 13 17:15:07 GMT 2025","failed","Fri Jun 13 17:15:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","78","Health","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Health","Bank Admin","",""
"","3225","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Jun 13 17:13:39 GMT 2025","passed","Fri Jun 13 17:13:42 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","79","get user role","QA|Nova Bank - Infopool","Fri Jun 13 17:15:05 GMT 2025","passed","Fri Jun 13 17:15:05 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","264","Change password - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:13:33 GMT 2025","passed","Fri Jun 13 17:13:33 GMT 2025","v1 > Profile > Password","Bank User","",""
"","81","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","91","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 17:13:32 GMT 2025","passed","Fri Jun 13 17:13:32 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","102","Get roles - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:15:09 GMT 2025","passed","Fri Jun 13 17:15:09 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","176","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jun 13 17:13:34 GMT 2025","passed","Fri Jun 13 17:13:34 GMT 2025","v1 > Profile > Password","Bank User","",""
"","78","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","79","Create organization - empty mis code","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","831","Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:38 GMT 2025","passed","Fri Jun 13 17:13:38 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","140","Update Customer Comment","QA|Nova Bank - Infopool","Fri Jun 13 17:13:48 GMT 2025","passed","Fri Jun 13 17:13:48 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","79","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","138","Forgot password - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:13:31 GMT 2025","failed","Fri Jun 13 17:13:31 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","127","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 13 17:13:48 GMT 2025","passed","Fri Jun 13 17:13:48 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","83","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:46 GMT 2025","passed","Fri Jun 13 17:13:46 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","83","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 13 17:13:46 GMT 2025","passed","Fri Jun 13 17:13:46 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","92","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 13 17:13:31 GMT 2025","passed","Fri Jun 13 17:13:31 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","88","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 13 17:13:37 GMT 2025","passed","Fri Jun 13 17:13:37 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","83","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Jun 13 17:15:07 GMT 2025","failed","Fri Jun 13 17:15:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","86","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","79","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","update role","QA|Nova Bank - Infopool","Fri Jun 13 17:15:05 GMT 2025","passed","Fri Jun 13 17:15:05 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","84","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:08 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","212","Get events - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:13:36 GMT 2025","passed","Fri Jun 13 17:13:36 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","103","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:08 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","94","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:13:33 GMT 2025","passed","Fri Jun 13 17:13:33 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","84","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 13 17:15:07 GMT 2025","passed","Fri Jun 13 17:15:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","256","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 17:13:32 GMT 2025","failed","Fri Jun 13 17:13:33 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","78","Update user - no auth","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:04 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","102","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 13 17:13:47 GMT 2025","passed","Fri Jun 13 17:13:48 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","82","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:08 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","99","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Jun 13 17:13:49 GMT 2025","passed","Fri Jun 13 17:13:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","78","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:04 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","91","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Jun 13 17:15:07 GMT 2025","passed","Fri Jun 13 17:15:07 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Jun 13 17:13:49 GMT 2025","passed","Fri Jun 13 17:13:49 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","190","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:38 GMT 2025","passed","Fri Jun 13 17:13:39 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","95","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Jun 13 17:13:35 GMT 2025","passed","Fri Jun 13 17:13:35 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","93","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:39 GMT 2025","passed","Fri Jun 13 17:13:39 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","89","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 13 17:13:31 GMT 2025","passed","Fri Jun 13 17:13:31 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","320","reset password","QA|Nova Bank - Infopool","Fri Jun 13 17:13:31 GMT 2025","passed","Fri Jun 13 17:13:32 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","84","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jun 13 17:13:35 GMT 2025","passed","Fri Jun 13 17:13:35 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","84","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 17:13:33 GMT 2025","passed","Fri Jun 13 17:13:33 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","96","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 13 17:13:48 GMT 2025","passed","Fri Jun 13 17:13:48 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","78","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:04 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","95","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:08 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","154","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jun 13 17:13:36 GMT 2025","passed","Fri Jun 13 17:13:36 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","84","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 13 17:13:38 GMT 2025","passed","Fri Jun 13 17:13:38 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","127","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Jun 13 17:13:37 GMT 2025","passed","Fri Jun 13 17:13:37 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 17:13:32 GMT 2025","passed","Fri Jun 13 17:13:32 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jun 13 17:13:33 GMT 2025","passed","Fri Jun 13 17:13:33 GMT 2025","v1 > Profile > Password","Bank User","",""
"","144","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 13 17:13:48 GMT 2025","passed","Fri Jun 13 17:13:48 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","84","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jun 13 17:15:05 GMT 2025","passed","Fri Jun 13 17:15:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","79","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:05 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","79","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 17:15:09 GMT 2025","passed","Fri Jun 13 17:15:09 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","505","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 13 17:13:45 GMT 2025","passed","Fri Jun 13 17:13:46 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","82","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:47 GMT 2025","passed","Fri Jun 13 17:13:47 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","87","Create  organization","QA|Nova Bank - Infopool","Fri Jun 13 17:15:05 GMT 2025","passed","Fri Jun 13 17:15:05 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","119","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:15:08 GMT 2025","passed","Fri Jun 13 17:15:09 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","83","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jun 13 17:13:45 GMT 2025","passed","Fri Jun 13 17:13:45 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","80","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","178","Update Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:46 GMT 2025","passed","Fri Jun 13 17:13:46 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","6247","Invalid email format","QA|Nova Bank - Infopool","Fri Jun 13 17:13:25 GMT 2025","passed","Fri Jun 13 17:13:31 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","84","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 17:13:35 GMT 2025","passed","Fri Jun 13 17:13:35 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","2552","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 13 17:13:50 GMT 2025","passed","Fri Jun 13 17:13:53 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","84","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:46 GMT 2025","failed","Fri Jun 13 17:13:46 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","150","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:39 GMT 2025","failed","Fri Jun 13 17:13:39 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","87","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jun 13 17:13:31 GMT 2025","passed","Fri Jun 13 17:13:31 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","96","managers","QA|Nova Bank - Infopool","Fri Jun 13 17:15:09 GMT 2025","passed","Fri Jun 13 17:15:09 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","79","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 17:13:32 GMT 2025","passed","Fri Jun 13 17:13:32 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","803","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 13 17:13:49 GMT 2025","passed","Fri Jun 13 17:13:50 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","79","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jun 13 17:15:04 GMT 2025","passed","Fri Jun 13 17:15:04 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","79","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Jun 13 17:15:05 GMT 2025","passed","Fri Jun 13 17:15:05 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","81","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:06 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","114","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Jun 13 17:13:48 GMT 2025","failed","Fri Jun 13 17:13:48 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","79","Get single definition","QA|Nova Bank - Infopool","Fri Jun 13 17:15:03 GMT 2025","passed","Fri Jun 13 17:15:03 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","211","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jun 13 17:13:53 GMT 2025","passed","Fri Jun 13 17:13:53 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","150","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jun 13 17:13:36 GMT 2025","passed","Fri Jun 13 17:13:36 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Get events - no auth","QA|Nova Bank - Infopool","Fri Jun 13 17:13:36 GMT 2025","passed","Fri Jun 13 17:13:36 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Update user - empty action field","QA|Nova Bank - Infopool","Fri Jun 13 17:15:05 GMT 2025","passed","Fri Jun 13 17:15:05 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","124","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Jun 13 17:13:49 GMT 2025","failed","Fri Jun 13 17:13:49 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","102","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 17:15:06 GMT 2025","passed","Fri Jun 13 17:15:07 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","85","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 13 17:13:47 GMT 2025","passed","Fri Jun 13 17:13:47 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","85","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 13 17:13:37 GMT 2025","passed","Fri Jun 13 17:13:38 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","103","Get roles - successful","QA|Nova Bank - Infopool","Fri Jun 13 17:15:09 GMT 2025","passed","Fri Jun 13 17:15:09 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","90","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 17:13:32 GMT 2025","passed","Fri Jun 13 17:13:32 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
