"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:31:42 GMT 2025","passed","Sun Jun 08 22:31:42 GMT 2025","v1 > Profile > Password","Bank User","",""
"","156","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 22:31:56 GMT 2025","passed","Sun Jun 08 22:31:57 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","37","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","36","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","59","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:31:52 GMT 2025","passed","Sun Jun 08 22:31:52 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","36","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","37","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","36","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:31:38 GMT 2025","passed","Sun Jun 08 22:31:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","37","Get role by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","2523","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 22:33:21 GMT 2025","passed","Sun Jun 08 22:33:23 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","40","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","152","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 22:31:51 GMT 2025","passed","Sun Jun 08 22:31:51 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","38","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","42","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:31:43 GMT 2025","passed","Sun Jun 08 22:31:43 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","435","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 22:31:54 GMT 2025","failed","Sun Jun 08 22:31:54 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:31:38 GMT 2025","passed","Sun Jun 08 22:31:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","1278","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 22:31:28 GMT 2025","passed","Sun Jun 08 22:31:29 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","54","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:31:57 GMT 2025","passed","Sun Jun 08 22:31:58 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","40","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","37","Create roles","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","647","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:31:40 GMT 2025","passed","Sun Jun 08 22:31:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Create roles - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","3339","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 22:31:44 GMT 2025","passed","Sun Jun 08 22:31:48 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","44","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","101","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:31:57 GMT 2025","passed","Sun Jun 08 22:31:57 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a specific report by ID","36","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","36","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","43","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:55 GMT 2025","passed","Sun Jun 08 22:31:55 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","36","category by id","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a paginated list of reports with optional filtering","36","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","265","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:56 GMT 2025","passed","Sun Jun 08 22:31:56 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","39","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","1257","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:52 GMT 2025","passed","Sun Jun 08 22:31:53 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","36","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","262","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 22:31:36 GMT 2025","passed","Sun Jun 08 22:31:36 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","46","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 22:31:37 GMT 2025","passed","Sun Jun 08 22:31:37 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","36","No auth - managers","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","36","Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","252","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:55 GMT 2025","passed","Sun Jun 08 22:31:55 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Create a new report","37","Create Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","44","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:31:39 GMT 2025","passed","Sun Jun 08 22:31:39 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","129","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 22:31:43 GMT 2025","passed","Sun Jun 08 22:31:43 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","38","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Logout","Bank Admin","",""
"Delete a report (soft delete)","278","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 22:33:20 GMT 2025","passed","Sun Jun 08 22:33:20 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","37","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","126","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 22:31:56 GMT 2025","passed","Sun Jun 08 22:31:56 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","36","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","44","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:31:52 GMT 2025","passed","Sun Jun 08 22:31:52 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","130","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 22:31:36 GMT 2025","passed","Sun Jun 08 22:31:36 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","46","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:31:43 GMT 2025","passed","Sun Jun 08 22:31:43 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","41","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 22:31:38 GMT 2025","passed","Sun Jun 08 22:31:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","137","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:56 GMT 2025","failed","Sun Jun 08 22:31:56 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","38","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","40","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","439","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:31:36 GMT 2025","failed","Sun Jun 08 22:31:36 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","42","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:31:44 GMT 2025","passed","Sun Jun 08 22:31:44 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","38","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","54","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 22:31:51 GMT 2025","passed","Sun Jun 08 22:31:51 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","246","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:31:43 GMT 2025","passed","Sun Jun 08 22:31:44 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a specific report by ID","35","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","38","Health","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Health","Bank Admin","",""
"Update an existing report","40","Update Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","37","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","44","Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:56 GMT 2025","passed","Sun Jun 08 22:31:56 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","66183","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 22:32:09 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","156","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 22:31:56 GMT 2025","failed","Sun Jun 08 22:31:56 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","40","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 22:31:57 GMT 2025","passed","Sun Jun 08 22:31:57 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","6251","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 22:31:29 GMT 2025","passed","Sun Jun 08 22:31:36 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","43","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 22:32:03 GMT 2025","passed","Sun Jun 08 22:32:03 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","38","get user role","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","50","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 22:31:57 GMT 2025","passed","Sun Jun 08 22:31:57 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","43","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:33:27 GMT 2025","passed","Sun Jun 08 22:33:27 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","39","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","embed dashboard","Bank User","",""
"","155","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 22:31:54 GMT 2025","failed","Sun Jun 08 22:31:55 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","353","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:31:42 GMT 2025","passed","Sun Jun 08 22:31:43 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a specific report by ID","36","Get Report by UUID","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","44","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","40","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 22:32:01 GMT 2025","passed","Sun Jun 08 22:32:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","40","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","37","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","38","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Create a new report","38","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","39","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","56","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 22:31:40 GMT 2025","passed","Sun Jun 08 22:31:40 GMT 2025","v1 > Profile > Password","Bank User","",""
"","147","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 22:33:27 GMT 2025","passed","Sun Jun 08 22:33:27 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","850","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 22:32:02 GMT 2025","passed","Sun Jun 08 22:32:03 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","103","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 22:31:56 GMT 2025","passed","Sun Jun 08 22:31:56 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","36","Get Reports Stats","QA|Nova Bank - Infopool","Sun Jun 08 22:33:19 GMT 2025","passed","Sun Jun 08 22:33:19 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","38","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 22:33:17 GMT 2025","passed","Sun Jun 08 22:33:17 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","40","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 22:33:15 GMT 2025","passed","Sun Jun 08 22:33:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","36","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:33:18 GMT 2025","passed","Sun Jun 08 22:33:18 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","39","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 22:33:16 GMT 2025","passed","Sun Jun 08 22:33:16 GMT 2025","v1 > Users > Update user","Bank Admin","",""
