"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Update user - successful","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","36","Get Report Data - Question","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","38","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","39","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun May 25 15:20:59 GMT 2025","passed","Sun May 25 15:20:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","35","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","passed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","38","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun May 25 15:20:57 GMT 2025","passed","Sun May 25 15:20:57 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","238","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","failed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","36","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","34","get all category","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","failed","Sun May 25 15:21:11 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","605","Create a New Issue","QA|Nova Bank - Infopool","Sun May 25 15:20:59 GMT 2025","passed","Sun May 25 15:20:59 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","34","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","passed","Sun May 25 15:21:02 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","69","verify OTP","QA|Nova Bank - Infopool","Sun May 25 15:20:57 GMT 2025","passed","Sun May 25 15:20:57 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","35","Update definition","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","35","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","38","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun May 25 15:20:59 GMT 2025","passed","Sun May 25 15:20:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","36","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","passed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","34","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","36","Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Delete a report (soft delete)","34","Delete Report -No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get a specific report by ID","35","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Get a specific report by ID","33","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","passed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","36","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","35","No auth - category by id","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","passed","Sun May 25 15:21:11 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","44","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 25 15:20:57 GMT 2025","passed","Sun May 25 15:20:57 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","36","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","37","Get Issue by ID","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","failed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get a specific report by ID","36","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","38","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","failed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","38","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","passed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 25 15:20:57 GMT 2025","passed","Sun May 25 15:20:57 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","34","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","passed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Create a new report","35","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","36","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","passed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","37","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun May 25 15:21:05 GMT 2025","failed","Sun May 25 15:21:05 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","37","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","passed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","38","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","37","Add Comment to Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","failed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","37","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","35","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","38","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","passed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","38","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","8","New Request","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","broken","Sun May 25 15:21:02 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","Fetch all users","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","6228","Invalid email format","QA|Nova Bank - Infopool","Sun May 25 15:20:50 GMT 2025","passed","Sun May 25 15:20:57 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","38","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","failed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","35","Get all definitions","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","38","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","36","Role does not exist - update role","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","35","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","passed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","37","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > Password","Bank User","",""
"","37","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun May 25 15:20:59 GMT 2025","passed","Sun May 25 15:20:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","Update user - no auth","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","passed","Sun May 25 15:21:02 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","38","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","passed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","34","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","36","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","failed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","35","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","34","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","passed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","35","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","36","Get role by ID - successful","QA|Nova Bank - Infopool","Sun May 25 15:21:05 GMT 2025","failed","Sun May 25 15:21:05 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","85","verifyOTP","QA|Nova Bank - Infopool","Sun May 25 15:20:57 GMT 2025","passed","Sun May 25 15:20:57 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"Delete a report (soft delete)","35","Delete Report","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","35","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","40","No Auth - Change password","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","passed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","35","Get Reports - No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","passed","Sun May 25 15:21:11 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","34","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","37","Get single definition","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","33","Health","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","passed","Sun May 25 15:21:02 GMT 2025","v1 > Health","Bank Admin","",""
"","36","No Auth - Update definition","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","passed","Sun May 25 15:21:02 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a specific report by ID","33","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","passed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","35","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","failed","Sun May 25 15:21:01 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","35","Export Report Data","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","36","category by id","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","failed","Sun May 25 15:21:11 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","37","Update profile - successful","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","36","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","3123","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun May 25 15:21:05 GMT 2025","passed","Sun May 25 15:21:08 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","39","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","passed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","36","Update role status","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"Create a new report","36","Create Report","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","39","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun May 25 15:21:01 GMT 2025","passed","Sun May 25 15:21:02 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","40","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","passed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","36","Update profile - no phone number","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","37","update role","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","35","managers","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","failed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","37","Update profile - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","passed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","36","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","36","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","passed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","35","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","passed","Sun May 25 15:21:11 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","35","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","failed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","34","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","36","No auth - managers","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","passed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","72","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 25 15:20:57 GMT 2025","passed","Sun May 25 15:20:57 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","35","No auth - get all category","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","passed","Sun May 25 15:21:11 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","35","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun May 25 15:21:04 GMT 2025","passed","Sun May 25 15:21:04 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","36","Logout session successfully","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","failed","Sun May 25 15:21:11 GMT 2025","v1 > Logout","Bank Admin","",""
"","37","No auth - Update role status","QA|Nova Bank - Infopool","Sun May 25 15:21:05 GMT 2025","passed","Sun May 25 15:21:05 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","41","Update profile","QA|Nova Bank - Infopool","Sun May 25 15:20:58 GMT 2025","failed","Sun May 25 15:20:58 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","37","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","36","Create organization - empty street value","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","36","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","passed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","35","Logout session - no session","QA|Nova Bank - Infopool","Sun May 25 15:21:11 GMT 2025","passed","Sun May 25 15:21:11 GMT 2025","v1 > Logout","Bank Admin","",""
"","38","Add attachment to issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","failed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","37","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","36","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","passed","Sun May 25 15:21:02 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","36","audit trail - No Auth","QA|Nova Bank - Infopool","Sun May 25 15:20:59 GMT 2025","passed","Sun May 25 15:20:59 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","36","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun May 25 15:21:02 GMT 2025","failed","Sun May 25 15:21:02 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","37","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun May 25 15:21:03 GMT 2025","failed","Sun May 25 15:21:03 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","10","New Request","QA|Nova Bank - Infopool","Sun May 25 15:20:57 GMT 2025","broken","Sun May 25 15:20:57 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"Create a new report","34","Create Report - No auth","QA|Nova Bank - Infopool","Sun May 25 15:21:12 GMT 2025","passed","Sun May 25 15:21:12 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","39","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun May 25 15:21:00 GMT 2025","failed","Sun May 25 15:21:00 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
