"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Mon Mar 17 08:27:51 GMT 2025","passed","Mon Mar 17 08:27:51 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","65","Create master setting - empty meta fields","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","97","Fetch Customers Transactions","QA|Nova Bank - Infopool","Mon Mar 17 08:27:39 GMT 2025","passed","Mon Mar 17 08:27:40 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","163","Change password - invalid current password","QA|Nova Bank - Infopool","Mon Mar 17 08:27:30 GMT 2025","passed","Mon Mar 17 08:27:30 GMT 2025","v1 > Profile > Password","Bank User","",""
"","77","Send user invitation token - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:32 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","90","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Mon Mar 17 08:27:54 GMT 2025","passed","Mon Mar 17 08:27:54 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","108","Get Email or SMS OTP","QA|Nova Bank - Infopool","Mon Mar 17 08:27:30 GMT 2025","passed","Mon Mar 17 08:27:30 GMT 2025","v1 > Auth > mfa > request","Bank User","",""
"","85","Update definition - invalid slug name","QA|Nova Bank - Infopool","Mon Mar 17 08:27:47 GMT 2025","passed","Mon Mar 17 08:27:47 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","74","Create a New Issue - empty issue","QA|Nova Bank - Infopool","Mon Mar 17 08:27:33 GMT 2025","passed","Mon Mar 17 08:27:33 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","69","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Mon Mar 17 08:27:36 GMT 2025","passed","Mon Mar 17 08:27:36 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","107","Create  organization","QA|Nova Bank - Infopool","Mon Mar 17 08:27:51 GMT 2025","failed","Mon Mar 17 08:27:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","118","audit trail","QA|Nova Bank - Infopool","Mon Mar 17 08:27:32 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","65","Create Settings - non-existing entity ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","78","Create definition - invalid ISO code","QA|Nova Bank - Infopool","Mon Mar 17 08:27:47 GMT 2025","passed","Mon Mar 17 08:27:47 GMT 2025","v1 > Static Definitions > Create definition","Bank Admin","",""
"","86","Update user - empty action field","QA|Nova Bank - Infopool","Mon Mar 17 08:27:51 GMT 2025","passed","Mon Mar 17 08:27:51 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","81","Delete Customer Comment","QA|Nova Bank - Infopool","Mon Mar 17 08:27:35 GMT 2025","passed","Mon Mar 17 08:27:35 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","64","Create Settings - invalid master settings ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","77","Get role by ID - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","130","Get events - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:31 GMT 2025","passed","Mon Mar 17 08:27:31 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","85","Update profile - no phone number","QA|Nova Bank - Infopool","Mon Mar 17 08:27:31 GMT 2025","passed","Mon Mar 17 08:27:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","92","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Mon Mar 17 08:27:52 GMT 2025","passed","Mon Mar 17 08:27:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","86","Create organization - empty street value","QA|Nova Bank - Infopool","Mon Mar 17 08:27:52 GMT 2025","passed","Mon Mar 17 08:27:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","96","update notification template","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","69","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:51 GMT 2025","passed","Mon Mar 17 08:27:51 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","3163","Add user to an organization - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:54 GMT 2025","passed","Mon Mar 17 08:27:57 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","65","Get role permission - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:01 GMT 2025","v1 > Roles > Permissions > Get role permissions","Bank Admin","",""
"","64","Update Setting - empty action","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Update Settings","Bank Admin","",""
"","81","Validate user invitation token","QA|Nova Bank - Infopool","Mon Mar 17 08:27:32 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","155","Invalid credentials","QA|Nova Bank - Infopool","Mon Mar 17 08:27:23 GMT 2025","passed","Mon Mar 17 08:27:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","76","get all category","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","2825","Fetch Customers Transactions","QA|Nova Bank - Infopool","Mon Mar 17 08:27:37 GMT 2025","passed","Mon Mar 17 08:27:39 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","175","Change password - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:30 GMT 2025","failed","Mon Mar 17 08:27:30 GMT 2025","v1 > Profile > Password","Bank User","",""
"","66","Create master setting - empty custom validation","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","66","Create master setting - empty maximum value","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","78","Create definition - duplicate entry","QA|Nova Bank - Infopool","Mon Mar 17 08:27:47 GMT 2025","passed","Mon Mar 17 08:27:47 GMT 2025","v1 > Static Definitions > Create definition","Bank Admin","",""
"","143","Get roles - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:01 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","165","Change password - weak password","QA|Nova Bank - Infopool","Mon Mar 17 08:27:30 GMT 2025","passed","Mon Mar 17 08:27:30 GMT 2025","v1 > Profile > Password","Bank User","",""
"","74","Forgot password - no email","QA|Nova Bank - Infopool","Mon Mar 17 08:27:29 GMT 2025","passed","Mon Mar 17 08:27:29 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","66","Notifications Controller create Notification v1","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Notifications","Bank Admin","",""
"","83","Create roles - no type","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:01 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","82","Update Customer Comment","QA|Nova Bank - Infopool","Mon Mar 17 08:27:35 GMT 2025","passed","Mon Mar 17 08:27:35 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","85","Create roles - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:01 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","83","Update definition - duplicated name","QA|Nova Bank - Infopool","Mon Mar 17 08:27:47 GMT 2025","passed","Mon Mar 17 08:27:47 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","85","Create  organization - without parent id","QA|Nova Bank - Infopool","Mon Mar 17 08:27:52 GMT 2025","passed","Mon Mar 17 08:27:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","65","Retrieve Settings","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Retrieve Setting","Bank Admin","",""
"","738","Successful login","QA|Nova Bank - Infopool","Mon Mar 17 08:27:22 GMT 2025","passed","Mon Mar 17 08:27:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","67","Create master setting - invalid category ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","86","Create roles - empty name field","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:01 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","84","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Mon Mar 17 08:27:36 GMT 2025","passed","Mon Mar 17 08:27:36 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","906","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Mon Mar 17 08:27:36 GMT 2025","passed","Mon Mar 17 08:27:37 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","65","Create master setting - empty minimum value","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","112","Get events - invalid start date","QA|Nova Bank - Infopool","Mon Mar 17 08:27:31 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","71","value","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:51 GMT 2025","v1 > System Settings > Setting value > Fetch Settings value","Bank Admin","",""
"","86","Change password - empty current password","QA|Nova Bank - Infopool","Mon Mar 17 08:27:30 GMT 2025","passed","Mon Mar 17 08:27:30 GMT 2025","v1 > Profile > Password","Bank User","",""
"","65","Get all notification templates - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","3203","Remove user from an organization - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:57 GMT 2025","passed","Mon Mar 17 08:28:00 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","85","Create organization - empty city value","QA|Nova Bank - Infopool","Mon Mar 17 08:27:52 GMT 2025","passed","Mon Mar 17 08:27:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","68","Retrieve setting by ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Retrieve setting by ID","Bank Admin","",""
"","140","category by id","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","66","Get all notification templates - invalid category","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Notifications > Templates","Bank Admin","",""
"","132","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Mon Mar 17 08:27:46 GMT 2025","failed","Mon Mar 17 08:27:46 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","212","Get all notifications - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:03 GMT 2025","v1 > Notifications","Bank Admin","",""
"","83","Create roles - no description","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:01 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","89","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Mon Mar 17 08:27:53 GMT 2025","passed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","75","Create a New Issue - empty issue category","QA|Nova Bank - Infopool","Mon Mar 17 08:27:33 GMT 2025","passed","Mon Mar 17 08:27:33 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","70","Health","QA|Nova Bank - Infopool","Mon Mar 17 08:27:46 GMT 2025","passed","Mon Mar 17 08:27:46 GMT 2025","v1 > Health","Bank Admin","",""
"","105","Search Customers","QA|Nova Bank - Infopool","Mon Mar 17 08:27:35 GMT 2025","passed","Mon Mar 17 08:27:35 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","71","Send user invitation token - empty password","QA|Nova Bank - Infopool","Mon Mar 17 08:27:32 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","91","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:53 GMT 2025","failed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","64","Get notification template by ID","QA|Nova Bank - Infopool","Mon Mar 17 08:28:02 GMT 2025","passed","Mon Mar 17 08:28:02 GMT 2025","v1 > Notifications > Template","Bank Admin","",""
"","73","Send user invitation token - empty first name","QA|Nova Bank - Infopool","Mon Mar 17 08:27:32 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","68","Update Setting - empty description","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Update Settings","Bank Admin","",""
"","84","Fetch all organizations","QA|Nova Bank - Infopool","Mon Mar 17 08:27:53 GMT 2025","passed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","67","Update master setting - ID does not exist","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > System Settings > Master > Update master settings","Bank Admin","",""
"","98","Fetch Customers Channels","QA|Nova Bank - Infopool","Mon Mar 17 08:27:46 GMT 2025","passed","Mon Mar 17 08:27:46 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","66","Update Setting - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Update Settings","Bank Admin","",""
"","80","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Mon Mar 17 08:27:54 GMT 2025","passed","Mon Mar 17 08:27:54 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","65","Create master setting - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","89","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Mon Mar 17 08:27:53 GMT 2025","passed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","65","Get role permission - role ID does not exist","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:01 GMT 2025","v1 > Roles > Permissions > Get role permissions","Bank Admin","",""
"","65","Create Settings - missing entity type","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","66","Create master setting - no name field","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","83","Create organization - empty mis code","QA|Nova Bank - Infopool","Mon Mar 17 08:27:52 GMT 2025","passed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","82","Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Mon Mar 17 08:27:30 GMT 2025","passed","Mon Mar 17 08:27:30 GMT 2025","v1 > Auth > mfa > verify","Bank User","",""
"","67","Add attachment to issue","QA|Nova Bank - Infopool","Mon Mar 17 08:27:34 GMT 2025","passed","Mon Mar 17 08:27:34 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","71","Retrieve master setting by ID - invalid ID","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:49 GMT 2025","v1 > System Settings > Master > Retrieve master setting by ID","Bank Admin","",""
"","81","Fetch Customers Accounts","QA|Nova Bank - Infopool","Mon Mar 17 08:27:46 GMT 2025","passed","Mon Mar 17 08:27:46 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","84","upload","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > Static Definitions > Upload > Get upload","Bank Admin","",""
"","96","Search Customers - invalid user phone number","QA|Nova Bank - Infopool","Mon Mar 17 08:27:35 GMT 2025","passed","Mon Mar 17 08:27:35 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","172","Create Settings - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:49 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","65","Create master setting - no value type","QA|Nova Bank - Infopool","Mon Mar 17 08:27:48 GMT 2025","passed","Mon Mar 17 08:27:48 GMT 2025","v1 > System Settings > Master > Create Master Setting","Bank Admin","",""
"","74","get user role","QA|Nova Bank - Infopool","Mon Mar 17 08:27:51 GMT 2025","passed","Mon Mar 17 08:27:51 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","73","Send user invitation token - empty authentication type","QA|Nova Bank - Infopool","Mon Mar 17 08:27:32 GMT 2025","passed","Mon Mar 17 08:27:32 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","83","update role","QA|Nova Bank - Infopool","Mon Mar 17 08:27:51 GMT 2025","passed","Mon Mar 17 08:27:51 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","88","Create organization - empty description","QA|Nova Bank - Infopool","Mon Mar 17 08:27:52 GMT 2025","passed","Mon Mar 17 08:27:52 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","87","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Mon Mar 17 08:27:53 GMT 2025","passed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","73","Forgot password - user does not exist","QA|Nova Bank - Infopool","Mon Mar 17 08:27:29 GMT 2025","passed","Mon Mar 17 08:27:30 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","65","Create Settings - invalid value","QA|Nova Bank - Infopool","Mon Mar 17 08:27:50 GMT 2025","passed","Mon Mar 17 08:27:50 GMT 2025","v1 > System Settings > Create Settings","Bank Admin","",""
"","83","Create roles - invalid type","QA|Nova Bank - Infopool","Mon Mar 17 08:28:01 GMT 2025","passed","Mon Mar 17 08:28:01 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","105","Update organization details by ID - successful","QA|Nova Bank - Infopool","Mon Mar 17 08:27:53 GMT 2025","passed","Mon Mar 17 08:27:53 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
