"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","155","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:55:24 GMT 2025","passed","Sun Jun 08 21:55:24 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","371","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:52 GMT 2025","passed","Sun Jun 08 21:55:53 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","150","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 21:55:39 GMT 2025","failed","Sun Jun 08 21:55:39 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","240","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:55:55 GMT 2025","failed","Sun Jun 08 21:55:55 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","161","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:55:42 GMT 2025","passed","Sun Jun 08 21:55:42 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","81","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:55:27 GMT 2025","passed","Sun Jun 08 21:55:27 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","163","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:53 GMT 2025","failed","Sun Jun 08 21:55:53 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","315","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Jun 08 21:55:56 GMT 2025","passed","Sun Jun 08 21:55:57 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","76","get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","77","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","143","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:55:29 GMT 2025","passed","Sun Jun 08 21:55:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"","76","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","178","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:15 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","76","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","79","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3170","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:55:32 GMT 2025","passed","Sun Jun 08 21:55:35 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","1391","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 21:55:15 GMT 2025","passed","Sun Jun 08 21:55:16 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","728","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:55:31 GMT 2025","passed","Sun Jun 08 21:55:32 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","820","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:55:38 GMT 2025","passed","Sun Jun 08 21:55:39 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","240","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:55:57 GMT 2025","failed","Sun Jun 08 21:55:57 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","77","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 21:57:11 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","embed dashboard","Bank User","",""
"","77","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","76","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","243","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:55:27 GMT 2025","passed","Sun Jun 08 21:55:27 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","163","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:45 GMT 2025","passed","Sun Jun 08 21:55:45 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","77","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","76","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","154","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:55:39 GMT 2025","passed","Sun Jun 08 21:55:39 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","126","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 21:57:16 GMT 2025","passed","Sun Jun 08 21:57:17 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","446","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 21:55:45 GMT 2025","failed","Sun Jun 08 21:55:45 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","76","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","78","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:57:11 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","86","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Jun 08 21:55:54 GMT 2025","passed","Sun Jun 08 21:55:54 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","3175","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:49 GMT 2025","failed","Sun Jun 08 21:55:52 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","136","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:53 GMT 2025","failed","Sun Jun 08 21:55:53 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","200","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:55:54 GMT 2025","passed","Sun Jun 08 21:55:54 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","253","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:57:16 GMT 2025","passed","Sun Jun 08 21:57:16 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","77","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","77","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","128","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:53 GMT 2025","failed","Sun Jun 08 21:55:53 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","226","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:55:27 GMT 2025","passed","Sun Jun 08 21:55:27 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","81","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:55:46 GMT 2025","failed","Sun Jun 08 21:55:46 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","141","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 21:55:24 GMT 2025","passed","Sun Jun 08 21:55:24 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","229","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:57:15 GMT 2025","passed","Sun Jun 08 21:57:16 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","75","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","142","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:55:23 GMT 2025","passed","Sun Jun 08 21:55:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","76","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:57:11 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","76","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 21:57:11 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","79","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","87","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:55:56 GMT 2025","passed","Sun Jun 08 21:55:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","77","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 21:57:11 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","76","Health","QA|Nova Bank - Infopool","Sun Jun 08 21:57:11 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","v1 > Health","Bank Admin","",""
"","66258","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:56:01 GMT 2025","passed","Sun Jun 08 21:57:07 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","141","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:55:58 GMT 2025","passed","Sun Jun 08 21:55:58 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","160","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:55:26 GMT 2025","passed","Sun Jun 08 21:55:26 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","6314","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 21:55:17 GMT 2025","passed","Sun Jun 08 21:55:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","78","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","77","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","151","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 21:57:15 GMT 2025","passed","Sun Jun 08 21:57:15 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","140","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:55:55 GMT 2025","passed","Sun Jun 08 21:55:55 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","82","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:57:17 GMT 2025","passed","Sun Jun 08 21:57:17 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","143","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:55:43 GMT 2025","passed","Sun Jun 08 21:55:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","351","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 21:55:41 GMT 2025","passed","Sun Jun 08 21:55:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","235","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 21:57:16 GMT 2025","passed","Sun Jun 08 21:57:16 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","80","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:57:10 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","156","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 08 21:57:15 GMT 2025","passed","Sun Jun 08 21:57:15 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","212","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 21:57:15 GMT 2025","failed","Sun Jun 08 21:57:15 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","77","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","140","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:55:39 GMT 2025","passed","Sun Jun 08 21:55:39 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","81","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:55:43 GMT 2025","passed","Sun Jun 08 21:55:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","212","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:55:46 GMT 2025","passed","Sun Jun 08 21:55:46 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","251","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:57:17 GMT 2025","passed","Sun Jun 08 21:57:17 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","76","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 21:57:10 GMT 2025","passed","Sun Jun 08 21:57:10 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","82","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:55:39 GMT 2025","passed","Sun Jun 08 21:55:39 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","1447","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:55:28 GMT 2025","passed","Sun Jun 08 21:55:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:55:56 GMT 2025","failed","Sun Jun 08 21:55:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","135","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:55:26 GMT 2025","passed","Sun Jun 08 21:55:27 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","152","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:55:43 GMT 2025","passed","Sun Jun 08 21:55:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","77","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 21:57:11 GMT 2025","passed","Sun Jun 08 21:57:11 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","76","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","135","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:53 GMT 2025","failed","Sun Jun 08 21:55:54 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","437","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:43 GMT 2025","failed","Sun Jun 08 21:55:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","265","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:55:27 GMT 2025","failed","Sun Jun 08 21:55:27 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","75","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","154","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:55:43 GMT 2025","passed","Sun Jun 08 21:55:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","245","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:55:56 GMT 2025","passed","Sun Jun 08 21:55:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","347","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 21:55:23 GMT 2025","passed","Sun Jun 08 21:55:24 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","76","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","524","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:55:44 GMT 2025","failed","Sun Jun 08 21:55:45 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","77","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 21:57:12 GMT 2025","passed","Sun Jun 08 21:57:12 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","77","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 21:57:14 GMT 2025","passed","Sun Jun 08 21:57:14 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","135","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:55:43 GMT 2025","passed","Sun Jun 08 21:55:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","158","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 21:57:16 GMT 2025","passed","Sun Jun 08 21:57:16 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","160","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:55:54 GMT 2025","passed","Sun Jun 08 21:55:54 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","83","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:55:42 GMT 2025","passed","Sun Jun 08 21:55:42 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","269","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 21:55:41 GMT 2025","passed","Sun Jun 08 21:55:42 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","78","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 21:57:13 GMT 2025","passed","Sun Jun 08 21:57:13 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3255","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 21:55:35 GMT 2025","passed","Sun Jun 08 21:55:38 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","107","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:55:55 GMT 2025","passed","Sun Jun 08 21:55:56 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","193","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 21:56:01 GMT 2025","passed","Sun Jun 08 21:56:01 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","160","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:55:42 GMT 2025","passed","Sun Jun 08 21:55:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
