"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 11:51:43 GMT 2025","passed","Sat Jun 07 11:51:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","66228","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sat Jun 07 11:51:59 GMT 2025","passed","Sat Jun 07 11:53:05 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","79","Update user - invalid action","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","169","Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 11:51:47 GMT 2025","failed","Sat Jun 07 11:51:48 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","161","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 11:51:42 GMT 2025","passed","Sat Jun 07 11:51:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","Create organization - empty mis code","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","133","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 11:51:29 GMT 2025","passed","Sat Jun 07 11:51:29 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","159","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sat Jun 07 11:53:10 GMT 2025","passed","Sat Jun 07 11:53:10 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","132","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sat Jun 07 11:53:10 GMT 2025","passed","Sat Jun 07 11:53:10 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","124","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 11:51:47 GMT 2025","passed","Sat Jun 07 11:51:47 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","77","Create organization - empty street value","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","132","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 11:51:47 GMT 2025","failed","Sat Jun 07 11:51:47 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","76","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","85","Update profile - no auth","QA|Nova Bank - Infopool","Sat Jun 07 11:51:33 GMT 2025","passed","Sat Jun 07 11:51:33 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","Update definition","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","78","Create organization - empty city value","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","85","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","Create organization - name already exists","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","No auth - Create  organization","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","140","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 11:51:30 GMT 2025","passed","Sat Jun 07 11:51:30 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","146","Get roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:53:19 GMT 2025","passed","Sat Jun 07 11:53:19 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","121","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 11:51:45 GMT 2025","passed","Sat Jun 07 11:51:45 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","78","Update user - ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","249","audit trail","QA|Nova Bank - Infopool","Sat Jun 07 11:51:41 GMT 2025","passed","Sat Jun 07 11:51:41 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","81","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:46 GMT 2025","failed","Sat Jun 07 11:51:46 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","77","No Auth - Update definition","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","77","Role does not exist - update role","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","76","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","78","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","115","Update Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 11:51:47 GMT 2025","failed","Sat Jun 07 11:51:47 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","968","reset password","QA|Nova Bank - Infopool","Sat Jun 07 11:51:27 GMT 2025","passed","Sat Jun 07 11:51:28 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","80","Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","78","Update user - no auth","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","162","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sat Jun 07 11:51:33 GMT 2025","passed","Sat Jun 07 11:51:33 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","3217","Invalid email format","QA|Nova Bank - Infopool","Sat Jun 07 11:51:20 GMT 2025","passed","Sat Jun 07 11:51:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","154","Send user invitation token - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:51:42 GMT 2025","passed","Sat Jun 07 11:51:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","Create  organization","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","157","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 11:51:28 GMT 2025","passed","Sat Jun 07 11:51:29 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","77","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","126","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 11:51:48 GMT 2025","failed","Sat Jun 07 11:51:48 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","120","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 11:53:11 GMT 2025","passed","Sat Jun 07 11:53:11 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","103","No Auth - Change password","QA|Nova Bank - Infopool","Sat Jun 07 11:51:31 GMT 2025","passed","Sat Jun 07 11:51:31 GMT 2025","v1 > Profile > Password","Bank User","",""
"","3159","No user credentials","QA|Nova Bank - Infopool","Sat Jun 07 11:51:23 GMT 2025","passed","Sat Jun 07 11:51:26 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","79","Get all definitions","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","140","managers","QA|Nova Bank - Infopool","Sat Jun 07 11:53:12 GMT 2025","passed","Sat Jun 07 11:53:12 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","78","Update user - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","3135","Fetch Customer By ID","QA|Nova Bank - Infopool","Sat Jun 07 11:51:52 GMT 2025","failed","Sat Jun 07 11:51:55 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","110","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:46 GMT 2025","failed","Sat Jun 07 11:51:46 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","79","Empty fields - Update definition","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","162","Empty current password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 11:51:32 GMT 2025","passed","Sat Jun 07 11:51:32 GMT 2025","v1 > Profile > Password","Bank User","",""
"","77","No auth - get user role","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","161","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 11:51:29 GMT 2025","passed","Sat Jun 07 11:51:29 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","80","Get profile - user not logged in","QA|Nova Bank - Infopool","Sat Jun 07 11:51:32 GMT 2025","passed","Sat Jun 07 11:51:33 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","433","Weak password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 11:51:31 GMT 2025","passed","Sat Jun 07 11:51:32 GMT 2025","v1 > Profile > Password","Bank User","",""
"","155","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sat Jun 07 11:53:10 GMT 2025","failed","Sat Jun 07 11:53:10 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","159","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 11:51:48 GMT 2025","passed","Sat Jun 07 11:51:48 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","274","Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 11:51:46 GMT 2025","passed","Sat Jun 07 11:51:47 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","83","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 11:51:42 GMT 2025","passed","Sat Jun 07 11:51:42 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","152","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:51:29 GMT 2025","passed","Sat Jun 07 11:51:30 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","173","verifyOTP","QA|Nova Bank - Infopool","Sat Jun 07 11:51:26 GMT 2025","passed","Sat Jun 07 11:51:26 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","82","Create organization - empty description","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","114","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sat Jun 07 11:51:55 GMT 2025","failed","Sat Jun 07 11:51:55 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","171","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:53:12 GMT 2025","passed","Sat Jun 07 11:53:12 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","100","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sat Jun 07 11:51:56 GMT 2025","passed","Sat Jun 07 11:51:56 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","74","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","135","Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:46 GMT 2025","failed","Sat Jun 07 11:51:46 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","492","Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:43 GMT 2025","failed","Sat Jun 07 11:51:43 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","78","No auth - update role","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","141","No Auth - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 11:51:51 GMT 2025","passed","Sat Jun 07 11:51:51 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","78","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","2595","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat Jun 07 11:51:56 GMT 2025","passed","Sat Jun 07 11:51:59 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","149","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:46 GMT 2025","failed","Sat Jun 07 11:51:46 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","1028","Successful login","QA|Nova Bank - Infopool","Sat Jun 07 11:51:18 GMT 2025","passed","Sat Jun 07 11:51:19 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","178","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 11:51:47 GMT 2025","passed","Sat Jun 07 11:51:47 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","112","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:46 GMT 2025","failed","Sat Jun 07 11:51:46 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","81","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:46 GMT 2025","failed","Sat Jun 07 11:51:46 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","3259","Get events - invalid start date","QA|Nova Bank - Infopool","Sat Jun 07 11:51:34 GMT 2025","passed","Sat Jun 07 11:51:37 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","163","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:45 GMT 2025","failed","Sat Jun 07 11:51:45 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","77","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 11:53:08 GMT 2025","passed","Sat Jun 07 11:53:08 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","successful dashboard embed","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","embed dashboard","Bank User","",""
"","133","No Auth - Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:45 GMT 2025","failed","Sat Jun 07 11:51:45 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","146","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sat Jun 07 11:53:11 GMT 2025","passed","Sat Jun 07 11:53:11 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","257","Get events - invalid end date","QA|Nova Bank - Infopool","Sat Jun 07 11:51:37 GMT 2025","passed","Sat Jun 07 11:51:38 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","77","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","98","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat Jun 07 11:51:59 GMT 2025","passed","Sat Jun 07 11:51:59 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","960","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sat Jun 07 11:51:55 GMT 2025","passed","Sat Jun 07 11:51:56 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","163","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 11:51:42 GMT 2025","passed","Sat Jun 07 11:51:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","146","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sat Jun 07 11:53:11 GMT 2025","passed","Sat Jun 07 11:53:11 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","137","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 11:53:12 GMT 2025","passed","Sat Jun 07 11:53:12 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","156","Add user to an organization - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:53:11 GMT 2025","passed","Sat Jun 07 11:53:12 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","170","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 11:51:29 GMT 2025","failed","Sat Jun 07 11:51:29 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","140","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sat Jun 07 11:51:33 GMT 2025","passed","Sat Jun 07 11:51:34 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","96","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sat Jun 07 11:51:27 GMT 2025","passed","Sat Jun 07 11:51:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","3305","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sat Jun 07 11:51:38 GMT 2025","passed","Sat Jun 07 11:51:41 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","201","Update profile - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:51:33 GMT 2025","passed","Sat Jun 07 11:51:33 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","238","Forgot password - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:51:26 GMT 2025","failed","Sat Jun 07 11:51:27 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","136","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 11:51:28 GMT 2025","passed","Sat Jun 07 11:51:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","77","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","78","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","78","Fetch Customers Channels","QA|Nova Bank - Infopool","Sat Jun 07 11:53:06 GMT 2025","passed","Sat Jun 07 11:53:06 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","143","Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:51:29 GMT 2025","passed","Sat Jun 07 11:51:29 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","130","resend_invitation_toUser","QA|Nova Bank - Infopool","Sat Jun 07 11:51:42 GMT 2025","passed","Sat Jun 07 11:51:42 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","127","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 11:51:42 GMT 2025","passed","Sat Jun 07 11:51:42 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","222","verify OTP","QA|Nova Bank - Infopool","Sat Jun 07 11:51:29 GMT 2025","passed","Sat Jun 07 11:51:29 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","219","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 11:51:44 GMT 2025","failed","Sat Jun 07 11:51:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","353","Get events - successful","QA|Nova Bank - Infopool","Sat Jun 07 11:51:34 GMT 2025","passed","Sat Jun 07 11:51:34 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","132","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sat Jun 07 11:53:10 GMT 2025","passed","Sat Jun 07 11:53:10 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","Update user - empty action field","QA|Nova Bank - Infopool","Sat Jun 07 11:53:07 GMT 2025","passed","Sat Jun 07 11:53:07 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","78","Create organization - no country ID","QA|Nova Bank - Infopool","Sat Jun 07 11:53:09 GMT 2025","passed","Sat Jun 07 11:53:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","146","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sat Jun 07 11:51:44 GMT 2025","passed","Sat Jun 07 11:51:45 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
