"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a specific report by ID","27","Get Report by UUID","QA|Nova Bank - Infopool","Sun May 18 20:26:36 GMT 2025","failed","Sun May 18 20:26:36 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Create a new report","25","Create Report - No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:40 GMT 2025","passed","Sun May 18 20:26:40 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","31","Update definition","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","33","Update Issue","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","25","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","passed","Sun May 18 20:26:24 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","30","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","28","Get events - invalid end date","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","30","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","24","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","passed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","30","Get profile - successfully","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","24","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","passed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","29","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get a paginated list of reports with optional filtering","24","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","24","No auth - managers","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Delete a report (soft delete)","24","Delete Report -No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:40 GMT 2025","failed","Sun May 18 20:26:40 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","24","No Auth - Update definition","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","passed","Sun May 18 20:26:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","29","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","24","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","passed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","36","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","28","Get events - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Delete a report (soft delete)","25","Delete Report","QA|Nova Bank - Infopool","Sun May 18 20:26:40 GMT 2025","failed","Sun May 18 20:26:40 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","25","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","passed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get a specific report by ID","28","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:36 GMT 2025","passed","Sun May 18 20:26:36 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","28","Empty new password - Change password","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","27","Get Reports Stats","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","29","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","29","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","29","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Weak password - Change password","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","failed","Sun May 18 20:26:23 GMT 2025","v1 > Profile > Password","Bank User","",""
"","32","Get all Issues","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","30","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun May 18 20:26:41 GMT 2025","failed","Sun May 18 20:26:41 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","29","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","30","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","28","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","passed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"Get a specific report by ID","4579","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Sun May 18 20:26:36 GMT 2025","failed","Sun May 18 20:26:40 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","29","Add Comment to Issue","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","35","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","23","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a paginated list of reports with optional filtering","24","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","24","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","28","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","32","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","27","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","26","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","passed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","33","Add attachment to issue","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","27","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","24","Export Report Data - No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:41 GMT 2025","passed","Sun May 18 20:26:41 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","6176","Get single definition","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","27","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","31","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","26","Get Report Data - No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:41 GMT 2025","passed","Sun May 18 20:26:41 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","31","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","40","Get roles - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","28","Update user - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","28","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","28","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","28","update role","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","31","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","passed","Sun May 18 20:26:24 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","31","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get a paginated list of reports with optional filtering","28","Get Report Objects - Question","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","22","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","passed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","24","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","passed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Delete a report (soft delete)","28","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun May 18 20:26:40 GMT 2025","failed","Sun May 18 20:26:40 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","30","Add Comment to Customer","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","6244","Invalid credentials","QA|Nova Bank - Infopool","Sun May 18 20:26:16 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","31","Update role status","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","failed","Sun May 18 20:26:35 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","30","get user role","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","28","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","25","Logout session - no session","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:35 GMT 2025","v1 > Logout","Bank Admin","",""
"","32","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","24","No auth - update role","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","passed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Create a new report","31","Create Report","QA|Nova Bank - Infopool","Sun May 18 20:26:40 GMT 2025","failed","Sun May 18 20:26:40 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","30","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","27","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","29","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","445","Successful login","QA|Nova Bank - Infopool","Sun May 18 20:26:16 GMT 2025","passed","Sun May 18 20:26:16 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","27","Fetch all users","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","33","Update profile - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","30","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","27","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","passed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","28","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","30","Update user - invalid action","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","115","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","passed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Create a new report","29","Create Report - Duplicate name","QA|Nova Bank - Infopool","Sun May 18 20:26:40 GMT 2025","failed","Sun May 18 20:26:40 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","29","Empty fields - Update definition","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Get a specific report by ID","23","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun May 18 20:26:35 GMT 2025","passed","Sun May 18 20:26:36 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","29","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","110","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","failed","Sun May 18 20:26:23 GMT 2025","v1 > Profile > Password","Bank User","",""
"","31","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","failed","Sun May 18 20:26:25 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","30","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","25","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun May 18 20:26:25 GMT 2025","passed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","30","Create  organization","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","passed","Sun May 18 20:26:24 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","29","Fetch all organizations","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","failed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","31","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","28","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","5","New Request","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","broken","Sun May 18 20:26:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","31","Update profile - no phone number","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","failed","Sun May 18 20:26:24 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","21","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun May 18 20:26:34 GMT 2025","passed","Sun May 18 20:26:34 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","30","Create organization - no name","QA|Nova Bank - Infopool","Sun May 18 20:26:33 GMT 2025","failed","Sun May 18 20:26:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","66","Forgot password - successful","QA|Nova Bank - Infopool","Sun May 18 20:26:23 GMT 2025","passed","Sun May 18 20:26:23 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","32","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun May 18 20:26:26 GMT 2025","failed","Sun May 18 20:26:26 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","25","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun May 18 20:26:24 GMT 2025","passed","Sun May 18 20:26:24 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
