"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:08 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","77","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","151","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 20:33:02 GMT 2025","passed","Sun Jun 08 20:33:02 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","81","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 20:34:35 GMT 2025","passed","Sun Jun 08 20:34:35 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","79","update role","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","265","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:08 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","81","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 20:34:33 GMT 2025","passed","Sun Jun 08 20:34:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","82","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:17 GMT 2025","failed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","78","Update user - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","256","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:33:04 GMT 2025","passed","Sun Jun 08 20:33:05 GMT 2025","v1 > Profile > Password","Bank User","",""
"","145","Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 20:33:18 GMT 2025","passed","Sun Jun 08 20:33:18 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","85","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:33:18 GMT 2025","failed","Sun Jun 08 20:33:18 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","81","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","84","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:33:19 GMT 2025","failed","Sun Jun 08 20:33:19 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","92","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 20:33:02 GMT 2025","passed","Sun Jun 08 20:33:02 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","111","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:33:04 GMT 2025","passed","Sun Jun 08 20:33:04 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","95","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 20:33:06 GMT 2025","failed","Sun Jun 08 20:33:07 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","504","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 20:33:05 GMT 2025","passed","Sun Jun 08 20:33:06 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","78","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:33:03 GMT 2025","passed","Sun Jun 08 20:33:03 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","138","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:33:19 GMT 2025","passed","Sun Jun 08 20:33:19 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","82","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:33:19 GMT 2025","failed","Sun Jun 08 20:33:19 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","160","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:08 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","870","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 20:33:19 GMT 2025","passed","Sun Jun 08 20:33:20 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","80","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","80","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 20:34:30 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","175","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:10 GMT 2025","failed","Sun Jun 08 20:33:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","172","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:34:36 GMT 2025","passed","Sun Jun 08 20:34:36 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","82","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 20:34:30 GMT 2025","passed","Sun Jun 08 20:34:30 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","91","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 20:33:02 GMT 2025","passed","Sun Jun 08 20:33:02 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","3191","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 20:33:13 GMT 2025","failed","Sun Jun 08 20:33:16 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","116","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:33:03 GMT 2025","passed","Sun Jun 08 20:33:03 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","95","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 20:34:35 GMT 2025","passed","Sun Jun 08 20:34:35 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","85","Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:33:18 GMT 2025","failed","Sun Jun 08 20:33:18 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","190","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 20:33:07 GMT 2025","passed","Sun Jun 08 20:33:07 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","84","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:33:03 GMT 2025","passed","Sun Jun 08 20:33:03 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 20:34:34 GMT 2025","passed","Sun Jun 08 20:34:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","83","Add user to an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:34:35 GMT 2025","passed","Sun Jun 08 20:34:35 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","82","Create organization - no name","QA|Nova Bank - Infopool","Sun Jun 08 20:34:33 GMT 2025","passed","Sun Jun 08 20:34:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:08 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","79","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 20:34:34 GMT 2025","passed","Sun Jun 08 20:34:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","66254","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 20:33:24 GMT 2025","passed","Sun Jun 08 20:34:30 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","82","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 20:33:18 GMT 2025","passed","Sun Jun 08 20:33:18 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","85","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 20:33:03 GMT 2025","passed","Sun Jun 08 20:33:03 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","79","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","85","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:33:04 GMT 2025","passed","Sun Jun 08 20:33:04 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","86","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:17 GMT 2025","failed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","79","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","81","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 20:34:30 GMT 2025","passed","Sun Jun 08 20:34:30 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","81","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","78","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 20:34:30 GMT 2025","passed","Sun Jun 08 20:34:30 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","2786","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Jun 08 20:33:20 GMT 2025","passed","Sun Jun 08 20:33:23 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","80","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:34:34 GMT 2025","passed","Sun Jun 08 20:34:34 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","199","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:33:07 GMT 2025","passed","Sun Jun 08 20:33:07 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","148","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:33:02 GMT 2025","failed","Sun Jun 08 20:33:02 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","85","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jun 08 20:33:19 GMT 2025","passed","Sun Jun 08 20:33:19 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","86","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 20:33:02 GMT 2025","passed","Sun Jun 08 20:33:02 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","79","Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","143","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:10 GMT 2025","passed","Sun Jun 08 20:33:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","101","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 20:34:35 GMT 2025","passed","Sun Jun 08 20:34:35 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","82","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:33:19 GMT 2025","passed","Sun Jun 08 20:33:19 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","78","Health","QA|Nova Bank - Infopool","Sun Jun 08 20:34:30 GMT 2025","passed","Sun Jun 08 20:34:30 GMT 2025","v1 > Health","Bank Admin","",""
"","83","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:34:34 GMT 2025","passed","Sun Jun 08 20:34:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","83","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 20:33:19 GMT 2025","passed","Sun Jun 08 20:33:19 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","80","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","116","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 20:34:35 GMT 2025","passed","Sun Jun 08 20:34:35 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","100","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:08 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","82","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 20:34:34 GMT 2025","passed","Sun Jun 08 20:34:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","95","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","85","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:33:04 GMT 2025","passed","Sun Jun 08 20:33:04 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","82","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:18 GMT 2025","failed","Sun Jun 08 20:33:18 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","79","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:31 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","79","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 20:34:31 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","83","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 20:33:08 GMT 2025","passed","Sun Jun 08 20:33:08 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","86","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 20:33:18 GMT 2025","passed","Sun Jun 08 20:33:18 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","464","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:33:04 GMT 2025","passed","Sun Jun 08 20:33:04 GMT 2025","v1 > Profile > Password","Bank User","",""
"","78","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","82","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 20:33:18 GMT 2025","failed","Sun Jun 08 20:33:19 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","86","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:33:06 GMT 2025","passed","Sun Jun 08 20:33:06 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","78","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 20:34:34 GMT 2025","passed","Sun Jun 08 20:34:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","86","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 20:34:33 GMT 2025","passed","Sun Jun 08 20:34:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","85","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:17 GMT 2025","failed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","6220","Invalid email format","QA|Nova Bank - Infopool","Sun Jun 08 20:32:55 GMT 2025","passed","Sun Jun 08 20:33:02 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","83","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Jun 08 20:34:36 GMT 2025","passed","Sun Jun 08 20:34:36 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","94","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 20:33:17 GMT 2025","failed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","118","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 20:34:35 GMT 2025","passed","Sun Jun 08 20:34:35 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","100","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 20:34:36 GMT 2025","passed","Sun Jun 08 20:34:36 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","90","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 20:33:04 GMT 2025","passed","Sun Jun 08 20:33:04 GMT 2025","v1 > Profile > Password","Bank User","",""
"","77","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Jun 08 20:34:33 GMT 2025","passed","Sun Jun 08 20:34:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","83","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 20:33:16 GMT 2025","failed","Sun Jun 08 20:33:17 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","78","get user role","QA|Nova Bank - Infopool","Sun Jun 08 20:34:32 GMT 2025","passed","Sun Jun 08 20:34:32 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
