"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","64","Get Reports Stats","QA|Nova Bank - Infopool","Sun Feb 01 20:14:51 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Report > Get Report Stats","Bank Admin","",""
"","60","Logout session successfully","QA|Nova Bank - Infopool","Sun Feb 01 20:14:51 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Logout","Bank Admin","",""
"","66","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","122","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Feb 01 20:14:38 UTC 2026","broken","Sun Feb 01 20:14:39 UTC 2026","v1 > Auth > MFA > Request","Bank User","",""
"","66","Create roles","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","65","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Feb 01 20:14:48 UTC 2026","broken","Sun Feb 01 20:14:48 UTC 2026","v1 > Organizations > Update organization","Bank Admin","",""
"","65","Create  organization","QA|Nova Bank - Infopool","Sun Feb 01 20:14:47 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Update an existing report","60","Update Report - No auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","65","Get events - no auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","61","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Feb 01 20:14:49 UTC 2026","broken","Sun Feb 01 20:14:49 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","60","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","63","Create roles - No auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Create role","Bank Admin","",""
"","65","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Feb 01 20:14:45 UTC 2026","broken","Sun Feb 01 20:14:45 UTC 2026","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","65","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Update an existing report","64","Update Report","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Update Report","Bank Admin","",""
"","65","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","64","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Feb 01 20:14:47 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","64","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","65","managers","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","65","Get single definition","QA|Nova Bank - Infopool","Sun Feb 01 20:14:45 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","65","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:45 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","70","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Feb 01 20:14:53 UTC 2026","broken","Sun Feb 01 20:14:53 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","69","Get Issue by ID","QA|Nova Bank - Infopool","Sun Feb 01 20:14:42 UTC 2026","broken","Sun Feb 01 20:14:42 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","64","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","66","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Feb 01 20:14:47 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","61","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","65","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Feb 01 20:14:42 UTC 2026","broken","Sun Feb 01 20:14:42 UTC 2026","v1 > Onboarding > Complete profile","Bank User","",""
"","60","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","64","Get all definitions","QA|Nova Bank - Infopool","Sun Feb 01 20:14:45 UTC 2026","broken","Sun Feb 01 20:14:45 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","66","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Feb 01 20:14:47 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","61","Delete Report","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:53 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","63","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","66","Update user - no auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","64","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Feb 01 20:14:51 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","95","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","66","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","60","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","64","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","64","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","63","Update Customer Comment","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","61","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Onboarding > Validate invitation","Bank User","",""
"","66","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:49 UTC 2026","broken","Sun Feb 01 20:14:49 UTC 2026","v1 > Organizations > Delete organization","Bank Admin","",""
"","64","Get roles - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Get roles","Bank Admin","",""
"","60","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Feb 01 20:14:47 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Users > Role > Update role","Bank Admin","",""
"","65","No Auth - Change password","QA|Nova Bank - Infopool","Sun Feb 01 20:14:39 UTC 2026","broken","Sun Feb 01 20:14:39 UTC 2026","v1 > Profile > Password","Bank User","",""
"Create a new report","62","Create Report - No auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Create Report","Bank Admin","",""
"","294","Successful login","QA|Nova Bank - Infopool","Sun Feb 01 20:14:37 UTC 2026","broken","Sun Feb 01 20:14:37 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","63","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:49 UTC 2026","broken","Sun Feb 01 20:14:49 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","61","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Feb 01 20:14:48 UTC 2026","broken","Sun Feb 01 20:14:48 UTC 2026","v1 > Organizations > Fetch organization","Bank Admin","",""
"","98","Change password - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:39 UTC 2026","broken","Sun Feb 01 20:14:39 UTC 2026","v1 > Profile > Password","Bank User","",""
"","65","Update definition","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Static Definitions > Update definition","Bank Admin","",""
"","60","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:48 UTC 2026","broken","Sun Feb 01 20:14:48 UTC 2026","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","64","Search Customers","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","64","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","61","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Feb 01 20:14:48 UTC 2026","broken","Sun Feb 01 20:14:48 UTC 2026","v1 > Organizations > Create organization","Bank Admin","",""
"","61","Update profile - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:40 UTC 2026","broken","Sun Feb 01 20:14:40 UTC 2026","v1 > Profile > Update profile","Bank User","",""
"","62","Logout session - no session","QA|Nova Bank - Infopool","Sun Feb 01 20:14:51 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Logout","Bank Admin","",""
"","64","No_auth_add_comments","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","67","Add attachment to issue","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","67","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","60","No auth - get user role","QA|Nova Bank - Infopool","Sun Feb 01 20:14:47 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","66","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sun Feb 01 20:14:53 UTC 2026","broken","Sun Feb 01 20:14:53 UTC 2026","v1 > Report > Get Report Data","Bank Admin","",""
"","89","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Feb 01 20:14:42 UTC 2026","broken","Sun Feb 01 20:14:42 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","67","Get events - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Audit trail > Event","Bank User","",""
"","64","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Feb 01 20:14:49 UTC 2026","broken","Sun Feb 01 20:14:49 UTC 2026","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","64","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Feb 01 20:14:40 UTC 2026","broken","Sun Feb 01 20:14:40 UTC 2026","v1 > Profile > Password","Bank User","",""
"Get a paginated list of reports with optional filtering","63","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Sun Feb 01 20:14:51 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Report > Get Report","Bank Admin","",""
"Get a specific report by ID","64","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Get Report by Id","Bank Admin","",""
"","62","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:39 UTC 2026","broken","Sun Feb 01 20:14:39 UTC 2026","v1 > Profile > Roles","Bank User","",""
"","61","No auth - Update role status","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"Get a specific report by ID","63","Get Report by UUID","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Get Report by UUID","Bank Admin","",""
"","65","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","64","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:52 UTC 2026","broken","Sun Feb 01 20:14:52 UTC 2026","v1 > Report > Get Report Object","Bank Admin","",""
"","142","Update profile","QA|Nova Bank - Infopool","Sun Feb 01 20:14:40 UTC 2026","broken","Sun Feb 01 20:14:40 UTC 2026","v1 > Profile > update profile image","Bank User","",""
"","61","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","64","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Feb 01 20:14:45 UTC 2026","broken","Sun Feb 01 20:14:45 UTC 2026","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","68","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Feb 01 20:14:42 UTC 2026","broken","Sun Feb 01 20:14:42 UTC 2026","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","65","Get role by ID - no auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Get role by ID","Bank Admin","",""
"","65","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","61","Update user - invalid action","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Users > Update user","Bank Admin","",""
"","64","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Feb 01 20:14:53 UTC 2026","broken","Sun Feb 01 20:14:53 UTC 2026","","corporate Adjustment","",""
"","60","get user role","QA|Nova Bank - Infopool","Sun Feb 01 20:14:47 UTC 2026","broken","Sun Feb 01 20:14:47 UTC 2026","v1 > Users > Role > Get role","Bank Admin","",""
"","65","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Feb 01 20:14:43 UTC 2026","broken","Sun Feb 01 20:14:43 UTC 2026","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","64","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:40 UTC 2026","broken","Sun Feb 01 20:14:40 UTC 2026","v1 > Profile > Get profile","Bank User","",""
"","134","Invalid email format","QA|Nova Bank - Infopool","Sun Feb 01 20:14:38 UTC 2026","broken","Sun Feb 01 20:14:38 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","65","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Feb 01 20:14:49 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","100","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Feb 01 20:14:38 UTC 2026","broken","Sun Feb 01 20:14:38 UTC 2026","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Delete a report (soft delete)","65","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Feb 01 20:14:53 UTC 2026","broken","Sun Feb 01 20:14:53 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","140","Invalid credentials","QA|Nova Bank - Infopool","Sun Feb 01 20:14:37 UTC 2026","broken","Sun Feb 01 20:14:38 UTC 2026","v1 > Auth > Session > Login","Bank User","",""
"","65","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:46 UTC 2026","broken","Sun Feb 01 20:14:46 UTC 2026","v1 > Users > Fetch user by ID","Bank Admin","",""
"","65","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Feb 01 20:14:45 UTC 2026","broken","Sun Feb 01 20:14:45 UTC 2026","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","73","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Feb 01 20:14:45 UTC 2026","broken","Sun Feb 01 20:14:45 UTC 2026","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","59","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","65","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Feb 01 20:14:49 UTC 2026","broken","Sun Feb 01 20:14:49 UTC 2026","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","63","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Feb 01 20:14:44 UTC 2026","broken","Sun Feb 01 20:14:44 UTC 2026","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","62","No auth - get all category","QA|Nova Bank - Infopool","Sun Feb 01 20:14:51 UTC 2026","broken","Sun Feb 01 20:14:51 UTC 2026","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","66","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Feb 01 20:14:42 UTC 2026","broken","Sun Feb 01 20:14:42 UTC 2026","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Delete a report (soft delete)","64","Delete Report -No auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:53 UTC 2026","broken","Sun Feb 01 20:14:53 UTC 2026","v1 > Report > Delete Report","Bank Admin","",""
"","91","audit-search","QA|Nova Bank - Infopool","Sun Feb 01 20:14:41 UTC 2026","broken","Sun Feb 01 20:14:41 UTC 2026","v1 > Audit trail > Audit trail","Bank User","",""
"","64","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Feb 01 20:14:45 UTC 2026","broken","Sun Feb 01 20:14:45 UTC 2026","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","61","Update role status","QA|Nova Bank - Infopool","Sun Feb 01 20:14:50 UTC 2026","broken","Sun Feb 01 20:14:50 UTC 2026","v1 > Roles > Update role","Bank Admin","",""
"","65","Update profile - no auth","QA|Nova Bank - Infopool","Sun Feb 01 20:14:40 UTC 2026","broken","Sun Feb 01 20:14:40 UTC 2026","v1 > Profile > Update profile","Bank User","",""
