"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","Update profile - no auth","QA|Nova Bank - Infopool","Sun Jun 08 21:58:31 GMT 2025","passed","Sun Jun 08 21:58:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","140","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:58:48 GMT 2025","passed","Sun Jun 08 21:58:48 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","77","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","208","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:58:48 GMT 2025","passed","Sun Jun 08 21:58:49 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","74","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 22:00:10 GMT 2025","passed","Sun Jun 08 22:00:10 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","139","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Jun 08 22:00:11 GMT 2025","failed","Sun Jun 08 22:00:11 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","74","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","641","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 21:58:21 GMT 2025","passed","Sun Jun 08 21:58:22 GMT 2025","v1 > Profile > Password","Bank User","",""
"","152","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Jun 08 21:58:17 GMT 2025","passed","Sun Jun 08 21:58:17 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","78","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 22:00:06 GMT 2025","passed","Sun Jun 08 22:00:06 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","363","add_comment_successfully","QA|Nova Bank - Infopool","Sun Jun 08 21:58:46 GMT 2025","passed","Sun Jun 08 21:58:46 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","139","managers","QA|Nova Bank - Infopool","Sun Jun 08 22:00:13 GMT 2025","passed","Sun Jun 08 22:00:13 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","3187","Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 21:58:37 GMT 2025","failed","Sun Jun 08 21:58:41 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","128","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:58:44 GMT 2025","passed","Sun Jun 08 21:58:44 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","75","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:58:27 GMT 2025","passed","Sun Jun 08 21:58:27 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","143","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:45 GMT 2025","failed","Sun Jun 08 21:58:45 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","75","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","97","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:58:48 GMT 2025","passed","Sun Jun 08 21:58:48 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","97","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:58:16 GMT 2025","passed","Sun Jun 08 21:58:16 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","935","Change password - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:58:20 GMT 2025","passed","Sun Jun 08 21:58:21 GMT 2025","v1 > Profile > Password","Bank User","",""
"","354","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:00:14 GMT 2025","passed","Sun Jun 08 22:00:14 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","232","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:58:19 GMT 2025","passed","Sun Jun 08 21:58:20 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","152","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:58:20 GMT 2025","passed","Sun Jun 08 21:58:20 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","164","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:36 GMT 2025","passed","Sun Jun 08 21:58:36 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","74","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 22:00:07 GMT 2025","passed","Sun Jun 08 22:00:07 GMT 2025","embed dashboard","Bank User","",""
"","250","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 21:58:48 GMT 2025","passed","Sun Jun 08 21:58:48 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","75","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:00:07 GMT 2025","passed","Sun Jun 08 22:00:07 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","3265","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:58:41 GMT 2025","passed","Sun Jun 08 21:58:44 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","355","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Jun 08 21:58:49 GMT 2025","failed","Sun Jun 08 21:58:50 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","107","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 21:58:46 GMT 2025","passed","Sun Jun 08 21:58:46 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","137","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Jun 08 22:00:11 GMT 2025","passed","Sun Jun 08 22:00:11 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","66302","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 21:58:57 GMT 2025","passed","Sun Jun 08 22:00:03 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","76","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 22:00:10 GMT 2025","passed","Sun Jun 08 22:00:10 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","354","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 21:58:13 GMT 2025","passed","Sun Jun 08 21:58:13 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","287","verifyOTP","QA|Nova Bank - Infopool","Sun Jun 08 21:58:16 GMT 2025","passed","Sun Jun 08 21:58:17 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","75","get user role","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","79","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","215","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:00:13 GMT 2025","passed","Sun Jun 08 22:00:13 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","155","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:58:19 GMT 2025","passed","Sun Jun 08 21:58:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","90","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Jun 08 22:00:10 GMT 2025","passed","Sun Jun 08 22:00:11 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","139","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 22:00:12 GMT 2025","passed","Sun Jun 08 22:00:12 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","76","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","127","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 22:00:11 GMT 2025","passed","Sun Jun 08 22:00:11 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","142","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:46 GMT 2025","failed","Sun Jun 08 21:58:46 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","302","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 21:58:37 GMT 2025","failed","Sun Jun 08 21:58:37 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","74","Update user - empty action field","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","153","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:58:51 GMT 2025","passed","Sun Jun 08 21:58:51 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","77","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","4877","Successful login","QA|Nova Bank - Infopool","Sun Jun 08 21:58:08 GMT 2025","passed","Sun Jun 08 21:58:13 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","148","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:58:47 GMT 2025","passed","Sun Jun 08 21:58:47 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","554","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:35 GMT 2025","failed","Sun Jun 08 21:58:36 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","160","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sun Jun 08 21:58:31 GMT 2025","passed","Sun Jun 08 21:58:31 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","150","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:58:34 GMT 2025","passed","Sun Jun 08 21:58:34 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","77","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","74","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Jun 08 22:00:10 GMT 2025","passed","Sun Jun 08 22:00:10 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","77","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","263","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 21:58:33 GMT 2025","passed","Sun Jun 08 21:58:33 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","140","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:58:34 GMT 2025","passed","Sun Jun 08 21:58:34 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","74","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 22:00:07 GMT 2025","passed","Sun Jun 08 22:00:07 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","253","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:00:13 GMT 2025","passed","Sun Jun 08 22:00:13 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","147","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 21:58:31 GMT 2025","failed","Sun Jun 08 21:58:31 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","75","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","74","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","269","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:58:47 GMT 2025","failed","Sun Jun 08 21:58:47 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","140","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 21:58:41 GMT 2025","failed","Sun Jun 08 21:58:41 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","153","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:58:35 GMT 2025","passed","Sun Jun 08 21:58:35 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","79","No Auth - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:44 GMT 2025","failed","Sun Jun 08 21:58:44 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","131","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:58:20 GMT 2025","passed","Sun Jun 08 21:58:20 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","3134","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Jun 08 22:00:03 GMT 2025","passed","Sun Jun 08 22:00:06 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","76","update role","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","76","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:00:07 GMT 2025","passed","Sun Jun 08 22:00:07 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","431","Get events - successful","QA|Nova Bank - Infopool","Sun Jun 08 21:58:31 GMT 2025","passed","Sun Jun 08 21:58:32 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","165","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 21:58:31 GMT 2025","passed","Sun Jun 08 21:58:31 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","940","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 21:58:50 GMT 2025","passed","Sun Jun 08 21:58:51 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","244","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 21:58:46 GMT 2025","passed","Sun Jun 08 21:58:47 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","157","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:45 GMT 2025","failed","Sun Jun 08 21:58:45 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","127","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:58:31 GMT 2025","passed","Sun Jun 08 21:58:31 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","141","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:58:19 GMT 2025","passed","Sun Jun 08 21:58:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","144","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 21:58:17 GMT 2025","passed","Sun Jun 08 21:58:17 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","78","Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Jun 08 22:00:07 GMT 2025","passed","Sun Jun 08 22:00:07 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","251","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:58:18 GMT 2025","passed","Sun Jun 08 21:58:18 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","141","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:58:19 GMT 2025","passed","Sun Jun 08 21:58:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","76","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Jun 08 22:00:10 GMT 2025","passed","Sun Jun 08 22:00:10 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","75","Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 22:00:07 GMT 2025","passed","Sun Jun 08 22:00:07 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","76","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","135","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 21:58:48 GMT 2025","passed","Sun Jun 08 21:58:48 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","75","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 22:00:10 GMT 2025","passed","Sun Jun 08 22:00:10 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","147","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Jun 08 22:00:11 GMT 2025","failed","Sun Jun 08 22:00:11 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:00:08 GMT 2025","passed","Sun Jun 08 22:00:08 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","77","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 22:00:09 GMT 2025","passed","Sun Jun 08 22:00:09 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","254","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 21:58:33 GMT 2025","passed","Sun Jun 08 21:58:33 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","75","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 22:00:10 GMT 2025","passed","Sun Jun 08 22:00:10 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","140","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 21:58:45 GMT 2025","failed","Sun Jun 08 21:58:45 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","141","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 21:58:34 GMT 2025","passed","Sun Jun 08 21:58:35 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","75","Health","QA|Nova Bank - Infopool","Sun Jun 08 22:00:07 GMT 2025","passed","Sun Jun 08 22:00:07 GMT 2025","v1 > Health","Bank Admin","",""
"","142","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Jun 08 21:58:49 GMT 2025","passed","Sun Jun 08 21:58:49 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","131","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 21:58:18 GMT 2025","passed","Sun Jun 08 21:58:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","252","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 22:00:11 GMT 2025","passed","Sun Jun 08 22:00:12 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","133","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 22:00:12 GMT 2025","passed","Sun Jun 08 22:00:12 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
