"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","70","verify OTP","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","43","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","36","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","64","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:27 UTC 2025","passed","Sun Aug 17 20:12:27 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","33","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","failed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","66","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Aug 17 20:12:23 UTC 2025","failed","Sun Aug 17 20:12:23 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","34","Get events - no auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:09 UTC 2025","passed","Sun Aug 17 20:12:09 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","115","Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","32","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","47","Get single definition","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","33","Create organization - empty mis code","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","failed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","43","Role does not exist - update role","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","32","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","33","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","audit trail","QA|Nova Bank - Infopool","Sun Aug 17 20:12:09 UTC 2025","passed","Sun Aug 17 20:12:09 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","364","Create a New Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","604","verifyOTP","QA|Nova Bank - Infopool","Sun Aug 17 20:12:06 UTC 2025","passed","Sun Aug 17 20:12:06 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","120","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Aug 17 20:12:09 UTC 2025","passed","Sun Aug 17 20:12:09 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","68","Create  organization","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","failed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","failed","Sun Aug 17 20:12:24 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","37","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","48","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Aug 17 20:12:23 UTC 2025","passed","Sun Aug 17 20:12:23 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","61","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","failed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","44","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","33","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Profile > Roles","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","35","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","44","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","32","No auth - update role","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","115","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","51","get user role","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","65","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","77","Get roles - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:33 UTC 2025","passed","Sun Aug 17 20:12:33 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","81","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","43","successful dashboard embed","QA|Nova Bank - Infopool","Sun Aug 17 20:12:23 UTC 2025","passed","Sun Aug 17 20:12:23 UTC 2025","embed dashboard","Bank User","",""
"","35","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Aug 17 20:12:09 UTC 2025","passed","Sun Aug 17 20:12:09 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","39","Update user - empty action field","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","121","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","49","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","4289","Successful login","QA|Nova Bank - Infopool","Sun Aug 17 20:11:58 UTC 2025","passed","Sun Aug 17 20:12:02 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","114","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Aug 17 20:12:19 UTC 2025","failed","Sun Aug 17 20:12:19 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","43","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Aug 17 20:12:27 UTC 2025","passed","Sun Aug 17 20:12:27 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","61","Update user - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","31","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","33","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:11 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","31","Update user - no auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","48","Get roles - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:33 UTC 2025","passed","Sun Aug 17 20:12:33 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","45","Invalid email format","QA|Nova Bank - Infopool","Sun Aug 17 20:12:05 UTC 2025","passed","Sun Aug 17 20:12:06 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","32","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","45","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Aug 17 20:12:13 UTC 2025","passed","Sun Aug 17 20:12:13 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","32","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","915","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Aug 17 20:12:19 UTC 2025","passed","Sun Aug 17 20:12:20 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","86","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","51","Fetch all organizations","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","64","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","failed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","32","No Auth - Change password","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Profile > Password","Bank User","",""
"","46","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Aug 17 20:12:11 UTC 2025","passed","Sun Aug 17 20:12:11 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","44","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","42","Create organization - empty description","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","276","audit-search","QA|Nova Bank - Infopool","Sun Aug 17 20:12:09 UTC 2025","passed","Sun Aug 17 20:12:09 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","40","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Aug 17 20:12:06 UTC 2025","passed","Sun Aug 17 20:12:06 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","29","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Aug 17 20:12:23 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","44","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","3211","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Aug 17 20:12:16 UTC 2025","passed","Sun Aug 17 20:12:19 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","2860","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Aug 17 20:12:20 UTC 2025","passed","Sun Aug 17 20:12:23 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","31","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","43","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","128","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Aug 17 20:12:09 UTC 2025","passed","Sun Aug 17 20:12:09 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","55","Search Customers","QA|Nova Bank - Infopool","Sun Aug 17 20:12:13 UTC 2025","passed","Sun Aug 17 20:12:13 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","31","Health","QA|Nova Bank - Infopool","Sun Aug 17 20:12:23 UTC 2025","failed","Sun Aug 17 20:12:23 UTC 2025","v1 > Health","Bank Admin","",""
"","48","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:11 UTC 2025","failed","Sun Aug 17 20:12:11 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","35","Update profile - no auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","44","Get profile roles - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","31","Update profile - No Auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","169","Fetch all users","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","32","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","217","Change password - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Profile > Password","Bank User","",""
"","32","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","3105","managers","QA|Nova Bank - Infopool","Sun Aug 17 20:12:30 UTC 2025","passed","Sun Aug 17 20:12:33 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","32","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","120","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > Password","Bank User","",""
"","41","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","43","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > Password","Bank User","",""
"","283","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:11 UTC 2025","passed","Sun Aug 17 20:12:11 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","75","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","failed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","184","Update profile - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","83","Forgot password - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:06 UTC 2025","failed","Sun Aug 17 20:12:06 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","41","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","failed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","218","reset password","QA|Nova Bank - Infopool","Sun Aug 17 20:12:06 UTC 2025","passed","Sun Aug 17 20:12:07 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","31","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Aug 17 20:12:23 UTC 2025","passed","Sun Aug 17 20:12:23 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","98","Update Customer Comment","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sun Aug 17 20:12:06 UTC 2025","passed","Sun Aug 17 20:12:06 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","70","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sun Aug 17 20:12:07 UTC 2025","failed","Sun Aug 17 20:12:07 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","45","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","failed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","37","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:08 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","42","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Aug 17 20:12:23 UTC 2025","failed","Sun Aug 17 20:12:23 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","30","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:12 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","37","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Aug 17 20:12:06 UTC 2025","passed","Sun Aug 17 20:12:06 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","195","update role","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","162","Get events - successful","QA|Nova Bank - Infopool","Sun Aug 17 20:12:08 UTC 2025","passed","Sun Aug 17 20:12:09 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","81","resend_invitation_toUser","QA|Nova Bank - Infopool","Sun Aug 17 20:12:09 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","92","Get all Issues","QA|Nova Bank - Infopool","Sun Aug 17 20:12:11 UTC 2025","failed","Sun Aug 17 20:12:11 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","31","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Aug 17 20:12:19 UTC 2025","passed","Sun Aug 17 20:12:19 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","33","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Aug 17 20:12:10 UTC 2025","passed","Sun Aug 17 20:12:10 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","51","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Aug 17 20:12:26 UTC 2025","passed","Sun Aug 17 20:12:26 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","38","No user credentials","QA|Nova Bank - Infopool","Sun Aug 17 20:12:06 UTC 2025","passed","Sun Aug 17 20:12:06 UTC 2025","v1 > Auth > Session > Login","Bank User","",""
"","3120","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Aug 17 20:12:13 UTC 2025","passed","Sun Aug 17 20:12:16 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","42","Update user - invalid action","QA|Nova Bank - Infopool","Sun Aug 17 20:12:24 UTC 2025","passed","Sun Aug 17 20:12:24 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","32","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Aug 17 20:12:12 UTC 2025","passed","Sun Aug 17 20:12:13 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","44","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Aug 17 20:12:25 UTC 2025","passed","Sun Aug 17 20:12:25 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
