"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","failed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","94","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 17:49:28 GMT 2025","passed","Thu Jun 05 17:49:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","200","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:49:21 GMT 2025","failed","Thu Jun 05 17:49:21 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","296","Weak password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:25 GMT 2025","passed","Thu Jun 05 17:49:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","73","Create organization - no name","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","153","No user credentials","QA|Nova Bank - Infopool","Thu Jun 05 17:49:21 GMT 2025","passed","Thu Jun 05 17:49:21 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","190","Fetch Customer By ID","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","passed","Thu Jun 05 17:49:41 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","99","Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","failed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","73","Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","74","update role","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","73","Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","93","Update profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 17:49:26 GMT 2025","passed","Thu Jun 05 17:49:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","95","Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","failed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","86","No Auth - Get all Issues","QA|Nova Bank - Infopool","Thu Jun 05 17:49:37 GMT 2025","passed","Thu Jun 05 17:49:37 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","106","resend_invitation_toUser","QA|Nova Bank - Infopool","Thu Jun 05 17:49:28 GMT 2025","passed","Thu Jun 05 17:49:28 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","76","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","75","Update user - invalid action","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","90","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","failed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","74","Fetch user by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","77","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","109","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 17:49:37 GMT 2025","passed","Thu Jun 05 17:49:37 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","691","reset password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:22 GMT 2025","passed","Thu Jun 05 17:49:22 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","93","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:22 GMT 2025","passed","Thu Jun 05 17:49:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","103","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","passed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","135","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","95","Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","failed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","114","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 17:49:39 GMT 2025","failed","Thu Jun 05 17:49:39 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","115","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","passed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","74","Create organization - empty city value","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","Create organization - name already exists","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","218","Get events - invalid start date","QA|Nova Bank - Infopool","Thu Jun 05 17:49:27 GMT 2025","passed","Thu Jun 05 17:49:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","95","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","failed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","79","Create organization - empty description","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","110","Remove user from an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","74","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","331","No auth - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:30 GMT 2025","passed","Thu Jun 05 17:49:30 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","122","Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:22 GMT 2025","passed","Thu Jun 05 17:49:22 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","76","No auth - managers","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","77","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","passed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","109","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","passed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","101","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 17:49:28 GMT 2025","passed","Thu Jun 05 17:49:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","73","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","122","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","passed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","73","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","76","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","passed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","74","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","900","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 17:49:41 GMT 2025","passed","Thu Jun 05 17:49:42 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","120","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","passed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","75","Health","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Health","Bank Admin","",""
"","72","No auth - Create  organization","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","72","get user role","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","91","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:49:28 GMT 2025","passed","Thu Jun 05 17:49:28 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","95","Update profile - no phone number","QA|Nova Bank - Infopool","Thu Jun 05 17:49:26 GMT 2025","passed","Thu Jun 05 17:49:26 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","103","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Thu Jun 05 17:49:41 GMT 2025","passed","Thu Jun 05 17:49:41 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","157","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Thu Jun 05 17:49:27 GMT 2025","passed","Thu Jun 05 17:49:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","75","Update user - empty action field","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","217","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 17:49:44 GMT 2025","passed","Thu Jun 05 17:49:44 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","228","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 17:49:25 GMT 2025","passed","Thu Jun 05 17:49:25 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","76","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","839","Successful login","QA|Nova Bank - Infopool","Thu Jun 05 17:49:13 GMT 2025","passed","Thu Jun 05 17:49:14 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","105","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","passed","Thu Jun 05 17:49:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","73","Empty fields - Update definition","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","72","No auth - get user role","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","93","Invalid name - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","failed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","97","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","73","Fetch all organizations","QA|Nova Bank - Infopool","Thu Jun 05 17:50:54 GMT 2025","passed","Thu Jun 05 17:50:54 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","93","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 17:49:28 GMT 2025","passed","Thu Jun 05 17:49:29 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","114","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Thu Jun 05 17:50:55 GMT 2025","failed","Thu Jun 05 17:50:55 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","128","verifyOTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:21 GMT 2025","passed","Thu Jun 05 17:49:21 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","125","Get roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:57 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","91","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","passed","Thu Jun 05 17:49:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","77","No Auth - Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 17:49:40 GMT 2025","passed","Thu Jun 05 17:49:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","85","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 17:49:37 GMT 2025","passed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","72","Update user - ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","244","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 17:49:27 GMT 2025","passed","Thu Jun 05 17:49:28 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","81","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:22 GMT 2025","passed","Thu Jun 05 17:49:22 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","94","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","passed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","95","Update profile","QA|Nova Bank - Infopool","Thu Jun 05 17:49:26 GMT 2025","failed","Thu Jun 05 17:49:26 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","173","verify OTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","passed","Thu Jun 05 17:49:23 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","93","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 17:49:41 GMT 2025","failed","Thu Jun 05 17:49:41 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","174","Get events - invalid end date","QA|Nova Bank - Infopool","Thu Jun 05 17:49:27 GMT 2025","passed","Thu Jun 05 17:49:27 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","6237","Invalid email format","QA|Nova Bank - Infopool","Thu Jun 05 17:49:15 GMT 2025","passed","Thu Jun 05 17:49:21 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","73","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","74","Create  organization - without parent id","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","75","Add user to an organization - no auth","QA|Nova Bank - Infopool","Thu Jun 05 17:50:56 GMT 2025","passed","Thu Jun 05 17:50:56 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","76","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 17:50:51 GMT 2025","passed","Thu Jun 05 17:50:51 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","639","Change password - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","passed","Thu Jun 05 17:49:24 GMT 2025","v1 > Profile > Password","Bank User","",""
"","72","No Auth - Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","98","Empty new password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:25 GMT 2025","passed","Thu Jun 05 17:49:25 GMT 2025","v1 > Profile > Password","Bank User","",""
"","75","Get profile - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 17:49:25 GMT 2025","passed","Thu Jun 05 17:49:25 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","89","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 17:49:21 GMT 2025","passed","Thu Jun 05 17:49:22 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","74","Update user - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","passed","Thu Jun 05 17:49:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","99","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","passed","Thu Jun 05 17:49:23 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","75","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 17:50:53 GMT 2025","passed","Thu Jun 05 17:50:53 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","361","Invalid credentials","QA|Nova Bank - Infopool","Thu Jun 05 17:49:14 GMT 2025","passed","Thu Jun 05 17:49:15 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","89","Delete Attachment from Issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","failed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","101","Get profile roles - successful","QA|Nova Bank - Infopool","Thu Jun 05 17:49:23 GMT 2025","passed","Thu Jun 05 17:49:23 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","88","Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 17:49:38 GMT 2025","failed","Thu Jun 05 17:49:38 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","73","Update user - no auth","QA|Nova Bank - Infopool","Thu Jun 05 17:50:52 GMT 2025","passed","Thu Jun 05 17:50:52 GMT 2025","v1 > Users > Update user","Bank Admin","",""
