"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","passed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","29","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a paginated list of reports with optional filtering","30","Get Reports - No auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","passed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","62","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","31","Add attachment to issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","30","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","28","reset password","QA|Nova Bank - Infopool","Fri Oct 17 18:55:25 UTC 2025","passed","Fri Oct 17 18:55:25 UTC 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","67","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","31","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","28","Get roles - No Auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","passed","Fri Oct 17 18:55:31 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","31","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","28","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","28","category by id","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","29","audit trail","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","29","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","passed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","24","audit-search","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","passed","Fri Oct 17 18:55:27 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","29","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","32","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Create a new report","31","Create Report","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","28","Update Customer Comment","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","29","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","28","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","passed","Fri Oct 17 18:55:31 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","31","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","35","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","30","Create organization - no name","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","Create organization - empty description","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","28","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","passed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","30","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","28","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","28","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","29","Update role status","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","30","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","29","Update user - no auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","31","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Oct 17 18:55:25 UTC 2025","failed","Fri Oct 17 18:55:25 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","29","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","passed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","29","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","29","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","passed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","31","No Auth - Change password","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Password","Bank User","",""
"","30","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","32","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Oct 17 18:55:25 UTC 2025","failed","Fri Oct 17 18:55:25 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Update an existing report","30","Update Report - No auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","29","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","28","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","31","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","32","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"Create a new report","30","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","32","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","31","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","28","managers","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get a specific report by ID","29","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","33","Weak password - Change password","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Password","Bank User","",""
"","29","Export Report Data","QA|Nova Bank - Infopool","Fri Oct 17 18:55:33 UTC 2025","failed","Fri Oct 17 18:55:33 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","28","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","28","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","passed","Fri Oct 17 18:55:29 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"Update an existing report","25","Update Report","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","passed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","34","Get Issue by ID","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","30","Create organization - name already exists","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","30","update role","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","31","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","passed","Fri Oct 17 18:55:26 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","31","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","30","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","29","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","58","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","30","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Fri Oct 17 18:55:33 UTC 2025","failed","Fri Oct 17 18:55:33 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","31","verify OTP","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","30","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","33","Change password - successful","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Password","Bank User","",""
"","28","Get role by ID - successful","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","28","Logout session successfully","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Logout","Bank Admin","",""
"","30","Update profile - no auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","29","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","29","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","28","No auth - get user role","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","passed","Fri Oct 17 18:55:29 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","36","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Oct 17 18:55:25 UTC 2025","failed","Fri Oct 17 18:55:25 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","30","Get all Issues","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","91","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","29","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","30","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","32","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","32","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","31","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","Logout session - no session","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Logout","Bank Admin","",""
"","29","Role does not exist - update role","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","27","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","passed","Fri Oct 17 18:55:29 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","30","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","27","No auth - category by id","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","passed","Fri Oct 17 18:55:32 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a specific report by ID","28","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","passed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Update an existing report","29","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","28","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","32","Update profile","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","31","Update Issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","29","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","passed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","27","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","passed","Fri Oct 17 18:55:31 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","28","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","35","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Password","Bank User","",""
"","28","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","passed","Fri Oct 17 18:55:31 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","28","successful dashboard embed","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","embed dashboard","Bank User","",""
"","28","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","passed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","35","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Oct 17 18:55:25 UTC 2025","failed","Fri Oct 17 18:55:25 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","27","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Oct 17 18:55:30 UTC 2025","failed","Fri Oct 17 18:55:30 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","28","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","passed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","29","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","28","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","passed","Fri Oct 17 18:55:29 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get a paginated list of reports with optional filtering","30","Get Reports","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Get Report","Bank Admin","",""
"","30","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","failed","Fri Oct 17 18:55:26 UTC 2025","v1 > Profile > Password","Bank User","",""
"Delete a report (soft delete)","27","Delete Report","QA|Nova Bank - Infopool","Fri Oct 17 18:55:32 UTC 2025","failed","Fri Oct 17 18:55:32 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","29","Get events - no auth","QA|Nova Bank - Infopool","Fri Oct 17 18:55:26 UTC 2025","passed","Fri Oct 17 18:55:26 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","30","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Oct 17 18:55:28 UTC 2025","failed","Fri Oct 17 18:55:28 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","29","Get all permissions","QA|Nova Bank - Infopool","Fri Oct 17 18:55:31 UTC 2025","failed","Fri Oct 17 18:55:31 UTC 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","38","verifyOTP","QA|Nova Bank - Infopool","Fri Oct 17 18:55:25 UTC 2025","failed","Fri Oct 17 18:55:25 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","30","Health","QA|Nova Bank - Infopool","Fri Oct 17 18:55:29 UTC 2025","failed","Fri Oct 17 18:55:29 UTC 2025","v1 > Health","Bank Admin","",""
"","137","Create a New Issue","QA|Nova Bank - Infopool","Fri Oct 17 18:55:27 UTC 2025","failed","Fri Oct 17 18:55:27 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
