"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 23:02:09 GMT 2025","passed","Sun Jun 08 23:02:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","50","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 23:01:56 GMT 2025","passed","Sun Jun 08 23:01:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","449","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Jun 08 23:01:58 GMT 2025","passed","Sun Jun 08 23:01:58 GMT 2025","v1 > Profile > Password","Bank User","",""
"","24","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","24","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"Get a paginated list of reports with optional filtering","24","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Delete a report (soft delete)","26","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 23:03:36 GMT 2025","passed","Sun Jun 08 23:03:36 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","102","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 23:01:54 GMT 2025","passed","Sun Jun 08 23:01:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","431","Invalid credentials","QA|Nova Bank - Infopool","Sun Jun 08 23:01:47 GMT 2025","passed","Sun Jun 08 23:01:48 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","42","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:10 GMT 2025","passed","Sun Jun 08 23:02:11 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","26","No auth - get user role","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","57","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Jun 08 23:02:00 GMT 2025","passed","Sun Jun 08 23:02:00 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","80","Forgot password - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:01:54 GMT 2025","failed","Sun Jun 08 23:01:54 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","356","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 23:02:15 GMT 2025","passed","Sun Jun 08 23:02:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","43","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 23:02:09 GMT 2025","passed","Sun Jun 08 23:02:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","38","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 23:02:14 GMT 2025","passed","Sun Jun 08 23:02:14 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a specific report by ID","23","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","37","No user credentials","QA|Nova Bank - Infopool","Sun Jun 08 23:01:54 GMT 2025","passed","Sun Jun 08 23:01:54 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","27","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","208","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 23:02:14 GMT 2025","passed","Sun Jun 08 23:02:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","57","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 23:01:56 GMT 2025","passed","Sun Jun 08 23:01:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","34","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 23:02:09 GMT 2025","passed","Sun Jun 08 23:02:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","24","category by id","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","385","Get profile - successfully","QA|Nova Bank - Infopool","Sun Jun 08 23:01:59 GMT 2025","passed","Sun Jun 08 23:01:59 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","28","Update definition","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","28","Create organization - empty description","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","Update user - invalid action","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","22","Get permission by ID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","24","Update role status - role does not exist","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","25","Update user - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","79","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 23:01:56 GMT 2025","passed","Sun Jun 08 23:01:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","26","Get roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","527","Get Issue by ID","QA|Nova Bank - Infopool","Sun Jun 08 23:02:11 GMT 2025","passed","Sun Jun 08 23:02:12 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","26","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","25","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","25","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","83","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 23:02:15 GMT 2025","passed","Sun Jun 08 23:02:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","23","get all category","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","352","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Jun 08 23:02:23 GMT 2025","passed","Sun Jun 08 23:02:23 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","23","No auth - get all category","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","342","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Jun 08 23:02:01 GMT 2025","passed","Sun Jun 08 23:02:01 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","345","Create_issue_without_attachment","QA|Nova Bank - Infopool","Sun Jun 08 23:02:11 GMT 2025","passed","Sun Jun 08 23:02:11 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a paginated list of reports with optional filtering","25","Get Reports - No auth","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","68","Add attachment to issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:13 GMT 2025","failed","Sun Jun 08 23:02:13 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","24","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","25","Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","150","verify OTP","QA|Nova Bank - Infopool","Sun Jun 08 23:01:56 GMT 2025","passed","Sun Jun 08 23:01:56 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","25","Update user - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","24","No Auth - Fetch all users","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","26","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 23:03:36 GMT 2025","passed","Sun Jun 08 23:03:36 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","25","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","106","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Jun 08 23:01:56 GMT 2025","passed","Sun Jun 08 23:01:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","266","Update Customer Comment","QA|Nova Bank - Infopool","Sun Jun 08 23:02:14 GMT 2025","passed","Sun Jun 08 23:02:14 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","24","get user role","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","123","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:10 GMT 2025","passed","Sun Jun 08 23:02:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","54","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:12 GMT 2025","failed","Sun Jun 08 23:02:12 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","791","Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:09 GMT 2025","passed","Sun Jun 08 23:02:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","364","audit trail","QA|Nova Bank - Infopool","Sun Jun 08 23:02:02 GMT 2025","passed","Sun Jun 08 23:02:02 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","53","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Jun 08 23:01:54 GMT 2025","passed","Sun Jun 08 23:01:55 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","27","Get Report Data - Question","QA|Nova Bank - Infopool","Sun Jun 08 23:03:36 GMT 2025","passed","Sun Jun 08 23:03:36 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","61","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Jun 08 23:02:09 GMT 2025","passed","Sun Jun 08 23:02:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","25","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","25","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","25","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Sun Jun 08 23:03:36 GMT 2025","passed","Sun Jun 08 23:03:36 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","58","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:01:57 GMT 2025","passed","Sun Jun 08 23:01:57 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","24","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 23:03:36 GMT 2025","passed","Sun Jun 08 23:03:36 GMT 2025","","corporate Adjustment","",""
"","56","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Jun 08 23:02:00 GMT 2025","passed","Sun Jun 08 23:02:00 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","456","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:12 GMT 2025","passed","Sun Jun 08 23:02:12 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","23","Logout session successfully","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Logout","Bank Admin","",""
"","336","audit-search","QA|Nova Bank - Infopool","Sun Jun 08 23:02:02 GMT 2025","passed","Sun Jun 08 23:02:02 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","38","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:13 GMT 2025","passed","Sun Jun 08 23:02:13 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","106","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 23:01:59 GMT 2025","passed","Sun Jun 08 23:02:00 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","24","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","23","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","25","No auth - update role","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","25","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","34","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Jun 08 23:02:17 GMT 2025","passed","Sun Jun 08 23:02:17 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","351","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:10 GMT 2025","failed","Sun Jun 08 23:02:10 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","49","Get events - no auth","QA|Nova Bank - Infopool","Sun Jun 08 23:02:01 GMT 2025","passed","Sun Jun 08 23:02:01 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","24","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","26","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a specific report by ID","25","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"Get a specific report by ID","24","Get Report by ID","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","251","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Jun 08 23:02:00 GMT 2025","passed","Sun Jun 08 23:02:00 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","24","Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","25","successful dashboard embed","QA|Nova Bank - Infopool","Sun Jun 08 23:03:32 GMT 2025","passed","Sun Jun 08 23:03:32 GMT 2025","embed dashboard","Bank User","",""
"","27","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","27","Create  organization - without parent id","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","No Auth - Change password","QA|Nova Bank - Infopool","Sun Jun 08 23:01:58 GMT 2025","passed","Sun Jun 08 23:01:58 GMT 2025","v1 > Profile > Password","Bank User","",""
"","253","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Sun Jun 08 23:02:01 GMT 2025","passed","Sun Jun 08 23:02:02 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","22","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","26","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","71","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sun Jun 08 23:02:13 GMT 2025","failed","Sun Jun 08 23:02:13 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","132","Update profile","QA|Nova Bank - Infopool","Sun Jun 08 23:02:00 GMT 2025","failed","Sun Jun 08 23:02:00 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","60","Send user invitation token - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:02:09 GMT 2025","passed","Sun Jun 08 23:02:09 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","26","No Auth - Update definition","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","27","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","57","Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 23:02:15 GMT 2025","passed","Sun Jun 08 23:02:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","322","Update profile - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:02:00 GMT 2025","passed","Sun Jun 08 23:02:00 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","25","update role","QA|Nova Bank - Infopool","Sun Jun 08 23:03:33 GMT 2025","passed","Sun Jun 08 23:03:33 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","54","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Jun 08 23:02:11 GMT 2025","passed","Sun Jun 08 23:02:11 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"Update an existing report","24","Update Report - No auth","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","24","search Corporate Adjustment","QA|Nova Bank - Infopool","Sun Jun 08 23:03:36 GMT 2025","passed","Sun Jun 08 23:03:36 GMT 2025","","corporate Adjustment","",""
"Create a new report","25","Create Report - Empty category","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","138","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 23:02:15 GMT 2025","passed","Sun Jun 08 23:02:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","29","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Jun 08 23:03:32 GMT 2025","passed","Sun Jun 08 23:03:32 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","24","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get a specific report by ID","25","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","140","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Jun 08 23:02:13 GMT 2025","passed","Sun Jun 08 23:02:13 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","24","managers","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","24","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","24","No auth - Update role status","QA|Nova Bank - Infopool","Sun Jun 08 23:03:35 GMT 2025","passed","Sun Jun 08 23:03:35 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","47","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Jun 08 23:02:14 GMT 2025","passed","Sun Jun 08 23:02:14 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","31","No Auth - Search Customers","QA|Nova Bank - Infopool","Sun Jun 08 23:02:15 GMT 2025","passed","Sun Jun 08 23:02:15 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","26","Get roles - No Auth","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","24","Create roles","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","24","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Jun 08 23:03:34 GMT 2025","passed","Sun Jun 08 23:03:34 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
