"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6237","Invalid email format","QA|Nova Bank - Infopool","Wed May 28 00:03:12 GMT 2025","passed","Wed May 28 00:03:18 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","57","Create organization - empty mis code","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","failed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","54","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:03:39 GMT 2025","passed","Wed May 28 00:03:39 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Update an existing report","56","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:03:41 GMT 2025","failed","Wed May 28 00:03:42 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","81","Role does not exist - update role","QA|Nova Bank - Infopool","Wed May 28 00:03:36 GMT 2025","passed","Wed May 28 00:03:36 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","54","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Wed May 28 00:03:38 GMT 2025","passed","Wed May 28 00:03:38 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","55","Health","QA|Nova Bank - Infopool","Wed May 28 00:03:34 GMT 2025","passed","Wed May 28 00:03:34 GMT 2025","v1 > Health","Bank Admin","",""
"","56","Add user to an organization - no auth","QA|Nova Bank - Infopool","Wed May 28 00:03:38 GMT 2025","passed","Wed May 28 00:03:39 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","56","No auth - get user role","QA|Nova Bank - Infopool","Wed May 28 00:03:36 GMT 2025","passed","Wed May 28 00:03:36 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","63","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:03:19 GMT 2025","passed","Wed May 28 00:03:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","56","Export Report Data - No auth","QA|Nova Bank - Infopool","Wed May 28 00:03:48 GMT 2025","passed","Wed May 28 00:03:48 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","56","Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","56","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed May 28 00:03:23 GMT 2025","passed","Wed May 28 00:03:23 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","71","Logout session successfully","QA|Nova Bank - Infopool","Wed May 28 00:03:40 GMT 2025","passed","Wed May 28 00:03:40 GMT 2025","v1 > Logout","Bank Admin","",""
"Create a new report","55","Create Report - Empty category","QA|Nova Bank - Infopool","Wed May 28 00:03:41 GMT 2025","failed","Wed May 28 00:03:41 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","77","Get all definitions","QA|Nova Bank - Infopool","Wed May 28 00:03:34 GMT 2025","passed","Wed May 28 00:03:34 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","56","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","passed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","57","Update profile - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","57","Get events - invalid start date","QA|Nova Bank - Infopool","Wed May 28 00:03:21 GMT 2025","failed","Wed May 28 00:03:21 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","55","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Wed May 28 00:03:34 GMT 2025","passed","Wed May 28 00:03:34 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","103","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:03:19 GMT 2025","passed","Wed May 28 00:03:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","60","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed May 28 00:03:48 GMT 2025","failed","Wed May 28 00:03:48 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","69","Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:19 GMT 2025","passed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Update an existing report","53","Update Report","QA|Nova Bank - Infopool","Wed May 28 00:03:41 GMT 2025","passed","Wed May 28 00:03:41 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","58","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","passed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","75","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","62","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:03:21 GMT 2025","passed","Wed May 28 00:03:21 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","75","Create organization - no name","QA|Nova Bank - Infopool","Wed May 28 00:03:36 GMT 2025","passed","Wed May 28 00:03:36 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3122","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Wed May 28 00:03:28 GMT 2025","passed","Wed May 28 00:03:31 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","56","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed May 28 00:03:39 GMT 2025","failed","Wed May 28 00:03:39 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","57","Get profile - successfully","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","67","Get permission by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:40 GMT 2025","failed","Wed May 28 00:03:40 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","78","Create  organization","QA|Nova Bank - Infopool","Wed May 28 00:03:36 GMT 2025","failed","Wed May 28 00:03:36 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","56","No auth - update role","QA|Nova Bank - Infopool","Wed May 28 00:03:36 GMT 2025","passed","Wed May 28 00:03:36 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","58","Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","54","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:03:41 GMT 2025","passed","Wed May 28 00:03:41 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","74","Create organization - empty description","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","passed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","56","No Auth - Get all permissions","QA|Nova Bank - Infopool","Wed May 28 00:03:40 GMT 2025","passed","Wed May 28 00:03:40 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","55","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","passed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","54","Create roles - No auth","QA|Nova Bank - Infopool","Wed May 28 00:03:39 GMT 2025","passed","Wed May 28 00:03:39 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","58","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed May 28 00:03:21 GMT 2025","failed","Wed May 28 00:03:21 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","55","No auth - Create  organization","QA|Nova Bank - Infopool","Wed May 28 00:03:36 GMT 2025","passed","Wed May 28 00:03:36 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","57","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:03:45 GMT 2025","failed","Wed May 28 00:03:45 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","56","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Wed May 28 00:03:39 GMT 2025","failed","Wed May 28 00:03:39 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","60","Send user invitation token - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:21 GMT 2025","passed","Wed May 28 00:03:21 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","59","Add attachment to issue","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","57","Change password - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","55","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed May 28 00:03:39 GMT 2025","passed","Wed May 28 00:03:39 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","10","New Request","QA|Nova Bank - Infopool","Wed May 28 00:03:19 GMT 2025","broken","Wed May 28 00:03:19 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","71","Fetch user by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","81","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","passed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","61","Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:03:23 GMT 2025","failed","Wed May 28 00:03:23 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","56","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","failed","Wed May 28 00:03:35 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Delete a report (soft delete)","116","Delete Report","QA|Nova Bank - Infopool","Wed May 28 00:03:42 GMT 2025","failed","Wed May 28 00:03:42 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","56","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Wed May 28 00:03:28 GMT 2025","passed","Wed May 28 00:03:28 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","139","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:03:22 GMT 2025","passed","Wed May 28 00:03:23 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","56","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed May 28 00:03:39 GMT 2025","passed","Wed May 28 00:03:40 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","94","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed May 28 00:03:25 GMT 2025","passed","Wed May 28 00:03:25 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","56","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Wed May 28 00:03:38 GMT 2025","failed","Wed May 28 00:03:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a specific report by ID","55","Get Report by UUID","QA|Nova Bank - Infopool","Wed May 28 00:03:41 GMT 2025","failed","Wed May 28 00:03:41 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","63","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","passed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","61","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:03:19 GMT 2025","passed","Wed May 28 00:03:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","57","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:03:22 GMT 2025","passed","Wed May 28 00:03:22 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","73","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed May 28 00:03:38 GMT 2025","passed","Wed May 28 00:03:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Create a new report","55","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed May 28 00:03:41 GMT 2025","failed","Wed May 28 00:03:41 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","64","No user credentials","QA|Nova Bank - Infopool","Wed May 28 00:03:18 GMT 2025","passed","Wed May 28 00:03:18 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","77","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed May 28 00:03:38 GMT 2025","passed","Wed May 28 00:03:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","58","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:03:22 GMT 2025","passed","Wed May 28 00:03:22 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","55","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","56","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","passed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","78","resend_invitation_toUser","QA|Nova Bank - Infopool","Wed May 28 00:03:21 GMT 2025","passed","Wed May 28 00:03:21 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","56","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed May 28 00:03:23 GMT 2025","failed","Wed May 28 00:03:23 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","61","No Auth - Fetch all users","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","59","Create organization - empty street value","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","failed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","95","Update definition","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","71","Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:03:25 GMT 2025","passed","Wed May 28 00:03:25 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","54","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Wed May 28 00:03:25 GMT 2025","passed","Wed May 28 00:03:25 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","57","Weak password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","3131","Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 28 00:03:31 GMT 2025","failed","Wed May 28 00:03:34 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","58","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:03:19 GMT 2025","passed","Wed May 28 00:03:19 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","55","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Wed May 28 00:03:21 GMT 2025","failed","Wed May 28 00:03:21 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","80","Create organization - empty city value","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","passed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","55","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","passed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","56","Get profile - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","passed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","56","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:03:37 GMT 2025","failed","Wed May 28 00:03:37 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","57","Empty new password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:03:20 GMT 2025","failed","Wed May 28 00:03:20 GMT 2025","v1 > Profile > Password","Bank User","",""
"","67","Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:03:34 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","56","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Wed May 28 00:03:23 GMT 2025","passed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","56","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","57","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Wed May 28 00:03:19 GMT 2025","passed","Wed May 28 00:03:19 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","56","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:03:24 GMT 2025","failed","Wed May 28 00:03:24 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","88","Update user - successful","QA|Nova Bank - Infopool","Wed May 28 00:03:35 GMT 2025","passed","Wed May 28 00:03:35 GMT 2025","v1 > Users > Update user","Bank Admin","",""
