"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","77","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","87","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:52:27 GMT 2025","passed","Fri Jun 06 14:52:27 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","83","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jun 06 14:50:47 GMT 2025","passed","Fri Jun 06 14:50:47 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","88","Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:03 GMT 2025","failed","Fri Jun 06 14:51:03 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","108","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:03 GMT 2025","failed","Fri Jun 06 14:51:03 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","114","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:02 GMT 2025","failed","Fri Jun 06 14:51:02 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","78","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jun 06 14:52:26 GMT 2025","passed","Fri Jun 06 14:52:26 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","76","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Jun 06 14:52:26 GMT 2025","passed","Fri Jun 06 14:52:26 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","2679","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 06 14:51:10 GMT 2025","passed","Fri Jun 06 14:51:12 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","76","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Fri Jun 06 14:52:26 GMT 2025","passed","Fri Jun 06 14:52:26 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 06 14:51:09 GMT 2025","passed","Fri Jun 06 14:51:10 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","76","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 06 14:52:22 GMT 2025","passed","Fri Jun 06 14:52:22 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","98","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jun 06 14:52:27 GMT 2025","passed","Fri Jun 06 14:52:27 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","78","successful dashboard embed","QA|Nova Bank - Infopool","Fri Jun 06 14:52:22 GMT 2025","passed","Fri Jun 06 14:52:22 GMT 2025","embed dashboard","Bank User","",""
"","78","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Jun 06 14:51:08 GMT 2025","failed","Fri Jun 06 14:51:08 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","79","Create organization - no name","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","93","Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 06 14:52:27 GMT 2025","passed","Fri Jun 06 14:52:27 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","66267","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 06 14:51:16 GMT 2025","passed","Fri Jun 06 14:52:22 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","262","audit-search","QA|Nova Bank - Infopool","Fri Jun 06 14:50:58 GMT 2025","passed","Fri Jun 06 14:50:58 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","3143","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 06 14:51:12 GMT 2025","passed","Fri Jun 06 14:51:15 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","114","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 06 14:51:04 GMT 2025","passed","Fri Jun 06 14:51:04 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","82","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 06 14:51:02 GMT 2025","failed","Fri Jun 06 14:51:02 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","80","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:52:28 GMT 2025","passed","Fri Jun 06 14:52:28 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","104","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:51:03 GMT 2025","failed","Fri Jun 06 14:51:04 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","80","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 06 14:52:22 GMT 2025","passed","Fri Jun 06 14:52:22 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","75","Create organization - empty street value","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","76","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","321","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:01 GMT 2025","passed","Fri Jun 06 14:51:02 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","83","Get events - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:50:51 GMT 2025","passed","Fri Jun 06 14:50:51 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","931","Change password - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:50:47 GMT 2025","passed","Fri Jun 06 14:50:48 GMT 2025","v1 > Profile > Password","Bank User","",""
"","324","Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 06 14:51:03 GMT 2025","passed","Fri Jun 06 14:51:03 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","76","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","100","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Jun 06 14:52:27 GMT 2025","passed","Fri Jun 06 14:52:27 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","85","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jun 06 14:50:45 GMT 2025","passed","Fri Jun 06 14:50:45 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","168","Weak password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:50:49 GMT 2025","passed","Fri Jun 06 14:50:49 GMT 2025","v1 > Profile > Password","Bank User","",""
"","94","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jun 06 14:50:50 GMT 2025","passed","Fri Jun 06 14:50:50 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","127","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:50:47 GMT 2025","failed","Fri Jun 06 14:50:47 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","119","Update Customer Comment Copy","QA|Nova Bank - Infopool","Fri Jun 06 14:51:04 GMT 2025","passed","Fri Jun 06 14:51:04 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","137","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:50:58 GMT 2025","passed","Fri Jun 06 14:50:58 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","265","verify OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:50:47 GMT 2025","passed","Fri Jun 06 14:50:47 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","6766","Successful login","QA|Nova Bank - Infopool","Fri Jun 06 14:50:37 GMT 2025","passed","Fri Jun 06 14:50:44 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","313","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jun 06 14:50:51 GMT 2025","passed","Fri Jun 06 14:50:51 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","76","Update user - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","79","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Jun 06 14:52:26 GMT 2025","passed","Fri Jun 06 14:52:26 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","113","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:50:59 GMT 2025","passed","Fri Jun 06 14:50:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","113","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:50:46 GMT 2025","passed","Fri Jun 06 14:50:46 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","93","Add attachment to issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:03 GMT 2025","failed","Fri Jun 06 14:51:03 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","76","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","110","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 06 14:50:59 GMT 2025","passed","Fri Jun 06 14:50:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","85","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Jun 06 14:50:50 GMT 2025","passed","Fri Jun 06 14:50:50 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","79","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:51:04 GMT 2025","failed","Fri Jun 06 14:51:04 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","76","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","75","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","127","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 06 14:51:02 GMT 2025","passed","Fri Jun 06 14:51:02 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","388","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:01 GMT 2025","passed","Fri Jun 06 14:51:01 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:51:04 GMT 2025","failed","Fri Jun 06 14:51:04 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","78","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 06 14:52:26 GMT 2025","passed","Fri Jun 06 14:52:26 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","93","No auth - managers","QA|Nova Bank - Infopool","Fri Jun 06 14:52:28 GMT 2025","passed","Fri Jun 06 14:52:28 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","75","update role","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","82","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 06 14:51:02 GMT 2025","passed","Fri Jun 06 14:51:02 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","1225","Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:50:59 GMT 2025","passed","Fri Jun 06 14:51:00 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","80","Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Jun 06 14:51:04 GMT 2025","failed","Fri Jun 06 14:51:04 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","77","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","76","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","78","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:52:26 GMT 2025","passed","Fri Jun 06 14:52:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","81","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 06 14:50:45 GMT 2025","passed","Fri Jun 06 14:50:45 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","98","No Auth - Get all Issues","QA|Nova Bank - Infopool","Fri Jun 06 14:51:02 GMT 2025","passed","Fri Jun 06 14:51:02 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","76","Update user - invalid action","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","78","Get all definitions","QA|Nova Bank - Infopool","Fri Jun 06 14:52:22 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","77","Empty fields - Update definition","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","82","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 06 14:52:27 GMT 2025","passed","Fri Jun 06 14:52:27 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","78","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","75","get user role","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","79","Create  organization","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","99","No user credentials","QA|Nova Bank - Infopool","Fri Jun 06 14:50:44 GMT 2025","passed","Fri Jun 06 14:50:45 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","105","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:52:28 GMT 2025","passed","Fri Jun 06 14:52:28 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","75","Health","QA|Nova Bank - Infopool","Fri Jun 06 14:52:22 GMT 2025","passed","Fri Jun 06 14:52:22 GMT 2025","v1 > Health","Bank Admin","",""
"","88","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:02 GMT 2025","failed","Fri Jun 06 14:51:02 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","78","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Jun 06 14:52:22 GMT 2025","passed","Fri Jun 06 14:52:22 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","83","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:03 GMT 2025","passed","Fri Jun 06 14:51:03 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","75","No auth - update role","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","146","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 06 14:51:01 GMT 2025","failed","Fri Jun 06 14:51:01 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","75","Update user - empty action field","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","82","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:50:46 GMT 2025","passed","Fri Jun 06 14:50:47 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","77","No Auth - Update definition","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","77","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:52:23 GMT 2025","passed","Fri Jun 06 14:52:23 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","112","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 06 14:51:04 GMT 2025","failed","Fri Jun 06 14:51:04 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","916","reset password","QA|Nova Bank - Infopool","Fri Jun 06 14:50:45 GMT 2025","passed","Fri Jun 06 14:50:46 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","75","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Fri Jun 06 14:52:26 GMT 2025","passed","Fri Jun 06 14:52:26 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","78","Update user - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 06 14:52:24 GMT 2025","passed","Fri Jun 06 14:52:24 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","76","Create organization - no country ID","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","545","Invalid credentials","QA|Nova Bank - Infopool","Fri Jun 06 14:50:44 GMT 2025","passed","Fri Jun 06 14:50:44 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","116","Update profile - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:50:50 GMT 2025","passed","Fri Jun 06 14:50:50 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","187","audit trail","QA|Nova Bank - Infopool","Fri Jun 06 14:50:55 GMT 2025","passed","Fri Jun 06 14:50:55 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","106","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:50:59 GMT 2025","passed","Fri Jun 06 14:50:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","81","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jun 06 14:50:50 GMT 2025","passed","Fri Jun 06 14:50:50 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","287","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jun 06 14:51:15 GMT 2025","passed","Fri Jun 06 14:51:16 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","79","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 06 14:52:22 GMT 2025","passed","Fri Jun 06 14:52:22 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","103","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:50:47 GMT 2025","passed","Fri Jun 06 14:50:47 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","90","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Jun 06 14:50:58 GMT 2025","passed","Fri Jun 06 14:50:59 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","116","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 06 14:50:47 GMT 2025","passed","Fri Jun 06 14:50:47 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","296","Get events - successful","QA|Nova Bank - Infopool","Fri Jun 06 14:50:50 GMT 2025","passed","Fri Jun 06 14:50:51 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","88","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:50:49 GMT 2025","passed","Fri Jun 06 14:50:49 GMT 2025","v1 > Profile > Password","Bank User","",""
"","77","Fetch all organizations","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","149","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Jun 06 14:51:08 GMT 2025","failed","Fri Jun 06 14:51:08 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","76","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Jun 06 14:52:25 GMT 2025","passed","Fri Jun 06 14:52:25 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","81","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jun 06 14:50:48 GMT 2025","passed","Fri Jun 06 14:50:48 GMT 2025","v1 > Profile > Password","Bank User","",""
"","166","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jun 06 14:50:51 GMT 2025","passed","Fri Jun 06 14:50:51 GMT 2025","v1 > Audit trail > Event","Bank User","",""
