"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","97","get all category","QA|Nova Bank - Infopool","Tue May 27 15:32:41 GMT 2025","passed","Tue May 27 15:32:42 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","87","Add user to an organization - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","failed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","81","Get roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 15:32:40 GMT 2025","passed","Tue May 27 15:32:40 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","133","Forgot password - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:09 GMT 2025","failed","Tue May 27 15:32:09 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","145","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Tue May 27 15:32:27 GMT 2025","passed","Tue May 27 15:32:28 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","88","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","failed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","82","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","passed","Tue May 27 15:32:29 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","78","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Tue May 27 15:32:40 GMT 2025","passed","Tue May 27 15:32:40 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","84","Update user - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","failed","Tue May 27 15:32:30 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","88","Send user invitation token - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","83","Update user - empty action field","QA|Nova Bank - Infopool","Tue May 27 15:32:30 GMT 2025","failed","Tue May 27 15:32:30 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","82","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 15:32:16 GMT 2025","failed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","88","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Tue May 27 15:32:16 GMT 2025","failed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","82","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue May 27 15:32:38 GMT 2025","failed","Tue May 27 15:32:38 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","82","audit trail - No Auth","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a paginated list of reports with optional filtering","83","Get Reports - No auth","QA|Nova Bank - Infopool","Tue May 27 15:32:42 GMT 2025","passed","Tue May 27 15:32:42 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","84","Get single definition","QA|Nova Bank - Infopool","Tue May 27 15:32:28 GMT 2025","failed","Tue May 27 15:32:28 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","83","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get a specific report by ID","80","Get Report by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 15:32:43 GMT 2025","passed","Tue May 27 15:32:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","84","Create  organization - without parent id","QA|Nova Bank - Infopool","Tue May 27 15:32:30 GMT 2025","failed","Tue May 27 15:32:31 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","123","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 15:32:10 GMT 2025","failed","Tue May 27 15:32:10 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","83","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","passed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","101","Create  organization","QA|Nova Bank - Infopool","Tue May 27 15:32:30 GMT 2025","failed","Tue May 27 15:32:30 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","82","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue May 27 15:32:25 GMT 2025","passed","Tue May 27 15:32:25 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","178","audit trail","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","89","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Tue May 27 15:32:24 GMT 2025","failed","Tue May 27 15:32:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Update an existing report","80","Update Report","QA|Nova Bank - Infopool","Tue May 27 15:32:44 GMT 2025","passed","Tue May 27 15:32:44 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","83","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 15:32:15 GMT 2025","failed","Tue May 27 15:32:15 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","123","Fetch Customer By ID","QA|Nova Bank - Infopool","Tue May 27 15:32:24 GMT 2025","passed","Tue May 27 15:32:24 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","82","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 15:32:16 GMT 2025","failed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","84","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:38 GMT 2025","failed","Tue May 27 15:32:38 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","121","Fetch all organizations","QA|Nova Bank - Infopool","Tue May 27 15:32:38 GMT 2025","failed","Tue May 27 15:32:38 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","82","No auth - Create  organization","QA|Nova Bank - Infopool","Tue May 27 15:32:30 GMT 2025","passed","Tue May 27 15:32:30 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Get events - invalid end date","QA|Nova Bank - Infopool","Tue May 27 15:32:12 GMT 2025","failed","Tue May 27 15:32:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","83","managers","QA|Nova Bank - Infopool","Tue May 27 15:32:40 GMT 2025","failed","Tue May 27 15:32:40 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","3235","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Tue May 27 15:32:34 GMT 2025","passed","Tue May 27 15:32:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","88","Update user - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 15:32:30 GMT 2025","failed","Tue May 27 15:32:30 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","83","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","failed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","83","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 15:32:16 GMT 2025","passed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","93","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 15:32:10 GMT 2025","passed","Tue May 27 15:32:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","82","Get profile - user not logged in","QA|Nova Bank - Infopool","Tue May 27 15:32:11 GMT 2025","passed","Tue May 27 15:32:11 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","86","Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","failed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","85","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue May 27 15:32:24 GMT 2025","passed","Tue May 27 15:32:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","82","Get events - invalid start date","QA|Nova Bank - Infopool","Tue May 27 15:32:12 GMT 2025","failed","Tue May 27 15:32:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Update an existing report","82","Update Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 15:32:44 GMT 2025","failed","Tue May 27 15:32:44 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Update an existing report","81","Update Report - No auth","QA|Nova Bank - Infopool","Tue May 27 15:32:44 GMT 2025","passed","Tue May 27 15:32:44 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","84","Create organization - no country ID","QA|Nova Bank - Infopool","Tue May 27 15:32:37 GMT 2025","failed","Tue May 27 15:32:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","84","Get Report by ID","QA|Nova Bank - Infopool","Tue May 27 15:32:43 GMT 2025","failed","Tue May 27 15:32:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","88","Empty current password - Change password","QA|Nova Bank - Infopool","Tue May 27 15:32:11 GMT 2025","failed","Tue May 27 15:32:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","82","Create roles - No auth","QA|Nova Bank - Infopool","Tue May 27 15:32:40 GMT 2025","passed","Tue May 27 15:32:40 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","85","Create roles - empty name field","QA|Nova Bank - Infopool","Tue May 27 15:32:40 GMT 2025","failed","Tue May 27 15:32:41 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","122","Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 15:32:09 GMT 2025","passed","Tue May 27 15:32:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","82","Get Report by UUID","QA|Nova Bank - Infopool","Tue May 27 15:32:43 GMT 2025","failed","Tue May 27 15:32:43 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","2703","Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue May 27 15:32:25 GMT 2025","passed","Tue May 27 15:32:27 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","86","Update profile - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:11 GMT 2025","failed","Tue May 27 15:32:11 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","81","get user role","QA|Nova Bank - Infopool","Tue May 27 15:32:30 GMT 2025","failed","Tue May 27 15:32:30 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","81","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 15:32:41 GMT 2025","failed","Tue May 27 15:32:41 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","82","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","failed","Tue May 27 15:32:29 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","87","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","83","Role does not exist - update role","QA|Nova Bank - Infopool","Tue May 27 15:32:30 GMT 2025","failed","Tue May 27 15:32:30 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","82","Fetch all users","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","failed","Tue May 27 15:32:29 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Create a new report","86","Create Report - Empty category","QA|Nova Bank - Infopool","Tue May 27 15:32:44 GMT 2025","failed","Tue May 27 15:32:44 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","85","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Tue May 27 15:32:09 GMT 2025","passed","Tue May 27 15:32:09 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","83","Get Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 15:32:44 GMT 2025","passed","Tue May 27 15:32:45 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","168","Invalid credentials","QA|Nova Bank - Infopool","Tue May 27 15:32:02 GMT 2025","passed","Tue May 27 15:32:02 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Tue May 27 15:32:28 GMT 2025","failed","Tue May 27 15:32:29 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","83","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Tue May 27 15:32:38 GMT 2025","failed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","80","No auth - get all category","QA|Nova Bank - Infopool","Tue May 27 15:32:42 GMT 2025","passed","Tue May 27 15:32:42 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","87","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 15:32:10 GMT 2025","passed","Tue May 27 15:32:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Tue May 27 15:32:38 GMT 2025","failed","Tue May 27 15:32:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","83","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Tue May 27 15:32:24 GMT 2025","passed","Tue May 27 15:32:24 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","87","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 15:32:23 GMT 2025","failed","Tue May 27 15:32:23 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","82","Get profile - No Auth","QA|Nova Bank - Infopool","Tue May 27 15:32:11 GMT 2025","passed","Tue May 27 15:32:11 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","289","Get events - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:12 GMT 2025","passed","Tue May 27 15:32:12 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","86","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue May 27 15:32:27 GMT 2025","passed","Tue May 27 15:32:27 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","84","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 15:32:16 GMT 2025","passed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","81","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 15:32:23 GMT 2025","passed","Tue May 27 15:32:23 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","81","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","passed","Tue May 27 15:32:29 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","83","Create organization - empty city value","QA|Nova Bank - Infopool","Tue May 27 15:32:37 GMT 2025","failed","Tue May 27 15:32:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","104","Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 15:32:17 GMT 2025","failed","Tue May 27 15:32:17 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","86","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 15:32:10 GMT 2025","passed","Tue May 27 15:32:10 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","failed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 15:32:38 GMT 2025","passed","Tue May 27 15:32:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","84","Update user - invalid action","QA|Nova Bank - Infopool","Tue May 27 15:32:30 GMT 2025","failed","Tue May 27 15:32:30 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","83","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Tue May 27 15:32:37 GMT 2025","failed","Tue May 27 15:32:37 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Empty new password - Change password","QA|Nova Bank - Infopool","Tue May 27 15:32:11 GMT 2025","failed","Tue May 27 15:32:11 GMT 2025","v1 > Profile > Password","Bank User","",""
"","84","Update Issue","QA|Nova Bank - Infopool","Tue May 27 15:32:16 GMT 2025","failed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","84","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Tue May 27 15:32:44 GMT 2025","failed","Tue May 27 15:32:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","103","Search Customers","QA|Nova Bank - Infopool","Tue May 27 15:32:24 GMT 2025","passed","Tue May 27 15:32:24 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","83","Remove user from an organization - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:40 GMT 2025","failed","Tue May 27 15:32:40 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","84","Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 15:32:16 GMT 2025","failed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","3132","Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 15:32:20 GMT 2025","failed","Tue May 27 15:32:23 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","81","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 15:32:17 GMT 2025","passed","Tue May 27 15:32:17 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","82","No Auth - Update definition","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","passed","Tue May 27 15:32:29 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","86","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 15:32:09 GMT 2025","passed","Tue May 27 15:32:09 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","232","category by id","QA|Nova Bank - Infopool","Tue May 27 15:32:42 GMT 2025","passed","Tue May 27 15:32:42 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Delete a report (soft delete)","82","Delete Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 15:32:44 GMT 2025","failed","Tue May 27 15:32:44 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","82","Update profile - no auth","QA|Nova Bank - Infopool","Tue May 27 15:32:11 GMT 2025","passed","Tue May 27 15:32:11 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","82","No Auth - Get all Issues","QA|Nova Bank - Infopool","Tue May 27 15:32:15 GMT 2025","passed","Tue May 27 15:32:15 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","83","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 15:32:13 GMT 2025","passed","Tue May 27 15:32:13 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","6250","Invalid email format","QA|Nova Bank - Infopool","Tue May 27 15:32:02 GMT 2025","passed","Tue May 27 15:32:09 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","3173","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 15:32:17 GMT 2025","failed","Tue May 27 15:32:20 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","82","Get profile - successfully","QA|Nova Bank - Infopool","Tue May 27 15:32:11 GMT 2025","failed","Tue May 27 15:32:11 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","82","Get events - end date earlier than start date","QA|Nova Bank - Infopool","Tue May 27 15:32:12 GMT 2025","failed","Tue May 27 15:32:13 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","83","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue May 27 15:32:28 GMT 2025","failed","Tue May 27 15:32:28 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","92","Fetch user by ID - successful","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","passed","Tue May 27 15:32:29 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","86","Update profile - invalid phone number","QA|Nova Bank - Infopool","Tue May 27 15:32:12 GMT 2025","failed","Tue May 27 15:32:12 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","83","Add user to an organization - no auth","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","passed","Tue May 27 15:32:40 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","88","No user credentials","QA|Nova Bank - Infopool","Tue May 27 15:32:09 GMT 2025","passed","Tue May 27 15:32:09 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","81","No auth - managers","QA|Nova Bank - Infopool","Tue May 27 15:32:40 GMT 2025","passed","Tue May 27 15:32:40 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","83","No Auth - Fetch all users","QA|Nova Bank - Infopool","Tue May 27 15:32:29 GMT 2025","passed","Tue May 27 15:32:29 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","84","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 15:32:39 GMT 2025","passed","Tue May 27 15:32:39 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","85","Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 15:32:15 GMT 2025","failed","Tue May 27 15:32:16 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
