"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92","Update profile - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","30","Create organization - empty street value","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","failed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","29","Get profile roles - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","passed","Wed May 28 00:09:18 GMT 2025","v1 > Profile > Roles","Bank User","",""
"Update an existing report","31","Update Report - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","30","managers","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","failed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Delete a report (soft delete)","28","Delete Report - Invalid id","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"Get a specific report by ID","31","Get Report by UUID","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","30","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","31","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","failed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","26","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","9","New Request","QA|Nova Bank - Infopool","Wed May 28 00:09:25 GMT 2025","broken","Wed May 28 00:09:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","92","Create  organization","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","failed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","audit trail - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","passed","Wed May 28 00:09:19 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Get a specific report by ID","29","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","passed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","29","Update Customer Comment Copy","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","34","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","failed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","28","No auth - get user role","QA|Nova Bank - Infopool","Wed May 28 00:09:31 GMT 2025","passed","Wed May 28 00:09:31 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","71","category by id","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"Get a paginated list of reports with optional filtering","30","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","31","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","failed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","30","No Auth - Update Issue","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","33","Empty new password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > Password","Bank User","",""
"","30","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Wed May 28 00:09:25 GMT 2025","failed","Wed May 28 00:09:25 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","29","No auth - category by id","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","32","Update profile - Invalid file size","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","failed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","49","Create organization - empty description","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","passed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Weak password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","failed","Wed May 28 00:09:18 GMT 2025","v1 > Profile > Password","Bank User","",""
"","50","Empty fields - Update definition","QA|Nova Bank - Infopool","Wed May 28 00:09:31 GMT 2025","passed","Wed May 28 00:09:31 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","41","Get profile roles - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","passed","Wed May 28 00:09:18 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","32","Invalid current password - Change password","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","failed","Wed May 28 00:09:18 GMT 2025","v1 > Profile > Password","Bank User","",""
"","29","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","33","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","passed","Wed May 28 00:09:18 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","29","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","failed","Wed May 28 00:09:34 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","37","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","passed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","29","Get role by ID - no auth","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a paginated list of reports with optional filtering","29","Get Reports - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","48","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","passed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","33","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","29","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","27","Logout session - no session","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","passed","Wed May 28 00:09:34 GMT 2025","v1 > Logout","Bank Admin","",""
"Get a paginated list of reports with optional filtering","33","Get Reports","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","failed","Wed May 28 00:09:34 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","35","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","passed","Wed May 28 00:09:19 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","33","Change password - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","failed","Wed May 28 00:09:18 GMT 2025","v1 > Profile > Password","Bank User","",""
"","71","Fetch Customer By ID","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:22 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","31","Update role status - role does not exist","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","failed","Wed May 28 00:09:34 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","29","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Wed May 28 00:09:24 GMT 2025","passed","Wed May 28 00:09:24 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","31","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","failed","Wed May 28 00:09:20 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","48","Search Customers","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","passed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","28","Get all permissions","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","failed","Wed May 28 00:09:34 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","31","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","failed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","52","Create organization - name already exists","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","passed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","31","Create Report - Empty category","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","32","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","passed","Wed May 28 00:09:20 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","32","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","30","Get role by ID - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","failed","Wed May 28 00:09:34 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","30","Update Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","failed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"Get a paginated list of reports with optional filtering","28","Get Reports Stats","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","failed","Wed May 28 00:09:34 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","69","Get Email or SMS OTP","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","passed","Wed May 28 00:09:18 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","29","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","failed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Delete a report (soft delete)","30","Delete Report","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","33","Update profile - No Auth","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","passed","Wed May 28 00:09:19 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","77","Role does not exist - update role","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","passed","Wed May 28 00:09:32 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","31","Create  organization - without parent id","QA|Nova Bank - Infopool","Wed May 28 00:09:32 GMT 2025","failed","Wed May 28 00:09:32 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","31","Create Report","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","30","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","failed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a paginated list of reports with optional filtering","28","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Wed May 28 00:09:34 GMT 2025","failed","Wed May 28 00:09:34 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","83","audit trail","QA|Nova Bank - Infopool","Wed May 28 00:09:19 GMT 2025","passed","Wed May 28 00:09:19 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","157","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","failed","Wed May 28 00:09:20 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","39","get user role","QA|Nova Bank - Infopool","Wed May 28 00:09:31 GMT 2025","passed","Wed May 28 00:09:31 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","29","Export Report Data - Invalid format","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","54","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","30","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","3102","No Auth - Update definition","QA|Nova Bank - Infopool","Wed May 28 00:09:28 GMT 2025","passed","Wed May 28 00:09:31 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","88","No auth - Create a New Issue","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","passed","Wed May 28 00:09:20 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","38","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Wed May 28 00:09:18 GMT 2025","passed","Wed May 28 00:09:18 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get a specific report by ID","29","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","6798","Successful login","QA|Nova Bank - Infopool","Wed May 28 00:09:10 GMT 2025","passed","Wed May 28 00:09:17 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","33","No Auth - Get all Issues","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","passed","Wed May 28 00:09:20 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","31","Get all Issues","QA|Nova Bank - Infopool","Wed May 28 00:09:20 GMT 2025","failed","Wed May 28 00:09:20 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","29","Fetch Customer Comments","QA|Nova Bank - Infopool","Wed May 28 00:09:21 GMT 2025","failed","Wed May 28 00:09:21 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","51","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","30","Remove user from an organization - successful","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","failed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Create a new report","32","Create Report - Duplicate name","QA|Nova Bank - Infopool","Wed May 28 00:09:35 GMT 2025","failed","Wed May 28 00:09:35 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","27","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Wed May 28 00:09:33 GMT 2025","passed","Wed May 28 00:09:33 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
