"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new report","39","Create Report - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","40","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","40","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","40","Create organization - empty mis code","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","38","Empty fields - Update definition","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","40","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","38","No Auth - Update definition","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","40","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","passed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","39","Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","41","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","41","Create organization - no name","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a specific report by ID","39","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","39","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:35 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","41","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","passed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","41","Empty current password - Change password","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"","39","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","41","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","38","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","39","Update definition","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Update an existing report","42","Update Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","38","Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","40","Update profile - no auth","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","passed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","39","Fetch Customer Comments","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","38","No Auth - Get all permissions","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","62","Get events - invalid start date","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","43","No Auth - Update Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","passed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","39","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","36","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Update an existing report","38","Update Report - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","37","Logout session - no session","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Logout","Bank Admin","",""
"","39","No Auth - Get all definitions","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","40","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","3116","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Tue May 27 14:03:35 GMT 2025","failed","Tue May 27 14:03:38 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","37","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","42","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","failed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","39","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"Get a paginated list of reports with optional filtering","40","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","passed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","39","Logout session successfully","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Logout","Bank Admin","",""
"","38","No Auth - Fetch all users","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","passed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get a paginated list of reports with optional filtering","40","Get Reports Stats","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","48","Send user invitation token - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","passed","Tue May 27 14:03:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","39","Create roles - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","40","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 14:03:30 GMT 2025","passed","Tue May 27 14:03:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","41","Change password - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","failed","Tue May 27 14:03:28 GMT 2025","v1 > Profile > Password","Bank User","",""
"","40","Remove user from an organization - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","38","Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","41","Update role status - role does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","39","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","38","Invalid name - Search Customers","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","40","Get profile - No Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","passed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"Get a specific report by ID","38","Get Report by ID","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","41","Role does not exist - update role","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","42","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","42","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","49","Get permission by ID - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","38","No auth - get user role","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","passed","Tue May 27 14:03:34 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"Create a new report","42","Create Report - Empty category","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","6205","Invalid email format","QA|Nova Bank - Infopool","Tue May 27 14:03:21 GMT 2025","passed","Tue May 27 14:03:27 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","510","Successful login","QA|Nova Bank - Infopool","Tue May 27 14:03:21 GMT 2025","passed","Tue May 27 14:03:21 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","39","get all category","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","40","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","38","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","39","Get events - no auth","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","passed","Tue May 27 14:03:29 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","42","category by id","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","41","Invalid current password - Change password","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"","58","Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","40","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","42","Update Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","39","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","40","Update user - empty action field","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","39","Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","42","Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","41","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 14:03:30 GMT 2025","passed","Tue May 27 14:03:30 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","41","Update user - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","44","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","passed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","41","Create roles - Existing role","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","41","Add user to an organization - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","failed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","39","Get Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","passed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","38","Create  organization - without parent id","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","Get profile - successfully","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","39","Fetch Customer By ID","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","failed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","106","No auth - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 14:03:30 GMT 2025","passed","Tue May 27 14:03:30 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","39","Get permission by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","passed","Tue May 27 14:03:42 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","46","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","40","Get role by ID - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:42 GMT 2025","failed","Tue May 27 14:03:42 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"Get a specific report by ID","38","Get Report by UUID","QA|Nova Bank - Infopool","Tue May 27 14:03:43 GMT 2025","failed","Tue May 27 14:03:43 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","40","Create organization - no country ID","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","59","Delete Report - Invalid id","QA|Nova Bank - Infopool","Tue May 27 14:03:44 GMT 2025","failed","Tue May 27 14:03:44 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","41","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 14:03:33 GMT 2025","failed","Tue May 27 14:03:33 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","38","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Tue May 27 14:03:32 GMT 2025","passed","Tue May 27 14:03:32 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","40","Empty new password - Change password","QA|Nova Bank - Infopool","Tue May 27 14:03:29 GMT 2025","failed","Tue May 27 14:03:29 GMT 2025","v1 > Profile > Password","Bank User","",""
"","38","Create organization - empty street value","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","update role","QA|Nova Bank - Infopool","Tue May 27 14:03:34 GMT 2025","failed","Tue May 27 14:03:34 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","52","Get profile roles - successful","QA|Nova Bank - Infopool","Tue May 27 14:03:28 GMT 2025","passed","Tue May 27 14:03:28 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","37","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 14:03:41 GMT 2025","passed","Tue May 27 14:03:41 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","39","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Tue May 27 14:03:31 GMT 2025","failed","Tue May 27 14:03:31 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
