"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","89","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","Update user - invalid action","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","failed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","94","Get all definitions","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","passed","Tue May 27 23:42:14 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","82","Add user to an organization - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","159","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","failed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","79","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","passed","Tue May 27 23:42:14 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","88","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a specific report by ID","80","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","passed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Create a new report","83","Create Report","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","failed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","81","Update profile - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","passed","Tue May 27 23:41:58 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","80","No Auth - Get all permissions","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","passed","Tue May 27 23:42:27 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","82","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","passed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","81","Get events - no auth","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","passed","Tue May 27 23:41:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","79","No Auth - Update definition","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","171","Invalid credentials","QA|Nova Bank - Infopool","Tue May 27 23:41:49 GMT 2025","passed","Tue May 27 23:41:49 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","Remove user from an organization - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","failed","Tue May 27 23:42:26 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","80","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","failed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","86","No email - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 23:41:55 GMT 2025","passed","Tue May 27 23:41:55 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","104","Update user - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","passed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","80","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","failed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","79","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","83","Get profile - user not logged in","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","passed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","81","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","failed","Tue May 27 23:42:27 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","80","No Auth - Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","passed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","93","Fetch all users","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","83","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","82","Invalid current password - Change password","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","failed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Password","Bank User","",""
"","80","No auth - Create  organization","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","passed","Tue May 27 23:42:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","84","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","6216","Invalid email format","QA|Nova Bank - Infopool","Tue May 27 23:41:49 GMT 2025","passed","Tue May 27 23:41:55 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","82","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","79","Fetch Customers Channels","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","failed","Tue May 27 23:42:14 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","81","Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","82","Create roles - Existing role","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","failed","Tue May 27 23:42:26 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","80","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","passed","Tue May 27 23:42:14 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","85","Add Comment to Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","failed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","80","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue May 27 23:42:13 GMT 2025","passed","Tue May 27 23:42:13 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","79","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","104","Search Customers","QA|Nova Bank - Infopool","Tue May 27 23:42:10 GMT 2025","passed","Tue May 27 23:42:10 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","82","managers","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","failed","Tue May 27 23:42:26 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","80","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","81","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","117","Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","81","Create organization - empty city value","QA|Nova Bank - Infopool","Tue May 27 23:42:23 GMT 2025","failed","Tue May 27 23:42:23 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","90","Get single definition","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","passed","Tue May 27 23:42:14 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","79","No auth - get all category","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","passed","Tue May 27 23:42:28 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","8","New Request","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","broken","Tue May 27 23:42:15 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","95","Get permission by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","failed","Tue May 27 23:42:27 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","81","Create roles - empty name field","QA|Nova Bank - Infopool","Tue May 27 23:42:26 GMT 2025","failed","Tue May 27 23:42:26 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","79","No Auth - Fetch Customers Accounts","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","passed","Tue May 27 23:42:14 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","82","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:42:00 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","78","Get permission by ID - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:27 GMT 2025","passed","Tue May 27 23:42:27 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","81","Get Report Data - Question","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","failed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","83","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Tue May 27 23:41:56 GMT 2025","passed","Tue May 27 23:41:56 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","83","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","failed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","93","Fetch user by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","81","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Tue May 27 23:42:11 GMT 2025","failed","Tue May 27 23:42:11 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Get a specific report by ID","81","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","failed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","195","audit trail","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","81","Update user - no auth","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","135","update role","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","passed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","78","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Tue May 27 23:42:02 GMT 2025","passed","Tue May 27 23:42:02 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","78","Get profile - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","passed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","80","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Tue May 27 23:42:25 GMT 2025","passed","Tue May 27 23:42:25 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","128","verifyOTP","QA|Nova Bank - Infopool","Tue May 27 23:41:55 GMT 2025","passed","Tue May 27 23:41:55 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","86","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Tue May 27 23:41:55 GMT 2025","passed","Tue May 27 23:41:55 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","83","Get profile roles - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:41:57 GMT 2025","passed","Tue May 27 23:41:57 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","105","Create  organization","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","failed","Tue May 27 23:42:16 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","77","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Tue May 27 23:42:15 GMT 2025","passed","Tue May 27 23:42:15 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","102","Role does not exist - update role","QA|Nova Bank - Infopool","Tue May 27 23:42:16 GMT 2025","passed","Tue May 27 23:42:16 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","79","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","passed","Tue May 27 23:42:28 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","81","Get Report Data - No auth","QA|Nova Bank - Infopool","Tue May 27 23:42:30 GMT 2025","passed","Tue May 27 23:42:30 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Get a paginated list of reports with optional filtering","83","Get Reports","QA|Nova Bank - Infopool","Tue May 27 23:42:28 GMT 2025","failed","Tue May 27 23:42:28 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","84","Update organization details by ID - successful","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","81","Get events - invalid end date","QA|Nova Bank - Infopool","Tue May 27 23:41:58 GMT 2025","failed","Tue May 27 23:41:58 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","82","Fetch all organizations","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","2585","Fetch Customers Transactions","QA|Nova Bank - Infopool","Tue May 27 23:42:11 GMT 2025","passed","Tue May 27 23:42:13 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","79","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","failed","Tue May 27 23:42:14 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","84","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","83","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Tue May 27 23:41:59 GMT 2025","passed","Tue May 27 23:41:59 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","82","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Tue May 27 23:42:24 GMT 2025","failed","Tue May 27 23:42:24 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","78","Health","QA|Nova Bank - Infopool","Tue May 27 23:42:14 GMT 2025","failed","Tue May 27 23:42:14 GMT 2025","v1 > Health","Bank Admin","",""
"Get a specific report by ID","80","Get Report by ID","QA|Nova Bank - Infopool","Tue May 27 23:42:29 GMT 2025","failed","Tue May 27 23:42:29 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","81","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Tue May 27 23:42:01 GMT 2025","failed","Tue May 27 23:42:01 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
