"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get a paginated list of reports with optional filtering","27","Get Report Objects - Question","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","199","Invalid current password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:53:01 GMT 2025","passed","Sat Jun 07 22:53:01 GMT 2025","v1 > Profile > Password","Bank User","",""
"","29","Update role status","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","27","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","60","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:53:04 GMT 2025","passed","Sat Jun 07 22:53:04 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","28","Get roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","27","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","26","Update role status - role does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","27","Create organization - no country ID","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","40","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sat Jun 07 22:52:59 GMT 2025","passed","Sat Jun 07 22:52:59 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","42","Empty new password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:53:02 GMT 2025","passed","Sat Jun 07 22:53:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","28","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","168","Invalid credentials","QA|Nova Bank - Infopool","Sat Jun 07 22:52:53 GMT 2025","passed","Sat Jun 07 22:52:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","31","Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","failed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Update an existing report","27","Update Report - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","25","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","424","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:53:05 GMT 2025","failed","Sat Jun 07 22:53:05 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","27","Update user - empty action field","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","129","Get events - invalid start date","QA|Nova Bank - Infopool","Sat Jun 07 22:53:03 GMT 2025","passed","Sat Jun 07 22:53:03 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","69","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","passed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","30","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:53:05 GMT 2025","passed","Sat Jun 07 22:53:05 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","33","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:53:04 GMT 2025","passed","Sat Jun 07 22:53:04 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","26","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","27","No auth - get all category","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","26","Remove user from an organization - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","6201","Invalid email format","QA|Nova Bank - Infopool","Sat Jun 07 22:52:53 GMT 2025","passed","Sat Jun 07 22:52:59 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Get a paginated list of reports with optional filtering","26","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","29","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","27","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","33","Get all Issues","QA|Nova Bank - Infopool","Sat Jun 07 22:53:05 GMT 2025","failed","Sat Jun 07 22:53:05 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","27","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","26","get user role","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","25","No auth - category by id","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","32","Update Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","failed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","26","Logout session - no session","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Logout","Bank Admin","",""
"","26","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","","corporate Adjustment","",""
"","56","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","failed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","26","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","27","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","757","Successful login","QA|Nova Bank - Infopool","Sat Jun 07 22:52:52 GMT 2025","passed","Sat Jun 07 22:52:53 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","32","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","passed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","761","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sat Jun 07 22:53:13 GMT 2025","passed","Sat Jun 07 22:53:14 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","42","No user credentials","QA|Nova Bank - Infopool","Sat Jun 07 22:52:59 GMT 2025","passed","Sat Jun 07 22:52:59 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","81","Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:53:07 GMT 2025","passed","Sat Jun 07 22:53:07 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","29","No Auth - Update definition","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","111","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sat Jun 07 22:53:16 GMT 2025","passed","Sat Jun 07 22:53:17 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","51","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:53:00 GMT 2025","passed","Sat Jun 07 22:53:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","46","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","passed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","81","verifyOTP","QA|Nova Bank - Infopool","Sat Jun 07 22:52:59 GMT 2025","passed","Sat Jun 07 22:52:59 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","27","Update user - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","253","audit-search","QA|Nova Bank - Infopool","Sat Jun 07 22:53:03 GMT 2025","passed","Sat Jun 07 22:53:04 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","32","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:53:05 GMT 2025","failed","Sat Jun 07 22:53:05 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","414","Change password - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:53:01 GMT 2025","passed","Sat Jun 07 22:53:01 GMT 2025","v1 > Profile > Password","Bank User","",""
"Create a new report","26","Create Report - Empty category","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","33","Create  organization","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","37","Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:53:05 GMT 2025","failed","Sat Jun 07 22:53:05 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","31","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","26","Get all permissions","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","317","Weak password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:53:01 GMT 2025","passed","Sat Jun 07 22:53:02 GMT 2025","v1 > Profile > Password","Bank User","",""
"","27","No Auth - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:53:07 GMT 2025","passed","Sat Jun 07 22:53:07 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","27","Create organization - empty city value","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Delete a report (soft delete)","26","Delete Report - Invalid id","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","26","update role","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","28","Update user - invalid action","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Create a new report","26","Create Report - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","29","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","failed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","67","verify OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:53:00 GMT 2025","passed","Sat Jun 07 22:53:00 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"Update an existing report","26","Update Report - Invalid id","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","26","No auth - managers","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"Get a specific report by ID","25","Get Report by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","181","Get events - invalid end date","QA|Nova Bank - Infopool","Sat Jun 07 22:53:03 GMT 2025","passed","Sat Jun 07 22:53:03 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","28","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","26","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","64","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sat Jun 07 22:53:03 GMT 2025","passed","Sat Jun 07 22:53:03 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","29","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","51","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:53:04 GMT 2025","passed","Sat Jun 07 22:53:04 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","46","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat Jun 07 22:53:16 GMT 2025","passed","Sat Jun 07 22:53:16 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","26","Health","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Health","Bank Admin","",""
"","32","audit trail - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:53:03 GMT 2025","passed","Sat Jun 07 22:53:03 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"Create a new report","26","Create Report","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","25","Get permission by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","58","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Sat Jun 07 22:52:59 GMT 2025","passed","Sat Jun 07 22:53:00 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","116","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:53:00 GMT 2025","passed","Sat Jun 07 22:53:00 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","57","Get events - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:53:03 GMT 2025","passed","Sat Jun 07 22:53:03 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","62","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:53:05 GMT 2025","passed","Sat Jun 07 22:53:05 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","30","Export Report Data","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","failed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","27","Role does not exist - update role","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","27","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","26","No Auth - Get all permissions","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","92","Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","passed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","29","Get roles - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","59","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:53:04 GMT 2025","passed","Sat Jun 07 22:53:04 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","28","Get Report Data - No auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","30","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","passed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","64","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","failed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","164","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:53:04 GMT 2025","passed","Sat Jun 07 22:53:05 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","26","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","29","successful dashboard embed","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:17 GMT 2025","embed dashboard","Bank User","",""
"","28","Create organization - name already exists","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","60","No email - Forgot Password","QA|Nova Bank - Infopool","Sat Jun 07 22:52:59 GMT 2025","passed","Sat Jun 07 22:52:59 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","34","Get profile - user not logged in","QA|Nova Bank - Infopool","Sat Jun 07 22:53:02 GMT 2025","passed","Sat Jun 07 22:53:02 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","398","reset password","QA|Nova Bank - Infopool","Sat Jun 07 22:53:00 GMT 2025","passed","Sat Jun 07 22:53:00 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","3131","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:53:10 GMT 2025","passed","Sat Jun 07 22:53:13 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"Get a paginated list of reports with optional filtering","27","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","78","Update profile - no phone number","QA|Nova Bank - Infopool","Sat Jun 07 22:53:02 GMT 2025","passed","Sat Jun 07 22:53:02 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","26","Get Reports Stats","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","26","Create organization - empty street value","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","failed","Sat Jun 07 22:53:06 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","30","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:53:06 GMT 2025","failed","Sat Jun 07 22:53:07 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","26","Create organization - empty mis code","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 22:54:19 GMT 2025","passed","Sat Jun 07 22:54:19 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","29","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","34","Update profile - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:53:02 GMT 2025","passed","Sat Jun 07 22:53:02 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","25","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Sat Jun 07 22:54:18 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","25","No auth - update role","QA|Nova Bank - Infopool","Sat Jun 07 22:54:17 GMT 2025","passed","Sat Jun 07 22:54:18 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","132","Get events - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:53:03 GMT 2025","passed","Sat Jun 07 22:53:03 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get a paginated list of reports with optional filtering","28","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Get a specific report by ID","32","Get Report by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:54:20 GMT 2025","passed","Sat Jun 07 22:54:20 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
