"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","36","Get role by ID - no auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","116","Get events - invalid start date","QA|Nova Bank - Infopool","Fri Jun 13 18:57:37 GMT 2025","passed","Fri Jun 13 18:57:38 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","34","Get permission by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","31","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","33","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","31","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","36","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Fri Jun 13 18:57:38 GMT 2025","passed","Fri Jun 13 18:57:38 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","35","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","failed","Fri Jun 13 18:57:50 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","29","Update definition","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","39","Get profile roles - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:36 GMT 2025","passed","Fri Jun 13 18:57:36 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","30","successful dashboard embed","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","embed dashboard","Bank User","",""
"","42","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","44","Update profile - Invalid file size","QA|Nova Bank - Infopool","Fri Jun 13 18:57:37 GMT 2025","passed","Fri Jun 13 18:57:37 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","286","Get Report Data - Question","QA|Nova Bank - Infopool","Fri Jun 13 18:57:52 GMT 2025","failed","Fri Jun 13 18:57:52 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","123","Invalid current password - Change password","QA|Nova Bank - Infopool","Fri Jun 13 18:57:36 GMT 2025","passed","Fri Jun 13 18:57:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"","36","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Fri Jun 13 18:57:36 GMT 2025","passed","Fri Jun 13 18:57:36 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","31","Get roles - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","36","Update profile - no auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:37 GMT 2025","passed","Fri Jun 13 18:57:37 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","32","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","29","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","32","Create organization - no name","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","38","audit trail - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:38 GMT 2025","passed","Fri Jun 13 18:57:38 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","49","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Jun 13 18:57:36 GMT 2025","passed","Fri Jun 13 18:57:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"Update an existing report","100","Update Report","QA|Nova Bank - Infopool","Fri Jun 13 18:57:52 GMT 2025","passed","Fri Jun 13 18:57:52 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","36","Update profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:37 GMT 2025","passed","Fri Jun 13 18:57:37 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","31","Create roles - No auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","33","Update user - invalid action","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","34","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 13 18:57:39 GMT 2025","passed","Fri Jun 13 18:57:39 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","31","Update role status","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","30","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","31","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Fri Jun 13 18:57:39 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","218","Change password - successful","QA|Nova Bank - Infopool","Fri Jun 13 18:57:36 GMT 2025","passed","Fri Jun 13 18:57:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"","253","audit-search","QA|Nova Bank - Infopool","Fri Jun 13 18:57:38 GMT 2025","passed","Fri Jun 13 18:57:38 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","29","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get a specific report by ID","33","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:51 GMT 2025","passed","Fri Jun 13 18:57:51 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","113","Get events - invalid end date","QA|Nova Bank - Infopool","Fri Jun 13 18:57:38 GMT 2025","passed","Fri Jun 13 18:57:38 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","31","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","97","resend_invitation_toUser","QA|Nova Bank - Infopool","Fri Jun 13 18:57:38 GMT 2025","passed","Fri Jun 13 18:57:38 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","381","Create a New Issue","QA|Nova Bank - Infopool","Fri Jun 13 18:57:39 GMT 2025","passed","Fri Jun 13 18:57:39 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","31","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","Update organization details by ID - successful","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","30","Search Customers","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","31","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","30","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","31","No auth - update role","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get a paginated list of reports with optional filtering","483","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:51 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","47","Empty new password - Change password","QA|Nova Bank - Infopool","Fri Jun 13 18:57:36 GMT 2025","passed","Fri Jun 13 18:57:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"","33","Update user - empty action field","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Delete a report (soft delete)","64","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri Jun 13 18:57:52 GMT 2025","passed","Fri Jun 13 18:57:52 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","36","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","6186","No auth - get user role","QA|Nova Bank - Infopool","Fri Jun 13 18:57:42 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","36","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:54 GMT 2025","passed","Fri Jun 13 18:57:54 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","43","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","34","Create  organization","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","253","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri Jun 13 18:57:51 GMT 2025","passed","Fri Jun 13 18:57:51 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","30","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","41","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","32","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","34","Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 13 18:57:39 GMT 2025","passed","Fri Jun 13 18:57:39 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","73","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","48","Update profile - no phone number","QA|Nova Bank - Infopool","Fri Jun 13 18:57:37 GMT 2025","passed","Fri Jun 13 18:57:37 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","32","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","53","Get all permissions","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","1667","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri Jun 13 18:57:52 GMT 2025","passed","Fri Jun 13 18:57:54 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","31","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","45","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","35","Create organization - empty description","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","31","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","32","Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","36","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 13 18:57:38 GMT 2025","passed","Fri Jun 13 18:57:39 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","33","Update user - successful","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a specific report by ID","47","Get Report by UUID","QA|Nova Bank - Infopool","Fri Jun 13 18:57:51 GMT 2025","failed","Fri Jun 13 18:57:51 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","32","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","31","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","78","search Corporate Adjustment","QA|Nova Bank - Infopool","Fri Jun 13 18:57:54 GMT 2025","passed","Fri Jun 13 18:57:55 GMT 2025","","corporate Adjustment","",""
"","32","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","35","No Auth - Get all permissions","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","31","No_auth_add_comments","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","31","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","29","Health","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Health","Bank Admin","",""
"","34","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Jun 13 18:57:39 GMT 2025","passed","Fri Jun 13 18:57:39 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","32","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","36","No Auth - Change password","QA|Nova Bank - Infopool","Fri Jun 13 18:57:36 GMT 2025","passed","Fri Jun 13 18:57:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","39","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","36","Get events - no auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:37 GMT 2025","passed","Fri Jun 13 18:57:37 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","32","Delete Customer Comment","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"Get a paginated list of reports with optional filtering","119","Get Reports - filter by invalid category Id","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","30","Get all definitions","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","32","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","40","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","30","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","37","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Fri Jun 13 18:57:38 GMT 2025","passed","Fri Jun 13 18:57:38 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Create a new report","35","Create Report - No auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:52 GMT 2025","passed","Fri Jun 13 18:57:52 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","32","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","32","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","69","verify OTP","QA|Nova Bank - Infopool","Fri Jun 13 18:57:35 GMT 2025","passed","Fri Jun 13 18:57:36 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","30","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","30","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","31","get user role","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:42 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","31","Fetch Customers Accounts","QA|Nova Bank - Infopool","Fri Jun 13 18:57:41 GMT 2025","passed","Fri Jun 13 18:57:41 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","46","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:37 GMT 2025","passed","Fri Jun 13 18:57:37 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","33","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","33","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Jun 13 18:57:40 GMT 2025","passed","Fri Jun 13 18:57:40 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","86","audit trail","QA|Nova Bank - Infopool","Fri Jun 13 18:57:38 GMT 2025","passed","Fri Jun 13 18:57:38 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","6198","Invalid email format","QA|Nova Bank - Infopool","Fri Jun 13 18:57:28 GMT 2025","passed","Fri Jun 13 18:57:34 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","32","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","34","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"Create a new report","48","Create Report - Duplicate name","QA|Nova Bank - Infopool","Fri Jun 13 18:57:52 GMT 2025","passed","Fri Jun 13 18:57:52 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Delete a report (soft delete)","35","Delete Report","QA|Nova Bank - Infopool","Fri Jun 13 18:57:52 GMT 2025","failed","Fri Jun 13 18:57:52 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","52","Logout session successfully","QA|Nova Bank - Infopool","Fri Jun 13 18:57:50 GMT 2025","passed","Fri Jun 13 18:57:50 GMT 2025","v1 > Logout","Bank Admin","",""
"","227","Get profile - successfully","QA|Nova Bank - Infopool","Fri Jun 13 18:57:36 GMT 2025","passed","Fri Jun 13 18:57:37 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","32","No auth - Create  organization","QA|Nova Bank - Infopool","Fri Jun 13 18:57:48 GMT 2025","passed","Fri Jun 13 18:57:48 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","30","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Jun 13 18:57:49 GMT 2025","passed","Fri Jun 13 18:57:49 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
