"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","Weak password - Change password","QA|Nova Bank - Infopool","Fri Dec 19 19:00:07 UTC 2025","broken","Fri Dec 19 19:00:07 UTC 2025","v1 > Profile > Password","Bank User","",""
"","67","Update definition","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"Delete a report (soft delete)","64","Delete Report - Invalid id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","67","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Dec 19 19:00:08 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","63","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:17 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","124","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Dec 19 19:00:06 UTC 2025","broken","Fri Dec 19 19:00:06 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"Delete a report (soft delete)","64","Delete Report","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","72","Fetch all organizations","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:15 UTC 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","101","No auth - Create a New Issue","QA|Nova Bank - Infopool","Fri Dec 19 19:00:09 UTC 2025","broken","Fri Dec 19 19:00:09 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","62","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Fri Dec 19 19:00:16 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","66","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","61","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","64","duplicate corporate Adjustment","QA|Nova Bank - Infopool","Fri Dec 19 19:00:21 UTC 2025","broken","Fri Dec 19 19:00:21 UTC 2025","","corporate Adjustment","",""
"","64","Get profile - No Auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:08 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","64","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Dec 19 19:00:16 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","82","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Dec 19 19:00:06 UTC 2025","broken","Fri Dec 19 19:00:06 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","66","category by id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:18 UTC 2025","broken","Fri Dec 19 19:00:18 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","61","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:16 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Create a new report","65","Create Report - No auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","60","No auth - update role","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","66","Create organization - no name","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:15 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","63","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:09 UTC 2025","broken","Fri Dec 19 19:00:09 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","58","audit-search","QA|Nova Bank - Infopool","Fri Dec 19 19:00:09 UTC 2025","broken","Fri Dec 19 19:00:09 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","79","Export Report Data","QA|Nova Bank - Infopool","Fri Dec 19 19:00:21 UTC 2025","broken","Fri Dec 19 19:00:21 UTC 2025","v1 > Report > Export Report Data","Bank Admin","",""
"","73","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:15 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","72","Forgot password - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:05 UTC 2025","broken","Fri Dec 19 19:00:06 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","71","Update user - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Update user","Bank Admin","",""
"","65","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Dec 19 19:00:18 UTC 2025","broken","Fri Dec 19 19:00:18 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","65","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Dec 19 19:00:12 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","65","Get single definition","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","73","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","64","Get profile - user not logged in","QA|Nova Bank - Infopool","Fri Dec 19 19:00:08 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","61","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Fri Dec 19 19:00:12 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","67","successfully create corporate_adjustment","QA|Nova Bank - Infopool","Fri Dec 19 19:00:21 UTC 2025","broken","Fri Dec 19 19:00:21 UTC 2025","","corporate Adjustment","",""
"","63","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:12 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","60","Create roles - empty name field","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:18 UTC 2025","v1 > Roles > Create role","Bank Admin","",""
"","62","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","65","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Dec 19 19:00:12 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get a specific report by ID","61","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:19 UTC 2025","broken","Fri Dec 19 19:00:19 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","61","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","63","No Auth - Get all definitions","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","64","Remove user from an organization - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:17 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","65","Invalid name - Search Customers","QA|Nova Bank - Infopool","Fri Dec 19 19:00:12 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","61","No Auth - Update Issue","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","61","No Auth - Search Customers","QA|Nova Bank - Infopool","Fri Dec 19 19:00:11 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","61","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Dec 19 19:00:11 UTC 2025","broken","Fri Dec 19 19:00:11 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","79","Get profile roles - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:07 UTC 2025","broken","Fri Dec 19 19:00:07 UTC 2025","v1 > Profile > Roles","Bank User","",""
"","63","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","66","Empty current password - Change password","QA|Nova Bank - Infopool","Fri Dec 19 19:00:07 UTC 2025","broken","Fri Dec 19 19:00:07 UTC 2025","v1 > Profile > Password","Bank User","",""
"","63","Fetch user by ID - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","64","Update Customer Comment","QA|Nova Bank - Infopool","Fri Dec 19 19:00:11 UTC 2025","broken","Fri Dec 19 19:00:11 UTC 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","64","Get all Issues","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","65","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Fri Dec 19 19:00:11 UTC 2025","broken","Fri Dec 19 19:00:11 UTC 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","61","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","83","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Dec 19 19:00:06 UTC 2025","broken","Fri Dec 19 19:00:06 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","64","Add attachment to issue","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","64","Add user to an organization - no auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:17 UTC 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","66","No auth - category by id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:18 UTC 2025","broken","Fri Dec 19 19:00:19 UTC 2025","v1 > Notifications > Category > Fetch category by d","Bank Admin","",""
"","62","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","64","Create organization - empty description","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:15 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","65","Get profile - successfully","QA|Nova Bank - Infopool","Fri Dec 19 19:00:07 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Profile > Get profile","Bank User","",""
"","75","Get permission by ID - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:18 UTC 2025","broken","Fri Dec 19 19:00:18 UTC 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","66","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Fri Dec 19 19:00:12 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","65","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Fri Dec 19 19:00:12 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","63","Get Report Data - No auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:21 UTC 2025","broken","Fri Dec 19 19:00:21 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","66","Search Customers","QA|Nova Bank - Infopool","Fri Dec 19 19:00:11 UTC 2025","broken","Fri Dec 19 19:00:11 UTC 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","65","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:17 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","70","Create_issue_without_attachment","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","63","Update profile - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:08 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"Get a paginated list of reports with optional filtering","60","Get Report Objects - Dashboard","QA|Nova Bank - Infopool","Fri Dec 19 19:00:19 UTC 2025","broken","Fri Dec 19 19:00:19 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","66","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"Update an existing report","61","Update Report - Invalid id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Update Report","Bank Admin","",""
"","66","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:16 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","63","Health","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Health","Bank Admin","",""
"","81","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Fri Dec 19 19:00:06 UTC 2025","broken","Fri Dec 19 19:00:06 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","65","Update profile","QA|Nova Bank - Infopool","Fri Dec 19 19:00:08 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Profile > update profile image","Bank User","",""
"","61","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Fri Dec 19 19:00:16 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","85","verify OTP","QA|Nova Bank - Infopool","Fri Dec 19 19:00:07 UTC 2025","broken","Fri Dec 19 19:00:07 UTC 2025","v1 > Auth > MFA > Verify","Bank User","",""
"Get a specific report by ID","61","Get Report by ID - No auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:19 UTC 2025","broken","Fri Dec 19 19:00:19 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","64","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:17 UTC 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","60","No Auth - Fetch all users","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","66","Create organization - empty city value","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:15 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","67","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:16 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","95","Change password - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:07 UTC 2025","broken","Fri Dec 19 19:00:07 UTC 2025","v1 > Profile > Password","Bank User","",""
"","62","Fetch all users","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"Get a specific report by ID","67","Get Report by UUID - Invalid uuid","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","59","Update organization details by ID - organisation type id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:16 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","158","verifyOTP","QA|Nova Bank - Infopool","Fri Dec 19 19:00:05 UTC 2025","broken","Fri Dec 19 19:00:05 UTC 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","65","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","97","Get Issue by ID","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","66","Get Report Data - Dashboard","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Get Report Data","Bank Admin","",""
"","66","Get events - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:08 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"Create a new report","65","Create Report - Empty category","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"","66","Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","68","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Fri Dec 19 19:00:09 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","60","No auth - get all category","QA|Nova Bank - Infopool","Fri Dec 19 19:00:18 UTC 2025","broken","Fri Dec 19 19:00:18 UTC 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","61","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:16 UTC 2025","broken","Fri Dec 19 19:00:16 UTC 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","60","Update role status - role does not exist","QA|Nova Bank - Infopool","Fri Dec 19 19:00:18 UTC 2025","broken","Fri Dec 19 19:00:18 UTC 2025","v1 > Roles > Update role","Bank Admin","",""
"","60","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:12 UTC 2025","broken","Fri Dec 19 19:00:12 UTC 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","65","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","68","Update Issue","QA|Nova Bank - Infopool","Fri Dec 19 19:00:10 UTC 2025","broken","Fri Dec 19 19:00:10 UTC 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","60","Get role by ID - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:18 UTC 2025","broken","Fri Dec 19 19:00:18 UTC 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","66","audit trail","QA|Nova Bank - Infopool","Fri Dec 19 19:00:09 UTC 2025","broken","Fri Dec 19 19:00:09 UTC 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","64","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Fri Dec 19 19:00:11 UTC 2025","broken","Fri Dec 19 19:00:11 UTC 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","77","Create  organization - without parent id","QA|Nova Bank - Infopool","Fri Dec 19 19:00:15 UTC 2025","broken","Fri Dec 19 19:00:15 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","71","Get Email or SMS OTP","QA|Nova Bank - Infopool","Fri Dec 19 19:00:06 UTC 2025","broken","Fri Dec 19 19:00:06 UTC 2025","v1 > Auth > MFA > Request","Bank User","",""
"","65","Remove user from an organization - user ID does not exist","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:17 UTC 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"Get a paginated list of reports with optional filtering","65","Get Reports Stats","QA|Nova Bank - Infopool","Fri Dec 19 19:00:19 UTC 2025","broken","Fri Dec 19 19:00:19 UTC 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","60","Get events - no auth","QA|Nova Bank - Infopool","Fri Dec 19 19:00:08 UTC 2025","broken","Fri Dec 19 19:00:08 UTC 2025","v1 > Audit trail > Event","Bank User","",""
"","65","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Fri Dec 19 19:00:13 UTC 2025","broken","Fri Dec 19 19:00:13 UTC 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"Create a new report","64","Create Report","QA|Nova Bank - Infopool","Fri Dec 19 19:00:20 UTC 2025","broken","Fri Dec 19 19:00:20 UTC 2025","v1 > Report > Create Report","Bank Admin","",""
"Get a paginated list of reports with optional filtering","65","Get Report Objects - Question","QA|Nova Bank - Infopool","Fri Dec 19 19:00:19 UTC 2025","broken","Fri Dec 19 19:00:19 UTC 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","64","Get roles - successful","QA|Nova Bank - Infopool","Fri Dec 19 19:00:17 UTC 2025","broken","Fri Dec 19 19:00:17 UTC 2025","v1 > Roles > Get roles","Bank Admin","",""
"","64","get user role","QA|Nova Bank - Infopool","Fri Dec 19 19:00:14 UTC 2025","broken","Fri Dec 19 19:00:14 UTC 2025","v1 > Users > Role > Get role","Bank Admin","",""
