"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Update user - no auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","73","Update role status","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","23","Create roles - No auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","38","get user role","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","25","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","32","Get role by ID - invalid ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","99","Get events - invalid start date","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","2695","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Apr 06 20:24:40 GMT 2025","passed","Sun Apr 06 20:24:43 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","39","Invalid name - Search Customers","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","26","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:35 GMT 2025","passed","Sun Apr 06 20:24:35 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","33","Logout session successfully","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Logout","Bank Admin","",""
"","27","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","45","Empty current password - Change password","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"","25","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","38","Add Comment to Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","failed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","27","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","38","Get permission by ID - successful","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","failed","Sun Apr 06 20:24:53 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","34","ID does not exist - Get single definition","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","33","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","24","Fetch user by ID - no auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","31","No user credentials","QA|Nova Bank - Infopool","Sun Apr 06 20:24:35 GMT 2025","passed","Sun Apr 06 20:24:35 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","31","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","34","No email - Forgot Password","QA|Nova Bank - Infopool","Sun Apr 06 20:24:35 GMT 2025","passed","Sun Apr 06 20:24:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","41","Fetch Customers Accounts","QA|Nova Bank - Infopool","Sun Apr 06 20:24:46 GMT 2025","passed","Sun Apr 06 20:24:46 GMT 2025","v1 > Customer 360 > Fetch customer accounts","Bank User","",""
"","26","No auth - update role","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","42","Create organization - empty street value","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","41","Create organization - no country ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","No auth - get all category","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Notifications > Category > Fetch all category","Bank Admin","",""
"","36","Get permission by ID - ID does not exist","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","failed","Sun Apr 06 20:24:53 GMT 2025","v1 > Permissions > Get permission by ID","Bank Admin","",""
"","126","Invalid current password - Change password","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","28","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Apr 06 20:24:35 GMT 2025","passed","Sun Apr 06 20:24:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","46","Create roles - empty name field","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","42","Create organization - name already exists","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","47","Update user - invalid action","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","42","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","25","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Sun Apr 06 20:24:40 GMT 2025","passed","Sun Apr 06 20:24:40 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","24","Get profile - No Auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","40","Get all permissions","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","3088","No auth - Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Sun Apr 06 20:24:43 GMT 2025","passed","Sun Apr 06 20:24:46 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","38","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sun Apr 06 20:24:35 GMT 2025","passed","Sun Apr 06 20:24:35 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","59","Add user to an organization - successful","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","62","Fetch Customer By ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","43","Create organization - empty description","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sun Apr 06 20:24:43 GMT 2025","passed","Sun Apr 06 20:24:43 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","27","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","37","Get Issue by ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","failed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","26","No Auth - Get Issue by ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","26","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","25","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","33","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sun Apr 06 20:24:35 GMT 2025","passed","Sun Apr 06 20:24:35 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","86","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sun Apr 06 20:24:43 GMT 2025","failed","Sun Apr 06 20:24:43 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","36","Invalid ID - Get single definition","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","25","Get profile - user not logged in","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","36","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","49","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","1512","Successful login","QA|Nova Bank - Infopool","Sun Apr 06 20:24:27 GMT 2025","passed","Sun Apr 06 20:24:28 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","37","Update Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","failed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","43","Get roles - successful","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:53 GMT 2025","v1 > Roles > Get roles","Bank Admin","",""
"","27","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","59","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","failed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","279","Update profile - successful","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","30","Invalid ID - Update Customer Comment","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","134","Search Customers","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","25","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","36","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","103","Get events - invalid end date","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","52","Update profile - no phone number","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","48","Create organization - no name","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","27","Empty password - Send user invitation token","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","46","Update profile - invalid phone number","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","133","Weak password - Change password","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"","48","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","36","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","28","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","27","No Auth - Change password","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Password","Bank User","",""
"","48","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","26","audit trail - No Auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","26","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","73","Get profile - successfully","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","passed","Sun Apr 06 20:24:36 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","35","Fetch all users in an organization","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","32","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","138","Update organization details by ID - incorrect business manager ID","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","28","Get events - no auth","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","41","Fetch all users","QA|Nova Bank - Infopool","Sun Apr 06 20:24:50 GMT 2025","passed","Sun Apr 06 20:24:50 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","31","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","53","Update profile","QA|Nova Bank - Infopool","Sun Apr 06 20:24:36 GMT 2025","failed","Sun Apr 06 20:24:37 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","27","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","24","Logout session - no session","QA|Nova Bank - Infopool","Sun Apr 06 20:24:53 GMT 2025","passed","Sun Apr 06 20:24:54 GMT 2025","v1 > Logout","Bank Admin","",""
"","26","No auth - get user role","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","37","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","45","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","35","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","25","No auth - Create  organization","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Sun Apr 06 20:24:39 GMT 2025","passed","Sun Apr 06 20:24:39 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","42","Create organization - empty city value","QA|Nova Bank - Infopool","Sun Apr 06 20:24:51 GMT 2025","passed","Sun Apr 06 20:24:51 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","34","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Sun Apr 06 20:24:37 GMT 2025","passed","Sun Apr 06 20:24:37 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","22","Add user to an organization -user ID does not exist","QA|Nova Bank - Infopool","Sun Apr 06 20:24:52 GMT 2025","passed","Sun Apr 06 20:24:52 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","35","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sun Apr 06 20:24:38 GMT 2025","passed","Sun Apr 06 20:24:38 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
