"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100","No Auth - Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:59:12 GMT 2025","passed","Sat Jun 07 22:59:12 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","202","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Sat Jun 07 22:59:32 GMT 2025","passed","Sat Jun 07 22:59:32 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","58","Create organization - no country ID","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","61","Role does not exist - update role","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","62","No Auth - Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat Jun 07 22:59:32 GMT 2025","passed","Sat Jun 07 22:59:32 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","61","Update user - successful","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","58","Get all definitions","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","142","Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:59:27 GMT 2025","passed","Sat Jun 07 22:59:27 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","60","Create organization - name already exists","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","69","Update profile - Invalid file size","QA|Nova Bank - Infopool","Sat Jun 07 22:59:15 GMT 2025","passed","Sat Jun 07 22:59:15 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","125","Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:59:27 GMT 2025","failed","Sat Jun 07 22:59:27 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","64","No email - Forgot Password","QA|Nova Bank - Infopool","Sat Jun 07 22:59:10 GMT 2025","passed","Sat Jun 07 22:59:10 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","360","Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:23 GMT 2025","failed","Sat Jun 07 22:59:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","63","Get events - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:59:15 GMT 2025","passed","Sat Jun 07 22:59:15 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","123","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:59:11 GMT 2025","passed","Sat Jun 07 22:59:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","70","Get profile roles - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:59:12 GMT 2025","passed","Sat Jun 07 22:59:12 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","84","Update Customer Comment Copy","QA|Nova Bank - Infopool","Sat Jun 07 22:59:27 GMT 2025","passed","Sat Jun 07 22:59:27 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","58","No Auth - Fetch all organizations","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","113","Invalid user phone number - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:59:28 GMT 2025","failed","Sat Jun 07 22:59:28 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","79","resend_invitation_toUser","QA|Nova Bank - Infopool","Sat Jun 07 22:59:16 GMT 2025","passed","Sat Jun 07 22:59:17 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","108","verify OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:59:11 GMT 2025","passed","Sat Jun 07 22:59:12 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","72","No auth - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","failed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","63","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:59:17 GMT 2025","passed","Sat Jun 07 22:59:17 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","111","Update profile - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:59:15 GMT 2025","passed","Sat Jun 07 22:59:15 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","121","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Sat Jun 07 22:59:10 GMT 2025","passed","Sat Jun 07 22:59:10 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","58","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 23:00:45 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","65","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:59:11 GMT 2025","passed","Sat Jun 07 22:59:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","6210","Invalid email format","QA|Nova Bank - Infopool","Sat Jun 07 22:59:03 GMT 2025","passed","Sat Jun 07 22:59:09 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","120","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","failed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","60","Get single definition","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","120","No Auth - Get all Issues","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","passed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","122","Fetch Customer By ID no Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:59:28 GMT 2025","passed","Sat Jun 07 22:59:28 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","77","Update profile","QA|Nova Bank - Infopool","Sat Jun 07 22:59:15 GMT 2025","failed","Sat Jun 07 22:59:15 GMT 2025","v1 > Profile > update profile image","Bank User","",""
"","57","Create organization - no name","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","59","Update definition","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","325","Get events - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:59:15 GMT 2025","passed","Sat Jun 07 22:59:15 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","61","Create organization - empty description","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","125","Send user invitation token - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:59:17 GMT 2025","passed","Sat Jun 07 22:59:17 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","56","Fetch organizations by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","3227","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:59:17 GMT 2025","passed","Sat Jun 07 22:59:20 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","58","Fetch organizations by ID - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","58","No Auth - Get all definitions","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","125","Get profile - user not logged in","QA|Nova Bank - Infopool","Sat Jun 07 22:59:14 GMT 2025","passed","Sat Jun 07 22:59:14 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","57","Update user - empty action field","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","63","audit trail - No Auth","QA|Nova Bank - Infopool","Sat Jun 07 22:59:16 GMT 2025","passed","Sat Jun 07 22:59:16 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","61","Update organization details by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","408","Invalid credentials","QA|Nova Bank - Infopool","Sat Jun 07 22:59:03 GMT 2025","passed","Sat Jun 07 22:59:03 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","96","Empty current password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:59:13 GMT 2025","passed","Sat Jun 07 22:59:13 GMT 2025","v1 > Profile > Password","Bank User","",""
"","113","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","failed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","59","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","104","verifyOTP","QA|Nova Bank - Infopool","Sat Jun 07 22:59:09 GMT 2025","passed","Sat Jun 07 22:59:09 GMT 2025","v1 > Auth > Session > verify OTP","Bank User","",""
"","122","Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","failed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","73","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:59:20 GMT 2025","passed","Sat Jun 07 22:59:20 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","108","No Auth - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:59:27 GMT 2025","passed","Sat Jun 07 22:59:27 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","59","Create  organization - without parent id","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","3135","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Sat Jun 07 22:59:20 GMT 2025","passed","Sat Jun 07 22:59:23 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","77","No Auth - Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","failed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","62","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","passed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","131","Invalid ID -Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","passed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","248","No auth - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:24 GMT 2025","passed","Sat Jun 07 22:59:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","112","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:24 GMT 2025","passed","Sat Jun 07 22:59:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","57","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","100","Empty Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:59:11 GMT 2025","passed","Sat Jun 07 22:59:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","60","Fetch user by ID - ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","61","Empty fields - Update definition","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","70","Empty new password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:59:13 GMT 2025","passed","Sat Jun 07 22:59:13 GMT 2025","v1 > Profile > Password","Bank User","",""
"","64","Update Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","failed","Sat Jun 07 22:59:27 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","1001","Successful login","QA|Nova Bank - Infopool","Sat Jun 07 22:59:02 GMT 2025","passed","Sat Jun 07 22:59:03 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","58","Create organization - empty street value","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","57","Create organization - empty mis code","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","808","reset password","QA|Nova Bank - Infopool","Sat Jun 07 22:59:10 GMT 2025","passed","Sat Jun 07 22:59:11 GMT 2025","v1 > Auth > Forgot password > Reset password","Bank User","",""
"","69","Get all Issues","QA|Nova Bank - Infopool","Sat Jun 07 22:59:24 GMT 2025","failed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > get all issues","Bank User","",""
"","56","get user role","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","66","No Auth - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:59:13 GMT 2025","passed","Sat Jun 07 22:59:13 GMT 2025","v1 > Profile > Password","Bank User","",""
"","71","Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","failed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","152","Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:59:27 GMT 2025","passed","Sat Jun 07 22:59:27 GMT 2025","v1 > Customer 360 > Search for a customer > search by name","Bank User","",""
"","758","Change password - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:59:12 GMT 2025","passed","Sat Jun 07 22:59:13 GMT 2025","v1 > Profile > Password","Bank User","",""
"","59","Update organization details by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","104","Get Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:59:11 GMT 2025","passed","Sat Jun 07 22:59:11 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","269","Empty priority - Create a New Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:24 GMT 2025","failed","Sat Jun 07 22:59:24 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","108","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Sat Jun 07 22:59:11 GMT 2025","failed","Sat Jun 07 22:59:11 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"","71","Get profile roles - successful","QA|Nova Bank - Infopool","Sat Jun 07 22:59:12 GMT 2025","passed","Sat Jun 07 22:59:12 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","72","Update profile - no auth","QA|Nova Bank - Infopool","Sat Jun 07 22:59:14 GMT 2025","passed","Sat Jun 07 22:59:14 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","56","Fetch all organizations","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Fetch organization","Bank Admin","",""
"","56","No auth - get user role","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Users > Role > Get role","Bank Admin","",""
"","122","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","failed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","126","Get events - invalid end date","QA|Nova Bank - Infopool","Sat Jun 07 22:59:16 GMT 2025","passed","Sat Jun 07 22:59:16 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","68","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:59:27 GMT 2025","failed","Sat Jun 07 22:59:27 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","59","Update user - invalid action","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","71","No user credentials","QA|Nova Bank - Infopool","Sat Jun 07 22:59:09 GMT 2025","passed","Sat Jun 07 22:59:09 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","58","No auth - Create  organization","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","60","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","80","Add Comment to Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","failed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","57","Create organization - empty city value","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","59","Fetch user by ID - successful","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","123","No auth - managers","QA|Nova Bank - Infopool","Sat Jun 07 23:00:46 GMT 2025","passed","Sat Jun 07 23:00:46 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","60","No Auth - Update definition","QA|Nova Bank - Infopool","Sat Jun 07 23:00:42 GMT 2025","passed","Sat Jun 07 23:00:42 GMT 2025","v1 > Static Definitions > Update definition","Bank Admin","",""
"","73","Delete Attachment from Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","failed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"","73","Get Issue by ID","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","failed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","57","Update organization details by ID - empty name","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","55","Delete organization details by ID - No auth","QA|Nova Bank - Infopool","Sat Jun 07 23:00:45 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","120","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Sat Jun 07 22:59:25 GMT 2025","failed","Sat Jun 07 22:59:25 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","58","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","56","Update user - ID does not exist","QA|Nova Bank - Infopool","Sat Jun 07 23:00:43 GMT 2025","passed","Sat Jun 07 23:00:43 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","59","Remove user from an organization - no auth","QA|Nova Bank - Infopool","Sat Jun 07 23:00:45 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Users > Remove users from an organization","Bank Admin","",""
"","61","No Auth - Search Customers","QA|Nova Bank - Infopool","Sat Jun 07 22:59:27 GMT 2025","passed","Sat Jun 07 22:59:28 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"","404","Invalid current password - Change password","QA|Nova Bank - Infopool","Sat Jun 07 22:59:13 GMT 2025","passed","Sat Jun 07 22:59:13 GMT 2025","v1 > Profile > Password","Bank User","",""
"","62","No auth - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","passed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","135","Invalid ID - Add Comment to Customer","QA|Nova Bank - Infopool","Sat Jun 07 22:59:26 GMT 2025","passed","Sat Jun 07 22:59:26 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","58","Update organization details by ID - name already exists","QA|Nova Bank - Infopool","Sat Jun 07 23:00:44 GMT 2025","passed","Sat Jun 07 23:00:44 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","2666","Fetch Customers Transactions","QA|Nova Bank - Infopool","Sat Jun 07 22:59:29 GMT 2025","passed","Sat Jun 07 22:59:32 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","58","Update organization details by ID - incorrect operation manager ID","QA|Nova Bank - Infopool","Sat Jun 07 23:00:45 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","57","No Auth - Delete Customer Comment","QA|Nova Bank - Infopool","Sat Jun 07 22:59:27 GMT 2025","passed","Sat Jun 07 22:59:27 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","57","Add user to an organization - successful","QA|Nova Bank - Infopool","Sat Jun 07 23:00:45 GMT 2025","passed","Sat Jun 07 23:00:45 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
