"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Logout session successfully","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Logout","Bank Admin","",""
"","6239","Invalid email format","QA|Nova Bank - Infopool","Thu Jun 05 16:57:31 GMT 2025","passed","Thu Jun 05 16:57:37 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"","100","Update profile - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:57:41 GMT 2025","passed","Thu Jun 05 16:57:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","45","Get Issue by ID","QA|Nova Bank - Infopool","Thu Jun 05 16:57:45 GMT 2025","failed","Thu Jun 05 16:57:45 GMT 2025","v1 > Customer 360 > Issues > get issue by Id","Bank User","",""
"","40","Role does not exist - update role","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"Get a specific report by ID","41","Get Report by UUID","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"Verify TOTP or OTP. For OTP, you need to provide either `email` or `phone` as the recipient if you are not logged in.
    Make sure the operation matches the one used to generate the OTP.

    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE
    ","83","Invalid OTP - Verify MFA code, MFA backup code, Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:57:39 GMT 2025","failed","Thu Jun 05 16:57:39 GMT 2025","v1 > Auth > MFA > Verify","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","49","Invalid Auth - Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:57:38 GMT 2025","passed","Thu Jun 05 16:57:39 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","331","Generator Customers Transactions Statement - CSV","QA|Nova Bank - Infopool","Thu Jun 05 16:57:56 GMT 2025","passed","Thu Jun 05 16:57:56 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","139","Get events - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:57:42 GMT 2025","passed","Thu Jun 05 16:57:42 GMT 2025","v1 > Audit trail > Event","Bank User","",""
"","46","Get profile roles - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 16:57:39 GMT 2025","passed","Thu Jun 05 16:57:39 GMT 2025","v1 > Profile > Roles","Bank User","",""
"","56","Empty last name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 16:57:43 GMT 2025","passed","Thu Jun 05 16:57:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","51","Invalid email format - Forgot password","QA|Nova Bank - Infopool","Thu Jun 05 16:57:37 GMT 2025","passed","Thu Jun 05 16:57:37 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","41","No Auth - Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","40","Get Report Data - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Get Report Data","Bank Admin","",""
"Create a new report","38","Create Report - Empty category","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","52","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Thu Jun 05 16:57:52 GMT 2025","passed","Thu Jun 05 16:57:52 GMT 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","155","Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:51 GMT 2025","passed","Thu Jun 05 16:57:51 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"Update an existing report","36","Update Report","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","49","Invalid Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:57:38 GMT 2025","passed","Thu Jun 05 16:57:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","40","Update organization details by ID - parent_id","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Update organization","Bank Admin","",""
"","39","No auth - update role","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Users > Role > Update role","Bank Admin","",""
"","79","resend_invitation_toUser","QA|Nova Bank - Infopool","Thu Jun 05 16:57:43 GMT 2025","passed","Thu Jun 05 16:57:43 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"Get a specific report by ID","40","Get Report by ID - Invalid id","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","43","No Auth - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:51 GMT 2025","passed","Thu Jun 05 16:57:51 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","755","Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:43 GMT 2025","passed","Thu Jun 05 16:57:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","41","No Auth - Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 16:58:56 GMT 2025","passed","Thu Jun 05 16:58:56 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","42","Export Report Data - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Export Report Data","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","47","Empty Channel - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:57:38 GMT 2025","passed","Thu Jun 05 16:57:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","98","Update profile - no auth","QA|Nova Bank - Infopool","Thu Jun 05 16:57:41 GMT 2025","passed","Thu Jun 05 16:57:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","115","Send user invitation token - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:57:43 GMT 2025","passed","Thu Jun 05 16:57:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","49","Invalid Operation - Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:57:38 GMT 2025","passed","Thu Jun 05 16:57:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"","60048","Generator Customers Transactions Statement - PDF","QA|Nova Bank - Infopool","Thu Jun 05 16:57:56 GMT 2025","passed","Thu Jun 05 16:58:56 GMT 2025","v1 > Customer 360 > Generate customers transaction statement","Bank User","",""
"","40","Fetch organizations by ID - non-existing ID","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Fetch organiation by ID","Bank Admin","",""
"","38","No Auth - Get all permissions","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Permissions > Get permissions","Bank Admin","",""
"","54","Update profile - no phone number","QA|Nova Bank - Infopool","Thu Jun 05 16:57:41 GMT 2025","passed","Thu Jun 05 16:57:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","41","No Auth - Get all definitions","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Static Definitions > Retrieve definition by ID","Bank Admin","",""
"","42","Create roles - empty name field","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"Get a specific report by ID","38","Get Report by UUID - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Get Report by UUID","Bank Admin","",""
"","47","No Auth - Add attachment to issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:51 GMT 2025","passed","Thu Jun 05 16:57:52 GMT 2025","v1 > Customer 360 > Issues > add attachment to issue","Bank User","",""
"","38","Create organization - business manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","39","Delete organization details by ID - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","51","Empty new password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 16:57:41 GMT 2025","passed","Thu Jun 05 16:57:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","1986","Fetch Customers Transactions","QA|Nova Bank - Infopool","Thu Jun 05 16:57:54 GMT 2025","passed","Thu Jun 05 16:57:56 GMT 2025","v1 > Customer 360 > Fetch customers transaction","Bank User","",""
"","39","Fetch all users","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Users > Fetch users","Bank Admin","",""
"","52","Invalid Id - Update Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:51 GMT 2025","failed","Thu Jun 05 16:57:51 GMT 2025","v1 > Customer 360 > Issues > update issue","Bank User","",""
"","62","Search Customers","QA|Nova Bank - Infopool","Thu Jun 05 16:57:52 GMT 2025","passed","Thu Jun 05 16:57:53 GMT 2025","v1 > Customer 360 > Search for a customer > search by phone number","Bank User","",""
"Get a paginated list of reports with optional filtering","38","Get Reports Stats - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Report > Get Report Stats","Bank Admin","",""
"","43","Create organization - empty description","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Create a new report","40","Create Report - Duplicate name","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"","40","Update user - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","277","Empty issue - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:44 GMT 2025","passed","Thu Jun 05 16:57:44 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"","41","Fetch Customer By ID - invalid id","QA|Nova Bank - Infopool","Thu Jun 05 16:57:53 GMT 2025","failed","Thu Jun 05 16:57:53 GMT 2025","v1 > Customer 360 > Fetch customer by ID","Bank User","",""
"","46","Empty first name - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 16:57:43 GMT 2025","passed","Thu Jun 05 16:57:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","41","Update user - invalid action","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"Get a paginated list of reports with optional filtering","39","Get Report Objects - No Auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Report > Get Report Object","Bank Admin","",""
"","58","Empty issue category - Create a New Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:44 GMT 2025","passed","Thu Jun 05 16:57:45 GMT 2025","v1 > Customer 360 > Issues > create a new issue","Bank User","",""
"Get a specific report by ID","39","Get Report by ID","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","39","Update user - no auth","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Users > Update user","Bank Admin","",""
"","41","Create organization - operations manager ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"Get Email or SMS OTP. For OTP, you need to provide either `email` or `phone` if you are not logged in.
    `operation` can be one of: 
- LOGIN
- FORGOT_PASSWORD
- CREATE_ROLE
- UPDATE_ROLE
- DELETE_ROLE","99","Get Email or SMS OTP","QA|Nova Bank - Infopool","Thu Jun 05 16:57:38 GMT 2025","passed","Thu Jun 05 16:57:38 GMT 2025","v1 > Auth > MFA > Request","Bank User","",""
"Get a paginated list of reports with optional filtering","42","Get Reports","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Report > Get Report","Bank Admin","",""
"","52","No user credentials","QA|Nova Bank - Infopool","Thu Jun 05 16:57:37 GMT 2025","passed","Thu Jun 05 16:57:37 GMT 2025","v1 > Auth > Session > Login","Bank User","",""
"Delete a report (soft delete)","38","Delete Report -No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","131","Weak password - Change password","QA|Nova Bank - Infopool","Thu Jun 05 16:57:40 GMT 2025","passed","Thu Jun 05 16:57:41 GMT 2025","v1 > Profile > Password","Bank User","",""
"","40","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","40","Create organization - organization type ID does not exist","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","135","Invalid token - Validate user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 16:57:43 GMT 2025","passed","Thu Jun 05 16:57:43 GMT 2025","v1 > Onboarding > Validate invitation","Bank User","",""
"","49","Update profile - invalid phone number","QA|Nova Bank - Infopool","Thu Jun 05 16:57:41 GMT 2025","passed","Thu Jun 05 16:57:41 GMT 2025","v1 > Profile > Update profile","Bank User","",""
"","40","managers","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Managers > Fetch managers of an organization","Bank Admin","",""
"","46","Invalid authentication - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 16:57:43 GMT 2025","passed","Thu Jun 05 16:57:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","40","Create organization - no country ID","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","207","Get profile - successfully","QA|Nova Bank - Infopool","Thu Jun 05 16:57:41 GMT 2025","passed","Thu Jun 05 16:57:41 GMT 2025","v1 > Profile > Get profile","Bank User","",""
"","38","Logout session - no session","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Logout","Bank Admin","",""
"Create a new report","41","Create Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Create Report","Bank Admin","",""
"Update an existing report","39","Update Report - No auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Update Report","Bank Admin","",""
"","40","Update role status","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Roles > Update role","Bank Admin","",""
"","43","Create organization - no name","QA|Nova Bank - Infopool","Thu Jun 05 16:58:58 GMT 2025","passed","Thu Jun 05 16:58:58 GMT 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","38","No auth - Fetch all users in an organization","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Users > Fetch users in an organization","Bank Admin","",""
"","55","Update Customer Comment Copy","QA|Nova Bank - Infopool","Thu Jun 05 16:57:52 GMT 2025","passed","Thu Jun 05 16:57:52 GMT 2025","v1 > Customer 360 > Comments > update comment to customer","Bank User","",""
"","149","Add Comment to Customer","QA|Nova Bank - Infopool","Thu Jun 05 16:57:52 GMT 2025","failed","Thu Jun 05 16:57:52 GMT 2025","v1 > Customer 360 > Comments > add comment to customer","Bank User","",""
"","40","Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","39","Add user to an organization - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Users > Add users to an organization","Bank Admin","",""
"","166","audit-search","QA|Nova Bank - Infopool","Thu Jun 05 16:57:42 GMT 2025","passed","Thu Jun 05 16:57:43 GMT 2025","v1 > Audit trail > Audit trail","Bank User","",""
"","211","Forgot password - successful","QA|Nova Bank - Infopool","Thu Jun 05 16:57:37 GMT 2025","failed","Thu Jun 05 16:57:37 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","42","Invalid ID - Delete Customer Comment","QA|Nova Bank - Infopool","Thu Jun 05 16:57:52 GMT 2025","failed","Thu Jun 05 16:57:52 GMT 2025","v1 > Customer 360 > Comments > delete customer comment","Bank User","",""
"","41","Fetch Customers Channels","QA|Nova Bank - Infopool","Thu Jun 05 16:58:56 GMT 2025","passed","Thu Jun 05 16:58:56 GMT 2025","v1 > Customer 360 > Fetch customer channel","Bank User","",""
"","40","Get role by ID - no auth","QA|Nova Bank - Infopool","Thu Jun 05 16:59:00 GMT 2025","passed","Thu Jun 05 16:59:00 GMT 2025","v1 > Roles > Get role by ID","Bank Admin","",""
"","43","Fetch user by ID - invalid ID","QA|Nova Bank - Infopool","Thu Jun 05 16:58:57 GMT 2025","passed","Thu Jun 05 16:58:57 GMT 2025","v1 > Users > Fetch user by ID","Bank Admin","",""
"","852","Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 16:57:53 GMT 2025","passed","Thu Jun 05 16:57:54 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"","43","No Auth - Fetch Customer's Financial Summary","QA|Nova Bank - Infopool","Thu Jun 05 16:57:54 GMT 2025","passed","Thu Jun 05 16:57:54 GMT 2025","v1 > Customer 360 > Fetch customer's financial summary","Bank User","",""
"Delete a report (soft delete)","39","Delete Report","QA|Nova Bank - Infopool","Thu Jun 05 16:59:01 GMT 2025","passed","Thu Jun 05 16:59:01 GMT 2025","v1 > Report > Delete Report","Bank Admin","",""
"","50","User does not exist - Forgot Password","QA|Nova Bank - Infopool","Thu Jun 05 16:57:37 GMT 2025","passed","Thu Jun 05 16:57:37 GMT 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
"","39","Create roles","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Roles > Create role","Bank Admin","",""
"","46","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Thu Jun 05 16:57:51 GMT 2025","passed","Thu Jun 05 16:57:51 GMT 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","39","Delete organization details by ID -Invalid Id","QA|Nova Bank - Infopool","Thu Jun 05 16:58:59 GMT 2025","passed","Thu Jun 05 16:58:59 GMT 2025","v1 > Organizations > Delete organization","Bank Admin","",""
"","44","Empty authentication type - Send user invitation token","QA|Nova Bank - Infopool","Thu Jun 05 16:57:43 GMT 2025","passed","Thu Jun 05 16:57:43 GMT 2025","v1 > Onboarding > Complete profile","Bank User","",""
